label,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,total_pnl,final_value,total_return_pct,trend_alloc,meanrev_alloc,breakout_alloc,max_pos_trend,max_pos_meanrev,max_pos_breakout,hard_stop_pct,max_position_pct,trend_trades,trend_pf,trend_pnl,meanrev_trades,meanrev_pf,meanrev_pnl,breakout_trades,breakout_pf,breakout_pnl
A_50_20_30,7.23,0.78,0.94,25.84,0.28,1.24,5739,48.1,7288860,17292243,72.92,0.5,0.2,0.3,10,8,10,0.05,0.05,1446,1.38,4552549,141,2.08,325536,4152,1.14,2410775
A_40_30_30,6.61,0.79,0.95,22.8,0.29,1.23,5739,48.1,6526426,16529550,65.3,0.4,0.3,0.3,10,8,10,0.05,0.05,1446,1.38,3623741,141,2.09,491910,4152,1.14,2410775
TREND_ONLY,4.89,0.87,1.13,14.84,0.33,1.38,1446,34.4,4545213,14546712,45.47,1.0,0.0,0.0,10,8,10,0.05,0.05,1446,1.38,4545213,0,0,0,0,0,0
MR_ONLY,0.81,0.88,0.63,2.33,0.35,2.09,141,75.9,656805,10656805,6.57,0.0,1.0,0.0,10,8,10,0.05,0.05,0,0,0,141,2.09,656805,0,0,0
BO_ONLY,4.5,0.53,0.62,22.13,0.2,1.14,4152,52.0,4129294,14132173,41.32,0.0,0.0,1.0,10,8,10,0.05,0.05,0,0,0,0,0,0,4152,1.14,4129294
P5_5_5,4.94,0.83,1.07,17.11,0.29,1.28,3050,48.7,4599465,14601608,46.02,0.6,0.25,0.15,5,5,5,0.05,0.05,828,1.39,2702139,138,1.97,583927,2084,1.15,1313400
P8_5_8,6.29,0.94,1.19,15.66,0.4,1.31,4683,48.4,6137570,16139828,61.4,0.6,0.25,0.15,8,5,8,0.05,0.05,1220,1.44,4416761,138,1.97,583927,3325,1.13,1136882
P10_8_10,6.24,0.86,1.07,20.01,0.31,1.28,5739,48.1,6076062,16078701,60.79,0.6,0.25,0.15,10,8,10,0.05,0.05,1446,1.38,4545213,141,2.09,409280,4152,1.13,1121569
P15_10_10,6.55,0.94,1.16,18.95,0.35,1.31,6098,47.4,6452630,16455270,64.55,0.6,0.25,0.15,15,10,10,0.05,0.05,1803,1.42,4981068,143,2.17,349993,4152,1.13,1121569
P15_10_15,6.39,0.92,1.14,18.51,0.35,1.3,8123,48.4,6259419,16262254,62.62,0.6,0.25,0.15,15,10,15,0.05,0.05,1803,1.42,4981068,143,2.17,349993,6177,1.11,928359
P20_10_10,6.14,1.01,1.27,16.18,0.38,1.32,6256,47.2,5966364,15968881,59.69,0.6,0.25,0.15,20,10,10,0.05,0.05,1961,1.47,4494802,143,2.17,349993,4152,1.13,1121569
P3_3_3,3.41,0.66,0.88,14.91,0.23,1.21,1907,48.3,3008810,13010588,30.11,0.6,0.25,0.15,3,3,3,0.05,0.05,525,1.35,1545374,125,1.96,522841,1257,1.1,940595
P5_3_0_noBO,3.63,0.92,1.25,9.54,0.38,1.44,953,40.2,3224979,13226176,32.26,0.6,0.4,0.0,5,3,0,0.05,0.05,828,1.39,2702139,125,1.96,522841,0,0,0
P8_5_0_noBO,5.3,1.06,1.37,9.04,0.59,1.47,1358,39.2,5000688,15001885,50.02,0.6,0.4,0.0,8,5,0,0.05,0.05,1220,1.44,4416761,138,1.97,583927,0,0,0
P10_8_0_noBO,5.48,0.97,1.26,13.36,0.41,1.41,1587,38.1,5202018,15203518,52.04,0.6,0.4,0.0,10,8,0,0.05,0.05,1446,1.38,4545213,141,2.09,656805,0,0,0
P15_10_0_noBO,5.78,1.08,1.37,12.45,0.46,1.45,1946,37.6,5545607,15547107,55.47,0.6,0.4,0.0,15,10,0,0.05,0.05,1803,1.42,4981068,143,2.18,564539,0,0,0
P20_10_0_noBO,5.36,1.22,1.59,9.65,0.56,1.5,2104,37.8,5059341,15060718,50.61,0.6,0.4,0.0,20,10,0,0.05,0.05,1961,1.47,4494802,143,2.18,564539,0,0,0
SL2,5.62,1.04,1.33,14.01,0.4,1.43,1647,36.1,5360840,15362340,53.62,0.6,0.4,0.0,10,8,10,0.02,0.05,1502,1.4,4737801,145,1.92,623039,0,0,0
SL3,5.36,0.96,1.23,15.09,0.35,1.4,1606,37.4,5058851,15060351,50.6,0.6,0.4,0.0,10,8,10,0.03,0.05,1464,1.36,4423988,142,2.0,634864,0,0,0
SL5,5.48,0.97,1.26,13.36,0.41,1.41,1587,38.1,5202018,15203518,52.04,0.6,0.4,0.0,10,8,10,0.05,0.05,1446,1.38,4545213,141,2.09,656805,0,0,0
SL8,5.66,0.99,1.29,13.32,0.42,1.43,1585,38.2,5399566,15401066,54.01,0.6,0.4,0.0,10,8,10,0.08,0.05,1444,1.39,4681630,141,2.33,717936,0,0,0
SL10,5.66,1.0,1.32,13.25,0.43,1.43,1581,38.1,5401943,15403442,54.03,0.6,0.4,0.0,10,8,10,0.1,0.05,1440,1.39,4671297,141,2.39,730646,0,0,0
SL15,5.67,1.01,1.32,13.25,0.43,1.43,1581,38.1,5412471,15413971,54.14,0.6,0.4,0.0,10,8,10,0.15,0.05,1440,1.39,4671297,141,2.43,741174,0,0,0
SL20,5.67,1.01,1.32,13.25,0.43,1.43,1581,38.1,5412471,15413971,54.14,0.6,0.4,0.0,10,8,10,0.2,0.05,1440,1.39,4671297,141,2.43,741174,0,0,0
SL50_noSL,5.67,1.01,1.32,13.25,0.43,1.43,1581,38.1,5412471,15413971,54.14,0.6,0.4,0.0,10,8,10,0.5,0.05,1440,1.39,4671297,141,2.43,741174,0,0,0
MPS2,2.39,0.99,1.27,5.55,0.43,1.4,1587,38.1,2038418,12039137,20.39,0.6,0.4,0.0,10,8,10,0.05,0.02,1446,1.37,1777841,141,2.09,260576,0,0,0
MPS3,3.49,0.99,1.27,8.19,0.43,1.41,1587,38.1,3088765,13089744,30.9,0.6,0.4,0.0,10,8,10,0.05,0.03,1446,1.37,2696499,141,2.09,392266,0,0,0
MPS5,5.48,0.97,1.26,13.36,0.41,1.41,1587,38.1,5202018,15203518,52.04,0.6,0.4,0.0,10,8,10,0.05,0.05,1446,1.38,4545213,141,2.09,656805,0,0,0
MPS8,6.28,0.95,1.22,16.19,0.39,1.41,1587,38.1,6123652,16125414,61.25,0.6,0.4,0.0,10,8,10,0.05,0.08,1446,1.38,5466847,141,2.09,656805,0,0,0
MPS10,6.28,0.95,1.22,16.19,0.39,1.41,1587,38.1,6123652,16125414,61.25,0.6,0.4,0.0,10,8,10,0.05,0.1,1446,1.38,5466847,141,2.09,656805,0,0,0
MPS15,6.28,0.95,1.22,16.19,0.39,1.41,1587,38.1,6123652,16125414,61.25,0.6,0.4,0.0,10,8,10,0.05,0.15,1446,1.38,5466847,141,2.09,656805,0,0,0
