strategy,variant,direction,total_trades,wins,losses,win_rate,avg_win_pct,avg_loss_pct,profit_factor,avg_pnl_pct,median_pnl_pct,max_win_pct,max_loss_pct,max_consec_losses,expectancy_pct,sharpe_per_trade,best_stocks,worst_stocks,avg_hold_days
ATR_Expansion,ATRexp2.0x_continuation_hold3,short,3567,1642,1925,46.03,3.139,-3.531,0.758,-0.46,-0.386,34.69,-42.79,10,-0.46,-0.096,"PAYTM,DIVISLAB,ADANIENT","GAIL,ADANIPORTS,IRCTC",3.0
ATR_Expansion,ATRexp2.0x_continuation_hold5,short,3375,1644,1731,48.71,3.911,-4.136,0.898,-0.216,-0.132,42.42,-34.67,12,-0.216,-0.038,"IDFCFIRSTB,DELHIVERY,ADANIENT","GAIL,COFORGE,HAL",5.0
ATR_Expansion,ATRexp2.0x_reversal_hold3,long,3567,1832,1735,51.36,3.463,-3.203,1.141,0.22,0.146,42.55,-34.93,13,0.22,0.046,"IRCTC,ADANIPORTS,GAIL","ADANIENT,DIVISLAB,PAYTM",3.0
ATR_Expansion,ATRexp2.0x_reversal_hold5,long,3375,1652,1723,48.95,4.088,-3.967,0.988,-0.024,-0.108,34.43,-42.66,12,-0.024,-0.004,"ULTRACEMCO,COFORGE,GAIL","ADANIENT,DELHIVERY,IDFCFIRSTB",5.0
ATR_Expansion,ATRexp2.0x_continuation_hold3_volconf,short,2754,1323,1431,48.04,3.259,-3.508,0.859,-0.257,-0.188,34.69,-42.79,15,-0.257,-0.053,"SHREECEM,PAYTM,DIVISLAB","IRCTC,ADANIPORTS,INDUSINDBK",3.0
ATR_Expansion,ATRexp2.0x_continuation_hold5_volconf,short,2635,1322,1313,50.17,4.068,-4.032,1.016,0.032,0.021,42.42,-34.67,16,0.032,0.005,"SHREECEM,DELHIVERY,ADANIENT","HAL,IRCTC,ADANIPORTS",5.0
ATR_Expansion,ATRexp2.0x_reversal_hold3_volconf,long,2754,1358,1396,49.31,3.45,-3.322,1.01,0.017,-0.052,42.55,-34.93,13,0.017,0.004,"INDUSINDBK,ADANIPORTS,IRCTC","DIVISLAB,ADANIENT,SHREECEM",3.0
ATR_Expansion,ATRexp2.0x_reversal_hold5_volconf,long,2635,1248,1387,47.36,3.996,-4.112,0.875,-0.272,-0.261,34.43,-42.66,12,-0.272,-0.047,"ADANIPORTS,IRCTC,HAL","ADANIENT,DELHIVERY,SHREECEM",5.0
NDayBreakout,20D_high_10d_low,long,2470,1067,1403,43.2,11.551,-4.925,1.784,2.192,-1.169,108.79,-22.7,12,2.192,0.174,"BAJFINANCE,PERSISTENT,ADANIENT","POWERGRID,FEDERALBNK,GAIL",25.5
NDayBreakout,20D_high_atr_trail_2x,long,3460,1468,1992,42.43,7.44,-3.871,1.417,0.928,-1.097,102.04,-19.43,14,0.928,0.118,"CUMMINSIND,JINDALSTEL,ADANIENT","POWERGRID,GAIL,FEDERALBNK",13.5
NDayBreakout,20D_high_atr_trail_3x,long,2436,1071,1365,43.97,11.683,-5.08,1.805,2.29,-1.295,108.79,-18.93,11,2.29,0.183,"IRCTC,PERSISTENT,ADANIENT","GAIL,FEDERALBNK,PNB",26.6
NDayBreakout,20D_high_hold20,long,3228,1844,1384,57.13,7.63,-5.753,1.767,1.892,1.437,86.01,-46.55,8,1.892,0.201,"COFORGE,PERSISTENT,ADANIENT","MARICO,POWERGRID,DABUR",19.9
NDayBreakout,50D_high_10d_low,long,1734,705,1029,40.66,11.94,-5.103,1.603,1.826,-1.817,108.79,-22.7,12,1.826,0.147,"PERSISTENT,TATAMOTORS,ADANIENT","POWERGRID,FEDERALBNK,GAIL",25.1
NDayBreakout,50D_high_atr_trail_2x,long,2363,964,1399,40.8,7.611,-3.974,1.32,0.752,-1.399,58.32,-19.43,16,0.752,0.095,"CUMMINSIND,PERSISTENT,ADANIENT","POWERGRID,GAIL,FEDERALBNK",13.6
NDayBreakout,50D_high_atr_trail_3x,long,1707,697,1010,40.83,12.373,-5.336,1.6,1.895,-1.936,108.79,-18.64,11,1.895,0.15,"PERSISTENT,TATAMOTORS,ADANIENT","POWERGRID,GAIL,DABUR",26.6
NDayBreakout,50D_high_hold20,long,2250,1209,1041,53.73,7.746,-5.785,1.555,1.486,0.675,77.09,-46.55,11,1.486,0.156,"PERSISTENT,TATAMOTORS,ADANIENT","POWERGRID,HCLTECH,DABUR",19.8
NDayBreakout,100D_high_10d_low,long,1294,541,753,41.81,11.292,-5.139,1.579,1.73,-1.529,108.79,-23.08,11,1.73,0.14,"CUMMINSIND,PERSISTENT,ADANIENT","POWERGRID,GAIL,DABUR",25.1
NDayBreakout,100D_high_atr_trail_2x,long,1754,724,1030,41.28,7.49,-3.943,1.335,0.776,-1.341,52.24,-19.43,12,0.776,0.098,"PERSISTENT,CUMMINSIND,ADANIENT","POWERGRID,GAIL,HINDUNILVR",13.8
NDayBreakout,100D_high_atr_trail_3x,long,1253,524,729,41.82,12.021,-5.2,1.662,2.002,-1.786,108.79,-23.08,11,2.002,0.159,"TATAMOTORS,PERSISTENT,ADANIENT","DABUR,GAIL,POWERGRID",27.3
NDayBreakout,100D_high_hold20,long,1678,921,757,54.89,7.703,-5.798,1.616,1.612,0.864,68.2,-46.55,7,1.612,0.17,"PERSISTENT,TATAMOTORS,ADANIENT","DABUR,HINDUNILVR,HDFCBANK",19.9
