label,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,total_pnl,final_value,total_return_pct,ema_fast,ema_slow,adx_threshold,rsi_period,rsi_entry,max_pos_trend,max_pos_meanrev,hard_stop_pct,trend_trades,trend_pf,trend_pnl,meanrev_trades,meanrev_pf,meanrev_pnl
E13_34_ADX30_R21_30_P20_10,2.21,1.04,1.34,3.68,0.6,1.5,893,43.3,1871914,11872491,18.72,13,34,30,21,30,20,10,0.1,750,1.38,1248785,143,2.48,623130
E15_40_ADX20_R21_30_P8_5,4.47,0.83,1.14,11.27,0.4,1.28,2055,35.3,4088985,14090442,40.9,15,40,20,21,30,8,5,0.1,1917,1.25,3431218,138,2.25,657767
E15_40_ADX20_R21_30_P15_10,6.76,1.07,1.38,12.42,0.54,1.36,3323,35.4,6708852,16710824,67.11,15,40,20,21,30,15,10,0.1,3180,1.34,6085722,143,2.48,623130
E15_40_ADX20_R21_30_P20_10,6.67,1.18,1.52,9.83,0.68,1.39,4000,34.9,6604658,16606216,66.06,15,40,20,21,30,20,10,0.1,3857,1.36,5981529,143,2.48,623130
E15_40_ADX25_R21_30_P8_5,5.07,1.09,1.48,7.58,0.67,1.43,1530,38.8,4743318,14744196,47.44,15,40,25,21,30,8,5,0.1,1392,1.39,4085551,138,2.25,657767
E15_40_ADX25_R21_30_P15_10,5.34,1.09,1.46,7.85,0.68,1.44,2036,37.9,5046664,15047390,50.47,15,40,25,21,30,15,10,0.1,1893,1.4,4423534,143,2.48,623130
E15_40_ADX25_R21_30_P20_10,4.49,1.14,1.54,6.52,0.69,1.45,2129,37.8,4118643,14119218,41.19,15,40,25,21,30,20,10,0.1,1986,1.4,3495514,143,2.48,623130
E15_40_ADX30_R21_30_P8_5,3.21,0.97,1.28,5.63,0.57,1.48,811,42.7,2813982,12814860,28.15,15,40,30,21,30,8,5,0.1,673,1.41,2156215,138,2.25,657767
E15_40_ADX30_R21_30_P15_10,2.8,0.95,1.22,4.84,0.58,1.49,866,42.1,2417613,12418339,24.18,15,40,30,21,30,15,10,0.1,723,1.4,1794484,143,2.48,623130
E15_40_ADX30_R21_30_P20_10,2.34,1.0,1.31,3.73,0.63,1.52,871,42.3,1986008,11986583,19.87,15,40,30,21,30,20,10,0.1,728,1.4,1362879,143,2.48,623130
