strategy,params,total_trades,win_rate,profit_factor,avg_win_pct,avg_loss_pct,avg_trade_pct,total_pnl_pct,max_consec_loss,avg_bars_held,best_stock,worst_stock,yearly_breakdown,calmar_approx
KC_MeanRev,"KC(20,1.5)",19029,65.6,1.024,1.602,-2.982,0.0249,473.69,9,15.5,PTCIL(0.81%),RPOWER(-1.00%),2018:-0.18%(2331t); 2019:0.09%(2309t); 2020:-0.21%(2223t); 2021:0.33%(2371t); 2022:-0.20%(2562t); 2023:0.16%(2259t); 2024:0.18%(2616t); 2025:0.03%(2358t),0.12
KC_MeanRev,"KC(20,2.0)",12589,64.48,1.06,1.845,-3.16,0.0672,846.09,9,17.0,NH(1.06%),PAYTM(-0.97%),2018:-0.14%(1555t); 2019:0.12%(1479t); 2020:-0.31%(1444t); 2021:0.51%(1559t); 2022:-0.28%(1763t); 2023:0.22%(1453t); 2024:0.25%(1705t); 2025:0.17%(1631t),0.379
KC_MeanRev,"KC(20,2.5)",7796,63.66,1.125,2.169,-3.377,0.1535,1196.94,8,18.3,NH(1.79%),PAYTM(-2.07%),2018:0.04%(999t); 2019:0.20%(870t); 2020:-0.37%(883t); 2021:0.75%(941t); 2022:-0.22%(1156t); 2023:0.32%(898t); 2024:0.34%(1034t); 2025:0.21%(1015t),0.549
KC_MeanRev,"KC(20,1.5)+SMA200",7420,66.99,1.232,1.559,-2.568,0.1968,1460.56,10,14.8,PTCIL(1.08%),HOMEFIRST(-0.80%),2018:-0.06%(654t); 2019:0.10%(843t); 2020:0.43%(990t); 2021:0.26%(984t); 2022:-0.20%(935t); 2023:0.38%(985t); 2024:0.34%(1086t); 2025:0.20%(943t),1.196
KC_MeanRev,"KC(20,2.0)+SMA200",3889,66.86,1.346,1.787,-2.679,0.307,1193.98,8,16.2,CEATLTD(1.56%),MFSL(-0.68%),2018:-0.06%(327t); 2019:0.17%(428t); 2020:0.52%(513t); 2021:0.45%(527t); 2022:-0.16%(535t); 2023:0.60%(526t); 2024:0.41%(539t); 2025:0.38%(494t),1.675
KC_MeanRev,"KC(20,2.5)+SMA200",1754,66.93,1.567,2.058,-2.66,0.4983,873.97,6,17.0,LLOYDSME(3.26%),PGEL(-2.54%),2018:0.35%(142t); 2019:0.27%(174t); 2020:0.71%(243t); 2021:0.71%(231t); 2022:0.09%(256t); 2023:0.89%(244t); 2024:0.42%(232t); 2025:0.43%(232t),1.449
KC_MeanRev,"KC(6,1.3)",8865,59.93,0.961,1.454,-2.262,-0.0352,-312.32,10,7.9,POWERINDIA(1.09%),PAYTM(-1.57%),2018:-0.03%(1101t); 2019:0.00%(944t); 2020:0.03%(1067t); 2021:0.21%(1041t); 2022:-0.23%(1429t); 2023:0.04%(1023t); 2024:0.05%(1143t); 2025:-0.27%(1117t),-0.113
KC_MeanRev,"KC(6,1.3)+SMA200",2556,60.84,1.084,1.349,-1.933,0.0636,162.6,6,7.8,PTCIL(2.62%),RPOWER(-2.16%),2018:-0.10%(229t); 2019:-0.05%(269t); 2020:0.47%(332t); 2021:0.09%(319t); 2022:-0.14%(386t); 2023:0.22%(359t); 2024:0.25%(344t); 2025:-0.30%(318t),0.187
KC_MeanRev,"KC(6,1.3)+SMA200+MH50",2556,60.84,1.084,1.349,-1.934,0.0633,161.85,6,7.8,PTCIL(2.62%),RPOWER(-2.16%),2018:-0.10%(229t); 2019:-0.05%(269t); 2020:0.47%(332t); 2021:0.09%(319t); 2022:-0.14%(386t); 2023:0.22%(359t); 2024:0.25%(344t); 2025:-0.30%(318t),0.187
KC_MeanRev,"KC(10,1.5)",15289,62.81,1.006,1.501,-2.52,0.0055,83.33,9,10.5,NH(1.03%),PAYTM(-1.37%),2018:-0.10%(1899t); 2019:0.11%(1748t); 2020:-0.15%(1794t); 2021:0.20%(1824t); 2022:-0.15%(2234t); 2023:0.13%(1773t); 2024:0.13%(2083t); 2025:-0.09%(1934t),0.023
