label,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,total_pnl,final_value,total_return_pct,trend_alloc,meanrev_alloc,breakout_alloc,max_pos_trend,max_pos_meanrev,max_pos_breakout,trend_trades,trend_pf,meanrev_trades,meanrev_pf,breakout_trades,breakout_pf
BASELINE,6.66,0.84,1.04,21.72,0.31,1.27,5739,48.1,6586937,16589824,65.9,0.5,0.3,0.2,10,8,10,1446,1.38,141,2.09,4152,1.13
TREND_HEAVY,5.8,0.87,1.1,18.31,0.32,1.3,5739,48.1,5561649,15564040,55.64,0.7,0.2,0.1,10,8,10,1446,1.38,141,2.08,4152,1.12
TREND_60,6.24,0.86,1.07,20.01,0.31,1.28,5739,48.1,6076062,16078701,60.79,0.6,0.25,0.15,10,8,10,1446,1.38,141,2.09,4152,1.13
MEANREV_HEAVY,6.03,0.86,1.06,18.55,0.33,1.26,5739,48.1,5830361,15832990,58.33,0.4,0.4,0.2,10,8,10,1446,1.38,141,2.09,4152,1.13
TREND_80,5.65,0.85,1.07,18.68,0.3,1.3,5739,48.1,5396923,15399314,53.99,0.8,0.1,0.1,10,8,10,1446,1.38,141,2.08,4152,1.12
NO_BREAKOUT,5.48,0.97,1.26,13.36,0.41,1.41,1587,38.1,5202018,15203518,52.04,0.5,0.5,0.0,10,8,10,1446,1.38,141,2.09,0,0
TREND_MR_ONLY,5.34,0.95,1.23,13.73,0.39,1.4,1587,38.1,5037123,15038622,50.39,0.7,0.3,0.0,10,8,10,1446,1.38,141,2.09,0,0
TREND_ONLY,4.89,0.87,1.13,14.84,0.33,1.38,1446,34.4,4545213,14546712,45.47,1.0,0.0,0.0,10,8,10,1446,1.38,0,0,0,0
MEANREV_ONLY,0.81,0.88,0.63,2.33,0.35,2.09,141,75.9,656805,10656805,6.57,0.0,1.0,0.0,10,8,10,0,0,141,2.09,0,0
