signal,outcome,horizon,is_placebo,ic_raw,t_raw,ic_partial,t_partial,stable_partial,ic_shuffled,abs_partial,placebo_ceiling,pct_raw_surviving,alive,n_raw,ic_partial_NIFTY,ic_partial_SENSEX,ic_raw_NIFTY,ic_raw_SENSEX,ic_shuffled_NIFTY,ic_shuffled_SENSEX,n_partial,n_shuffled,stable_raw,stable_shuffled,t_shuffled
d_atm_iv_15,fret,5,0,0.0164,1.7,0.0228,2.01,0,0.0186,0.0228,0.0107,139.0,0,128,0.0094,0.0361,-0.002,0.0348,0.0186,0.0187,128,92,0,0,1.64
doi_pe_5,fret,60,0,-0.061,-3.72,-0.0225,-2.03,0,0.0223,0.0225,0.0047,36.9,0,162,-0.0335,-0.0115,-0.0626,-0.0594,0.0259,0.0186,162,156,0,0,1.3
doi_atm_15,fabs,30,0,-0.0209,-1.63,-0.0223,-1.85,0,-0.0112,0.0223,0.0067,106.7,0,162,-0.0295,-0.015,-0.0325,-0.0094,-0.0094,-0.013,162,156,0,0,-0.92
doi_pe_5,fabs,5,0,-0.0254,-3.15,-0.0221,-3.09,0,0.0169,0.0221,0.0092,87.0,0,162,-0.0311,-0.013,-0.0323,-0.0184,0.0098,0.0241,162,156,0,0,2.22
doi_atm_15,fdprem,30,0,-0.002,-0.14,-0.0221,-1.78,0,0.0054,0.0221,0.0491,1105.0,0,162,-0.0139,-0.0303,-0.0052,0.0011,-0.0055,0.0162,162,156,0,0,0.37
doi_atm_15,fdprem_n,30,0,-0.002,-0.14,-0.0221,-1.78,0,0.0054,0.0221,0.0491,1105.0,0,162,-0.0139,-0.0303,-0.0052,0.0011,-0.0055,0.0162,162,156,0,0,0.37
d_pcr_oi_all_15,fret,30,0,-0.0552,-3.34,0.022,1.72,0,0.0161,0.022,0.0092,39.9,0,162,0.0194,0.0246,-0.0545,-0.0558,0.0156,0.0167,162,156,0,0,0.84
pcr_vol_atm5,fdprem,15,0,0.04,2.22,0.0219,1.52,0,0.0011,0.0219,0.0481,54.8,0,162,0.0456,-0.0019,0.0552,0.0247,0.0027,-0.0005,162,156,0,0,0.07
pcr_vol_atm5,fdprem_n,15,0,0.04,2.22,0.0219,1.52,0,0.0011,0.0219,0.0481,54.8,0,162,0.0456,-0.0019,0.0552,0.0247,0.0027,-0.0005,162,156,0,0,0.07
mp_drift_15,fret,60,0,-0.0501,-3.46,0.0218,1.63,0,0.0146,0.0218,0.0047,43.5,0,157,0.0359,0.0082,-0.0411,-0.0588,0.0057,0.023,157,146,0,0,0.83
doi_pe_15,fret,60,0,-0.0767,-3.72,-0.0214,-1.32,0,0.0365,0.0214,0.0047,27.9,0,162,-0.0245,-0.0183,-0.0814,-0.0721,0.0441,0.029,162,156,0,0,1.64
doi_ce_5,fret,15,0,0.0296,2.17,-0.0211,-2.34,0,0.0184,0.0211,0.0198,71.3,0,162,-0.034,-0.0082,0.0218,0.0374,0.0213,0.0154,162,156,0,0,1.43
pcr_vol_all,fdprem,5,0,0.0166,1.56,0.021,1.73,0,-0.0012,0.021,0.0159,126.5,0,162,0.0152,0.0268,0.0181,0.015,-0.007,0.0045,162,156,0,0,-0.13
pcr_vol_all,fdprem_n,5,0,0.0166,1.56,0.021,1.73,0,-0.0012,0.021,0.0159,126.5,0,162,0.0152,0.0268,0.0181,0.015,-0.007,0.0045,162,156,0,0,-0.13
doi_ce_5,fdprem,30,0,0.0181,1.33,0.0204,2.08,0,-0.0069,0.0204,0.0491,112.7,0,162,0.0246,0.0162,0.0277,0.0085,-0.0134,-0.0004,162,156,0,0,-0.53
doi_ce_5,fdprem_n,30,0,0.0181,1.33,0.0204,2.08,0,-0.0069,0.0204,0.0491,112.7,0,162,0.0246,0.0162,0.0277,0.0085,-0.0134,-0.0004,162,156,0,0,-0.53
doi_net_15,fdprem,30,0,-0.029,-1.65,-0.0201,-1.7,0,0.0231,0.0201,0.0491,69.3,0,162,-0.0188,-0.0214,-0.0292,-0.0287,0.0274,0.0187,162,156,0,0,1.28
doi_net_15,fdprem_n,30,0,-0.029,-1.65,-0.0201,-1.7,0,0.0231,0.0201,0.0491,69.3,0,162,-0.0188,-0.0214,-0.0292,-0.0287,0.0274,0.0187,162,156,0,0,1.28
pcr_vol_atm5,fret,15,0,0.2494,15.45,0.0199,1.27,0,-0.0111,0.0199,0.0198,8.0,0,162,0.0401,-0.0003,0.2459,0.253,-0.0078,-0.0144,162,156,1,0,-0.68
dist_wall_pe,fabs,15,0,0.0572,4.15,0.0199,1.98,0,-0.0145,0.0199,0.0046,34.8,0,162,0.0171,0.0227,0.0522,0.0621,-0.0133,-0.0156,162,156,0,0,-1.14
placebo_noise,fret,15,1,-0.0309,-2.02,-0.0198,-1.0,0,-0.0289,0.0198,0.0198,64.1,0,162,-0.0162,-0.0234,-0.03,-0.0317,-0.0297,-0.0282,162,162,1,0,-1.77
