signal,outcome,horizon,is_placebo,ic_raw,t_raw,ic_partial,t_partial,stable_partial,ic_shuffled,abs_partial,placebo_ceiling,pct_raw_surviving,alive,n_raw,ic_partial_NIFTY,ic_partial_SENSEX,ic_raw_NIFTY,ic_raw_SENSEX,ic_shuffled_NIFTY,ic_shuffled_SENSEX,n_partial,n_shuffled,stable_raw,stable_shuffled,t_shuffled
placebo_noise,fdprem_n,15,1,0.0302,1.96,0.0481,2.47,0,-0.0164,0.0481,0.0481,159.3,0,162,0.0576,0.0385,0.0177,0.0426,-0.0155,-0.0173,162,162,0,0,-1.03
d_prem_15,fdprem,30,0,-0.1136,-7.69,0.0472,2.96,1,0.0012,0.0472,0.0491,41.5,0,162,0.0412,0.0533,-0.1142,-0.113,-0.0032,0.0056,162,156,1,0,0.08
d_prem_15,fdprem_n,30,0,-0.1136,-7.69,0.0472,2.96,1,0.0012,0.0472,0.0491,41.5,0,162,0.0412,0.0533,-0.1142,-0.113,-0.0032,0.0056,162,156,1,0,0.08
pcr_vol_all,fret,5,0,0.1302,12.64,0.0469,3.96,1,-0.0243,0.0469,0.0107,36.0,0,162,0.0395,0.0544,0.1372,0.1231,-0.0214,-0.0272,162,156,1,0,-2.59
d_pcr_oi_all_15,fabs,60,0,-0.0219,-1.17,0.0464,3.45,0,-0.0204,0.0464,0.0261,211.9,0,162,0.0536,0.0392,-0.0235,-0.0203,-0.0188,-0.0221,162,156,0,0,-1.08
d_prem_15,fdprem,60,0,-0.1339,-8.52,0.0462,2.8,1,0.0028,0.0462,0.0129,34.5,0,162,0.0449,0.0475,-0.1377,-0.1302,0.0003,0.0052,162,156,0,0,0.18
d_prem_15,fdprem_n,60,0,-0.1339,-8.52,0.0462,2.8,1,0.0028,0.0462,0.0129,34.5,0,162,0.0449,0.0475,-0.1377,-0.1302,0.0003,0.0052,162,156,0,0,0.18
pcr_vol_all,fabs,60,0,0.0532,2.04,0.0459,2.56,0,0.009,0.0459,0.0261,86.3,0,162,0.0537,0.0381,0.049,0.0573,0.0161,0.0019,162,156,0,0,0.33
d_pcr_oi_all_15,fdprem,60,0,-0.0119,-0.58,0.0458,3.47,0,0.0098,0.0458,0.0129,384.9,0,162,0.0357,0.0559,-0.0229,-0.0009,0.015,0.0045,162,156,0,0,0.42
d_pcr_oi_all_15,fdprem_n,60,0,-0.0119,-0.58,0.0458,3.47,0,0.0098,0.0458,0.0129,384.9,0,162,0.0357,0.0559,-0.0229,-0.0009,0.015,0.0045,162,156,0,0,0.42
d_prem_15,fabs,60,0,-0.079,-5.36,0.0448,2.74,0,-0.0041,0.0448,0.0261,56.7,0,162,0.0606,0.0289,-0.0695,-0.0884,0.0015,-0.0096,162,156,1,0,-0.28
pcr_vol_all,fdprem,15,0,0.0255,1.39,0.0441,2.52,0,-0.0047,0.0441,0.0481,172.9,0,162,0.0412,0.0471,0.0298,0.0211,-0.0106,0.0012,162,156,0,0,-0.27
pcr_vol_all,fdprem_n,15,0,0.0255,1.39,0.0441,2.52,0,-0.0047,0.0441,0.0481,172.9,0,162,0.0412,0.0471,0.0298,0.0211,-0.0106,0.0012,162,156,0,0,-0.27
doi_net_15,fabs,60,0,-0.017,-0.91,0.0428,3.18,0,-0.0221,0.0428,0.0261,251.8,0,162,0.051,0.0345,-0.0178,-0.0163,-0.0192,-0.0251,162,156,0,0,-1.18
d_prem_15,fdprem,15,0,-0.0871,-5.94,0.0428,3.13,0,0.002,0.0428,0.0481,49.1,0,162,0.0377,0.0478,-0.0902,-0.084,0.0105,-0.0065,162,156,1,0,0.18
d_prem_15,fdprem_n,15,0,-0.0871,-5.94,0.0428,3.13,0,0.002,0.0428,0.0481,49.1,0,162,0.0377,0.0478,-0.0902,-0.084,0.0105,-0.0065,162,156,1,0,0.18
doi_net_15,fdprem,60,0,-0.0039,-0.19,0.0418,3.14,0,0.0105,0.0418,0.0129,1071.8,0,162,0.0354,0.0482,-0.0134,0.0057,0.0161,0.0049,162,156,0,0,0.46
doi_net_15,fdprem_n,60,0,-0.0039,-0.19,0.0418,3.14,0,0.0105,0.0418,0.0129,1071.8,0,162,0.0354,0.0482,-0.0134,0.0057,0.0161,0.0049,162,156,0,0,0.46
atm_iv,fabs,30,0,-0.0908,-4.41,-0.0413,-3.13,0,-0.0133,0.0413,0.0067,45.5,0,128,-0.0592,-0.0235,-0.0983,-0.0833,-0.0014,-0.0263,128,92,0,0,-0.5
d_atm_iv_15,fdprem,60,0,-0.0783,-4.55,0.0411,2.41,0,0.0115,0.0411,0.0129,52.5,0,128,0.0401,0.0421,-0.0692,-0.0874,0.0042,0.0195,128,92,0,0,0.54
d_atm_iv_15,fdprem_n,60,0,-0.0783,-4.55,0.0411,2.41,0,0.0115,0.0411,0.0129,52.5,0,128,0.0401,0.0421,-0.0692,-0.0874,0.0042,0.0195,128,92,0,0,0.54
atm_iv,fret,5,0,0.0788,7.28,0.0409,3.3,0,0.0533,0.0409,0.0107,51.9,0,128,0.0146,0.0672,0.0712,0.0863,0.0582,0.0479,128,92,1,0,3.82
doi_ce_30,fdprem,60,0,-0.0138,-0.57,-0.0392,-1.79,0,-0.0268,0.0392,0.0129,284.1,0,162,-0.0301,-0.0484,-0.0111,-0.0164,-0.0218,-0.0319,162,156,0,0,-0.97
doi_ce_30,fdprem_n,60,0,-0.0138,-0.57,-0.0392,-1.79,0,-0.0268,0.0392,0.0129,284.1,0,162,-0.0301,-0.0484,-0.0111,-0.0164,-0.0218,-0.0319,162,156,0,0,-0.97
pcr_vol_all,fdprem,30,0,0.0233,0.95,0.0387,1.89,0,-0.0014,0.0387,0.0491,166.1,0,162,0.0325,0.0448,0.0319,0.0147,-0.0066,0.0039,162,156,0,0,-0.06
pcr_vol_all,fdprem_n,30,0,0.0233,0.95,0.0387,1.89,0,-0.0014,0.0387,0.0491,166.1,0,162,0.0325,0.0448,0.0319,0.0147,-0.0066,0.0039,162,156,0,0,-0.06
pcr_vol_all,fabs,30,0,0.038,1.97,0.036,2.44,0,0.0014,0.036,0.0067,94.7,0,162,0.0553,0.0166,0.0445,0.0314,0.0125,-0.0097,162,156,0,0,0.06
dist_wall_pe,fret,60,0,0.2488,8.17,-0.0354,-2.33,0,-0.027,0.0354,0.0047,14.2,0,162,-0.0608,-0.01,0.2232,0.2745,-0.0737,0.0196,162,156,1,0,-0.93
