signal,outcome,horizon,n_days,mean_ic,abs_ic,t_stat,sign_stable,pass_g1,pass_bonf,ic_NIFTY,t_NIFTY,n_NIFTY,ic_SENSEX,t_SENSEX,n_SENSEX,ic_NIFTY_2026-04,ic_NIFTY_2026-05,ic_NIFTY_2026-06,ic_NIFTY_2026-07,ic_NIFTY_2026-08,ic_SENSEX_2026-04,ic_SENSEX_2026-05,ic_SENSEX_2026-06,ic_SENSEX_2026-07,ic_SENSEX_2026-08
d_pcr_oi_all_15,fabs,5,162,-0.0174,0.0174,-2.05,0,0,0,-0.0178,-1.45,81,-0.0169,-1.44,81,-0.0607,-0.0042,-0.0113,-0.0588,0.0335,-0.0526,0.002,-0.0138,-0.0592,0.0324
doi_atm_15,fret,5,162,0.0174,0.0174,1.95,0,0,0,0.0249,1.98,81,0.01,0.79,81,0.0364,0.0372,0.0143,0.0389,-0.0023,0.0134,0.0179,-0.0027,0.0518,-0.0512
doi_pe_5,fdprem,15,162,-0.0172,0.0172,-1.5,0,0,0,-0.0252,-1.53,81,-0.0091,-0.57,81,0.0636,-0.0354,-0.0087,-0.0288,-0.056,0.1143,-0.019,0.0183,-0.0032,-0.0815
skew,fdprem,5,128,0.017,0.017,1.8,0,0,0,0.014,1.1,64,0.02,1.43,64,0.0227,0.0387,-0.0035,0.0141,0.0031,0.0083,0.06,-0.053,0.0388,0.0508
doi_pe_30,fabs,15,162,-0.0168,0.0168,-1.29,0,0,0,-0.0167,-0.94,81,-0.0168,-0.88,81,-0.0484,0.0257,-0.0117,-0.0991,0.0626,-0.0336,0.0095,-0.0056,-0.1117,0.0912
d_atm_iv_15,fret,5,128,0.0167,0.0167,1.78,0,0,0,0.0003,0.02,64,0.033,2.55,64,0.0705,0.0191,0.0253,-0.0532,0.0117,0.1198,0.0174,0.0502,-0.0115,0.0771
mp_drift_15,fret,5,160,-0.0166,0.0166,-1.88,0,0,0,-0.0089,-0.76,79,-0.0241,-1.83,81,-0.0267,0.0018,-0.0143,0.014,-0.0491,0.0331,-0.056,-0.0092,-0.016,-0.0327
doi_wing_15,fabs,30,162,-0.0163,0.0163,-1.21,0,0,0,-0.0183,-0.91,81,-0.0143,-0.79,81,-0.1057,-0.0633,-0.0535,0.0585,-0.0054,0.0367,-0.0884,-0.0172,0.0403,-0.0136
mp_drift_15,fdprem,60,160,0.0163,0.0163,1.07,0,0,0,0.0249,1.28,79,0.008,0.34,81,0.0548,0.0227,0.008,0.0174,0.0589,0.0351,0.0285,0.0292,-0.0391,0.0182
pcr_vol_atm5,fdprem,5,162,0.0161,0.0161,1.59,0,0,0,0.0205,1.4,81,0.0117,0.84,81,0.0407,0.0457,-0.0164,0.0553,-0.0213,-0.0035,0.0091,-0.0062,0.0648,-0.041
d_pcr_oi_atm5_15,fabs,60,162,-0.0161,0.0161,-1.27,0,0,0,-0.0115,-0.6,81,-0.0207,-1.26,81,-0.0556,0.003,0.0229,-0.0644,0.0165,-0.0869,-0.016,0.0525,-0.0759,-0.0271
wall_squeeze,fdprem,30,156,0.0161,0.0161,0.68,0,0,0,0.0183,0.57,79,0.0138,0.39,77,-0.1985,0.0784,0.0265,-0.0145,0.0414,-0.0786,-0.0544,0.0307,0.0996,-0.042
doi_net_15,fdprem,30,162,-0.0159,0.0159,-0.88,0,0,0,-0.0159,-0.62,81,-0.0159,-0.62,81,0.0911,0.0017,0.0312,-0.0572,-0.073,0.172,-0.0367,0.0141,-0.055,-0.0225
doi_ce_30,fdprem,15,162,0.0158,0.0158,1.06,0,0,0,0.0249,1.22,81,0.0066,0.31,81,-0.0125,0.0002,0.0004,0.0419,0.078,-0.0465,-0.0119,-0.0099,0.0197,0.0504
skew,fdprem,15,128,0.0157,0.0157,1.09,0,0,0,0.0139,0.73,64,0.0176,0.8,64,0.0581,0.0566,-0.0016,0.0072,-0.0225,0.0248,0.0672,-0.1125,0.0719,0.0601
pcr_oi_atm10,fdprem,30,162,-0.0156,0.0156,-0.81,0,0,0,-0.0081,-0.28,81,-0.0231,-0.9,81,0.0162,0.0023,0.0421,-0.0588,-0.021,-0.0647,-0.0077,0.0132,-0.0446,-0.0511
