signal,outcome,horizon,n_days,mean_ic,abs_ic,t_stat,sign_stable,pass_g1,pass_bonf,ic_NIFTY,t_NIFTY,n_NIFTY,ic_SENSEX,t_SENSEX,n_SENSEX,ic_NIFTY_2026-04,ic_NIFTY_2026-05,ic_NIFTY_2026-06,ic_NIFTY_2026-07,ic_NIFTY_2026-08,ic_SENSEX_2026-04,ic_SENSEX_2026-05,ic_SENSEX_2026-06,ic_SENSEX_2026-07,ic_SENSEX_2026-08
doi_net_15,fabs,30,162,-0.0059,0.0059,-0.39,0,0,0,-0.0048,-0.22,81,-0.0071,-0.34,81,0.143,-0.0067,0.0185,-0.0913,0.0629,0.1453,-0.0105,0.0252,-0.1041,0.0647
doi_net_15,fdprem,60,162,0.0059,0.0059,0.28,0,0,0,0.0001,0.0,81,0.0117,0.41,81,0.0958,0.0458,0.0357,-0.0482,-0.063,0.1688,0.0318,0.0312,-0.0408,-0.0035
d_atm_iv_15,fret,30,128,0.0058,0.0058,0.33,0,0,0,-0.02,-0.81,64,0.0316,1.26,64,-0.0137,0.0294,-0.0381,-0.068,0.0199,0.0203,0.059,0.0117,-0.045,0.1536
doi_pe_15,fret,30,162,-0.0056,0.0056,-0.31,0,0,0,-0.0028,-0.11,81,-0.0084,-0.33,81,0.1613,-0.0172,0.1042,-0.0367,-0.1347,0.1276,-0.0027,0.0769,-0.0202,-0.1638
d_prem_15,fret,5,162,-0.0055,0.0055,-0.65,0,0,0,-0.0046,-0.39,81,-0.0064,-0.52,81,0.0479,-0.0164,0.0278,-0.0544,0.0298,0.0643,-0.0295,0.0251,-0.045,0.0209
d_prem_15,fabs,5,162,-0.0054,0.0054,-0.72,0,0,0,-0.0019,-0.18,81,-0.0088,-0.82,81,0.0033,0.0036,-0.0236,0.0236,-0.0201,-0.0189,0.0128,-0.0133,0.0069,-0.0545
doi_pe_30,fabs,5,162,0.0053,0.0053,0.61,0,0,0,0.0043,0.35,81,0.0064,0.5,81,-0.0382,0.0444,0.0193,-0.0632,0.0503,-0.0365,0.0361,0.0085,-0.0587,0.0822
d_atm_iv_15,fret,15,128,0.0051,0.0051,0.36,0,0,0,-0.0206,-0.99,64,0.0308,1.62,64,0.0434,-0.0064,-0.0015,-0.0881,0.0317,0.108,0.0413,0.0199,-0.0314,0.1138
d_pcr_oi_all_15,fdprem,5,162,-0.005,0.005,-0.58,0,0,0,-0.0127,-1.12,81,0.0027,0.21,81,0.0476,-0.0176,-0.0024,-0.0273,-0.0148,0.1009,-0.0064,0.008,-0.0053,-0.0076
doi_pe_5,fabs,60,162,-0.005,0.005,-0.34,0,0,0,-0.0005,-0.02,81,-0.0096,-0.46,81,0.0319,-0.0339,-0.0116,-0.0404,0.1175,-0.0423,-0.0219,-0.0157,-0.0529,0.0969
doi_pe_15,fret,5,162,0.0048,0.0048,0.5,0,0,0,0.011,0.86,81,-0.0014,-0.1,81,0.0993,-0.0043,0.0235,0.0303,-0.0442,0.0331,-0.0175,0.0111,0.027,-0.0548
doi_ce_5,fdprem,15,162,-0.0044,0.0044,-0.35,0,0,0,0.0098,0.58,81,-0.0187,-1.01,81,-0.0143,0.039,0.001,0.0034,0.001,-0.0945,0.0167,0.0174,-0.0318,-0.0778
doi_pe_15,fabs,15,162,0.0042,0.0042,0.39,0,0,0,0.0031,0.22,81,0.0054,0.32,81,-0.0253,0.0216,-0.0034,-0.0377,0.0629,-0.0117,0.0341,0.0073,-0.0605,0.0766
pcr_vol_all,fabs,5,162,-0.0039,0.0039,-0.39,0,0,0,-0.003,-0.2,81,-0.0047,-0.37,81,-0.1182,0.0224,-0.0267,0.0442,-0.0465,-0.0495,0.0008,0.0255,0.004,-0.059
mp_drift_15,fabs,15,160,0.0036,0.0036,0.32,0,0,0,-0.0058,-0.37,79,0.0127,0.82,81,-0.0345,-0.0257,0.0052,-0.0074,0.017,0.0419,0.0203,0.0476,-0.0287,0.0097
pcr_oi_atm10,fdprem,5,162,-0.0034,0.0034,-0.42,0,0,0,0.0007,0.06,81,-0.0076,-0.62,81,0.0385,0.0131,0.0272,-0.0302,-0.016,0.0189,0.0114,-0.0044,-0.0184,-0.0281
pcr_oi_atm5,fdprem,5,162,0.0033,0.0033,0.39,0,0,0,0.0078,0.72,81,-0.0013,-0.1,81,0.0476,0.0222,0.0166,-0.0095,-0.0079,0.0524,0.0105,-0.0012,0.003,-0.0397
doi_pe_5,fdprem,5,162,0.0033,0.0033,0.39,0,0,0,0.0042,0.35,81,0.0025,0.2,81,0.002,0.014,0.0034,-0.0038,0.0058,0.0128,0.0336,0.0097,0.0027,-0.0541
doi_atm_15,fdprem,5,162,-0.0031,0.0031,-0.36,0,0,0,-0.0033,-0.27,81,-0.0029,-0.24,81,0.0035,0.0112,-0.0101,-0.0012,-0.0185,0.073,0.017,0.0083,-0.0098,-0.0567
atm_iv,fabs,15,128,0.003,0.003,0.2,0,0,0,-0.0011,-0.05,64,0.0072,0.33,64,-0.047,0.0679,-0.0722,0.0185,-0.0134,0.1063,0.0166,-0.0565,0.0578,-0.0168
d_pcr_oi_atm5_15,fabs,15,162,0.0026,0.0026,0.29,0,0,0,0.0051,0.38,81,0.0001,0.01,81,0.0276,0.0293,-0.0032,-0.0281,0.0329,0.037,0.0107,0.0003,-0.0287,0.022
d_pcr_oi_all_15,fdprem,60,162,-0.0025,0.0025,-0.12,0,0,0,-0.0096,-0.31,81,0.0047,0.16,81,0.0945,0.0414,0.0258,-0.0591,-0.0805,0.1795,0.0279,0.0197,-0.0431,-0.0208
mp_drift_30,fabs,5,160,-0.0025,0.0025,-0.32,0,0,0,-0.0061,-0.53,79,0.001,0.1,81,-0.0276,0.0156,-0.0149,-0.0349,0.0318,-0.0013,0.0104,-0.0033,-0.0255,0.0391
doi_net_15,fdprem,5,162,-0.0023,0.0023,-0.27,0,0,0,-0.0104,-0.92,81,0.0058,0.46,81,0.055,-0.0156,-0.002,-0.0241,-0.012,0.1189,-0.0009,0.0051,-0.0035,-0.0011
skew,fabs,30,128,0.0023,0.0023,0.13,0,0,0,-0.0158,-0.6,64,0.0205,0.85,64,-0.1136,-0.0454,-0.0011,-0.042,0.0749,0.0237,0.0552,-0.0295,-0.0277,0.1284
doi_pe_30,fdprem,60,162,-0.0022,0.0022,-0.09,0,0,0,-0.0147,-0.44,81,0.0102,0.31,81,0.1124,-0.0497,0.0434,-0.0739,0.0067,0.0994,-0.0294,0.095,-0.0642,0.0337
doi_ce_15,fdprem,15,162,-0.0021,0.0021,-0.15,0,0,0,0.0137,0.73,81,-0.018,-0.82,81,0.0166,0.0096,0.0028,-0.0056,0.0665,-0.1395,-0.0046,0.0181,-0.0241,-0.0455
doi_ce_30,fabs,30,162,0.0021,0.0021,0.12,0,0,0,0.0029,0.11,81,0.0014,0.05,81,-0.0966,0.0132,-0.0409,0.0381,0.0251,-0.0778,0.0012,-0.0513,0.0452,0.0312
doi_pe_30,fdprem,5,162,0.002,0.002,0.22,0,0,0,0.002,0.16,81,0.0021,0.16,81,0.0479,0.0029,0.0192,-0.0255,0.0067,0.0911,-0.0156,0.0062,0.0016,-0.0044
doi_pe_30,fdprem,15,162,-0.0018,0.0018,-0.11,0,0,0,0.0034,0.15,81,-0.007,-0.3,81,0.0581,-0.0249,0.0574,-0.0289,-0.0016,0.1587,-0.0792,0.0258,0.0,-0.0169
doi_ce_5,fdprem,5,162,0.0017,0.0017,0.19,0,0,0,0.0103,0.81,81,-0.007,-0.59,81,-0.0427,0.0266,0.0048,0.0299,-0.0206,0.0009,0.0309,-0.0098,-0.0116,-0.0486
doi_pe_30,fdprem,30,162,-0.0016,0.0016,-0.08,0,0,0,0.0091,0.33,81,-0.0123,-0.42,81,0.0725,-0.0179,0.0891,-0.0452,-0.0031,0.1025,-0.0832,0.0577,-0.0348,-0.0167
mp_drift_15,fabs,30,160,-0.0016,0.0016,-0.13,0,0,0,-0.007,-0.4,79,0.0036,0.2,81,0.0869,-0.0146,0.031,-0.0501,-0.0132,0.0775,-0.0392,0.0464,-0.0271,0.0269
mp_drift_30,fabs,60,160,0.0016,0.0016,0.08,0,0,0,0.0134,0.5,79,-0.01,-0.39,81,0.0922,-0.0546,0.0807,-0.0365,0.0645,0.0531,-0.0012,-0.0197,-0.0533,0.0454
wall_squeeze,fdprem,5,156,0.0014,0.0014,0.14,0,0,0,0.0037,0.28,79,-0.001,-0.06,77,-0.0783,0.0219,0.0173,-0.0047,-0.002,-0.0199,0.0057,-0.0113,0.0238,-0.0267
pcr_oi_atm10,fabs,60,162,-0.0012,0.0012,-0.05,0,0,0,0.0029,0.09,81,-0.0053,-0.18,81,-0.096,-0.0151,-0.0111,-0.0192,0.1131,-0.0501,-0.0466,-0.0064,0.0177,0.0275
d_prem_15,fret,30,162,0.0012,0.0012,0.08,0,0,0,-0.0059,-0.27,81,0.0084,0.39,81,-0.0052,0.0277,0.0074,-0.0682,0.0308,0.0095,0.0429,0.0167,-0.0491,0.043
d_pcr_oi_atm5_15,fdprem,30,162,0.0009,0.0009,0.08,0,0,0,0.0143,0.87,81,-0.0126,-0.82,81,0.0853,0.0526,0.0138,0.0142,-0.0569,0.092,-0.0049,-0.029,-0.0165,-0.0218
pcr_oi_atm5,fdprem,15,162,-0.0008,0.0008,-0.06,0,0,0,0.0076,0.4,81,-0.0092,-0.47,81,0.0405,0.0222,0.0234,-0.0053,-0.0242,-0.0041,0.0267,-0.0037,-0.0099,-0.0667
d_atm_iv_15,fabs,5,128,-0.0006,0.0006,-0.07,0,0,0,0.0013,0.13,64,-0.0025,-0.2,64,0.0073,0.029,-0.0222,0.0105,-0.0197,0.0063,0.0087,0.006,0.0046,-0.0451
pcr_oi_atm5,fdprem,30,162,0.0005,0.0005,0.03,0,0,0,0.0115,0.44,81,-0.0105,-0.4,81,0.0245,0.0108,0.0327,-0.0098,0.0118,-0.071,-0.0069,0.0036,0.016,-0.0625
pcr_oi_atm10,fdprem,60,162,0.0004,0.0004,0.02,0,0,0,-0.0025,-0.07,81,0.0033,0.1,81,0.0085,-0.0418,0.0497,-0.0264,0.0085,-0.0928,0.0446,0.0289,-0.0079,-0.0453
d_pcr_oi_atm5_15,fabs,5,162,0.0004,0.0004,0.07,0,0,0,0.0,0.0,81,0.0008,0.1,81,-0.0152,0.0071,0.0125,-0.0291,0.024,-0.0038,0.0086,0.012,-0.0209,0.0105
doi_ce_15,fdprem,5,162,-0.0002,0.0002,-0.02,0,0,0,0.0116,1.0,81,-0.012,-0.9,81,-0.0249,0.0296,-0.0084,0.0147,0.0227,-0.0811,0.023,-0.0018,-0.0167,-0.0472
