date,venue,rows,minutes,first_stamp,last_stamp,n_expiries,near_expiry,dte,oi_null_pct,oi_zero_pct,iv_null_pct,bid_null_pct,n_strikes_near,strike_step
2026-04-20,NIFTY,30832,94,13:56:00,15:30:00,4,2026-04-21,1,0.0,6.02,22.09,0.0,44,50.0
2026-04-20,SENSEX,30504,93,13:56:04,15:30:08,4,2026-04-23,3,0.0,37.78,3.11,0.0,45,100.0
2026-04-27,NIFTY,121360,370,09:20:00,15:30:00,4,2026-04-28,1,0.0,3.04,21.12,0.0,44,50.0
2026-04-27,SENSEX,121360,370,09:20:09,15:30:20,4,2026-04-30,3,0.0,45.99,5.75,0.0,46,100.0
2026-04-28,NIFTY,121688,371,09:20:00,15:30:00,4,2026-04-28,0,0.0,0.94,37.95,0.0,46,50.0
2026-04-28,SENSEX,121688,371,09:20:08,15:30:04,4,2026-04-30,2,0.0,42.26,8.19,0.0,48,100.0
2026-04-29,NIFTY,121688,371,09:20:00,15:30:00,4,2026-05-05,7,0.0,1.18,15.44,0.0,47,50.0
2026-04-29,SENSEX,121688,371,09:20:08,15:30:05,4,2026-04-30,1,0.0,37.52,13.07,0.0,49,100.0
2026-04-30,NIFTY,121032,369,09:20:00,15:30:00,4,2026-05-05,6,0.0,0.82,16.19,0.0,47,50.0
2026-04-30,SENSEX,121032,369,09:20:08,15:30:08,4,2026-04-30,0,0.0,33.45,29.88,0.0,50,100.0
2026-05-01,NIFTY,121688,371,09:20:00,15:30:00,4,2026-05-05,4,0.0,0.0,18.29,0.0,41,50.0
2026-05-01,SENSEX,121688,371,09:20:08,15:30:05,4,2026-05-07,6,0.0,39.33,3.35,0.0,41,100.0
2026-05-04,NIFTY,121688,371,09:20:00,15:30:00,4,2026-05-05,1,0.0,0.07,22.25,0.0,47,50.0
2026-05-04,SENSEX,121688,371,09:20:06,15:30:04,4,2026-05-07,3,0.0,30.77,6.75,0.0,50,100.0
2026-05-05,NIFTY,121360,370,09:20:00,15:30:00,4,2026-05-05,0,0.0,0.15,37.55,0.0,44,50.0
2026-05-05,SENSEX,121688,371,09:20:08,15:30:05,4,2026-05-07,2,0.0,24.46,7.72,0.0,47,100.0
2026-05-06,NIFTY,121688,371,09:20:00,15:30:00,4,2026-05-12,6,0.0,6.97,17.9,0.0,48,50.0
2026-05-06,SENSEX,121688,371,09:20:11,15:30:09,4,2026-05-07,1,0.0,17.8,12.9,0.0,53,100.0
2026-05-07,NIFTY,121360,370,09:20:00,15:30:00,4,2026-05-12,5,0.0,5.78,16.48,0.0,44,50.0
2026-05-07,SENSEX,121032,369,09:20:16,15:30:11,4,2026-05-07,0,0.0,11.16,28.25,0.0,48,100.0
2026-05-08,NIFTY,121688,371,09:20:00,15:30:00,4,2026-05-12,4,0.0,5.03,18.07,0.0,43,50.0
2026-05-08,SENSEX,121688,371,09:20:07,15:30:05,4,2026-05-14,6,0.0,30.7,6.1,0.0,45,100.0
2026-05-11,NIFTY,121688,371,09:20:00,15:30:00,4,2026-05-12,1,0.0,2.72,21.53,0.0,45,50.0
2026-05-11,SENSEX,120704,368,09:20:09,15:30:08,4,2026-05-14,3,0.0,35.71,8.61,0.0,47,100.0
2026-05-12,NIFTY,121688,371,09:20:00,15:30:00,4,2026-05-12,0,0.0,2.99,37.61,0.0,49,50.0
2026-05-12,SENSEX,121688,371,09:20:15,15:30:07,4,2026-05-14,2,0.0,40.21,8.81,0.0,52,100.0
2026-05-13,NIFTY,121688,371,09:20:00,15:30:00,4,2026-05-19,6,0.0,8.14,13.86,0.0,48,50.0
2026-05-13,SENSEX,121688,371,09:20:10,15:30:05,4,2026-05-14,1,0.0,31.91,8.29,0.0,51,100.0
2026-05-14,NIFTY,121688,371,09:20:00,15:30:00,4,2026-05-19,5,0.0,4.44,16.2,0.0,47,50.0
2026-05-14,SENSEX,121688,371,09:20:10,15:30:08,4,2026-05-14,0,0.0,24.95,27.98,0.0,53,100.0
2026-05-15,NIFTY,121688,371,09:20:00,15:30:00,4,2026-05-19,4,0.0,3.09,18.2,0.0,46,50.0
2026-05-15,SENSEX,120704,368,09:20:09,15:30:07,4,2026-05-21,6,0.0,38.9,3.21,0.0,48,100.0
2026-05-18,NIFTY,121688,371,09:20:00,15:30:00,4,2026-05-19,1,0.0,3.45,19.95,0.0,49,50.0
2026-05-18,SENSEX,121688,371,09:20:09,15:30:10,4,2026-05-21,3,0.0,34.64,5.93,0.0,53,100.0
2026-05-19,NIFTY,121360,370,09:21:00,15:30:00,4,2026-05-19,0,0.0,2.45,37.71,0.0,45,50.0
2026-05-19,SENSEX,121688,371,09:20:26,15:30:19,4,2026-05-21,2,0.0,29.99,8.02,0.0,47,100.0
2026-05-20,NIFTY,121688,371,09:20:00,15:30:00,4,2026-05-26,6,0.0,11.13,14.03,0.0,46,50.0
2026-05-20,SENSEX,121688,371,09:20:22,15:30:15,4,2026-05-21,1,0.0,30.65,11.17,0.0,48,100.0
2026-05-21,NIFTY,121032,369,09:20:00,15:30:00,4,2026-05-26,5,0.0,9.42,17.17,0.0,45,50.0
2026-05-21,SENSEX,121360,370,09:20:18,15:30:18,4,2026-05-21,0,0.0,29.48,28.68,0.0,48,100.0
2026-05-22,NIFTY,121688,371,09:20:00,15:30:00,4,2026-05-26,4,0.0,8.42,18.9,0.0,44,50.0
2026-05-22,SENSEX,121688,371,09:20:16,15:30:15,4,2026-05-27,5,0.0,48.83,5.96,0.0,45,100.0
2026-05-25,NIFTY,121360,370,09:20:00,15:30:00,4,2026-05-26,1,0.0,7.31,23.1,0.0,43,50.0
2026-05-25,SENSEX,121032,369,09:20:17,15:30:07,4,2026-05-27,2,0.0,43.42,11.69,0.0,45,100.0
2026-05-26,NIFTY,121688,371,09:20:00,15:30:00,4,2026-05-26,0,0.0,5.12,38.07,0.0,45,50.0
2026-05-26,SENSEX,121688,371,09:20:17,15:30:12,4,2026-05-27,1,0.0,38.25,10.0,0.0,48,100.0
2026-05-27,NIFTY,121688,371,09:20:00,15:30:00,4,2026-06-02,6,0.0,11.05,17.26,0.0,44,50.0
2026-05-27,SENSEX,121688,371,09:20:16,15:30:11,4,2026-05-27,0,0.0,33.85,27.03,0.0,45,100.0
2026-05-28,NIFTY,121688,371,09:20:00,15:30:00,4,2026-06-02,5,0.0,9.76,20.43,0.0,41,50.0
2026-05-28,SENSEX,121688,371,09:20:08,15:30:05,4,2026-06-04,7,0.0,42.99,2.44,0.0,41,100.0
2026-05-29,NIFTY,121688,371,09:20:00,15:30:00,4,2026-06-02,4,0.0,9.12,23.84,0.0,50,50.0
2026-05-29,SENSEX,121688,371,09:20:14,15:30:09,4,2026-06-04,6,0.0,37.54,5.67,0.0,57,100.0
2026-06-01,NIFTY,121360,370,09:21:00,15:30:00,4,2026-06-02,1,0.0,6.38,26.72,0.0,47,50.0
2026-06-01,SENSEX,121360,370,09:20:24,15:30:13,4,2026-06-04,3,0.0,30.79,10.05,0.0,50,100.0
2026-06-02,NIFTY,121688,371,09:20:00,15:30:00,4,2026-06-02,0,0.0,4.82,43.3,0.0,47,50.0
2026-06-02,SENSEX,121688,371,09:20:14,15:30:11,4,2026-06-04,2,0.0,20.45,12.36,0.0,50,100.0
2026-06-03,NIFTY,123328,376,09:15:00,15:30:00,4,2026-06-09,6,0.0,3.75,19.71,0.0,47,50.0
2026-06-03,SENSEX,123328,376,09:15:07,15:30:09,4,2026-06-04,1,0.0,18.54,15.3,0.0,51,100.0
2026-06-04,NIFTY,123328,376,09:15:00,15:30:00,4,2026-06-09,5,0.0,0.81,18.08,0.0,44,50.0
2026-06-04,SENSEX,123000,375,09:15:07,15:30:10,4,2026-06-04,0,0.0,10.64,28.21,0.0,47,100.0
2026-06-05,NIFTY,123000,375,09:15:00,15:30:00,4,2026-06-09,4,0.0,0.58,20.26,0.0,45,50.0
2026-06-05,SENSEX,122672,374,09:15:10,15:30:11,4,2026-06-11,6,0.0,29.72,4.46,0.0,48,100.0
2026-06-08,NIFTY,123328,376,09:15:00,15:30:00,4,2026-06-09,1,0.0,0.0,23.42,0.0,44,50.0
2026-06-08,SENSEX,122672,374,09:15:06,15:30:10,4,2026-06-11,3,0.0,31.36,8.3,0.0,46,100.0
2026-06-09,NIFTY,113488,346,09:45:00,15:30:00,4,2026-06-09,0,0.0,0.0,38.92,0.0,45,50.0
2026-06-09,SENSEX,113488,346,09:45:07,15:30:11,4,2026-06-11,2,0.0,27.64,9.22,0.0,47,100.0
2026-06-10,NIFTY,123000,375,09:15:00,15:30:00,4,2026-06-16,6,0.0,6.67,15.89,0.0,45,50.0
2026-06-10,SENSEX,123000,375,09:15:08,15:30:16,4,2026-06-11,1,0.0,22.46,11.55,0.0,48,100.0
2026-06-11,NIFTY,123328,376,09:15:00,15:30:00,4,2026-06-16,5,0.0,5.81,18.5,0.0,45,50.0
2026-06-11,SENSEX,123328,376,09:15:08,15:30:17,4,2026-06-11,0,0.0,23.26,28.75,0.0,50,100.0
2026-06-12,NIFTY,123000,375,09:15:00,15:30:00,4,2026-06-16,4,0.0,5.02,17.84,0.0,48,50.0
2026-06-12,SENSEX,123000,375,09:15:09,15:30:19,4,2026-06-18,6,0.0,39.02,10.16,0.0,52,100.0
2026-06-15,NIFTY,122344,373,09:15:00,15:30:00,4,2026-06-16,1,0.0,5.28,20.77,0.0,45,50.0
2026-06-15,SENSEX,122344,373,09:18:06,15:30:15,4,2026-06-18,3,0.0,34.37,10.72,0.0,48,100.0
2026-06-16,NIFTY,123328,376,09:15:00,15:30:00,4,2026-06-16,0,0.0,5.13,35.94,0.0,43,50.0
2026-06-16,SENSEX,123328,376,09:15:08,15:30:12,4,2026-06-18,2,0.0,31.4,8.62,0.0,45,100.0
2026-06-17,NIFTY,123328,376,09:15:00,15:30:00,4,2026-06-23,6,0.0,11.56,14.89,0.0,43,50.0
2026-06-17,SENSEX,123328,376,09:15:10,15:30:11,4,2026-06-18,1,0.0,31.3,11.08,0.0,45,100.0
2026-06-18,NIFTY,123000,375,09:15:00,15:30:00,4,2026-06-23,5,0.0,11.1,16.72,0.0,44,50.0
2026-06-18,SENSEX,123000,375,09:15:11,15:30:20,4,2026-06-18,0,0.0,30.4,27.17,0.0,46,100.0
2026-06-19,NIFTY,123000,375,09:15:00,15:30:00,4,2026-06-23,4,0.0,8.18,17.3,0.0,44,50.0
2026-06-19,SENSEX,123328,376,09:15:16,15:30:21,4,2026-06-25,6,0.0,40.88,11.4,0.0,45,100.0
2026-06-22,NIFTY,123328,376,09:15:00,15:30:00,4,2026-06-23,1,0.0,8.96,23.36,0.0,42,50.0
2026-06-22,SENSEX,121032,369,09:15:10,15:30:15,4,2026-06-25,3,0.0,38.34,7.64,0.0,44,100.0
2026-06-23,NIFTY,123000,375,09:15:00,15:30:00,4,2026-06-23,0,0.0,6.71,38.04,0.0,48,50.0
2026-06-23,SENSEX,123000,375,09:15:09,15:30:16,4,2026-06-25,2,0.0,34.68,11.31,0.0,52,100.0
2026-06-24,NIFTY,94464,288,09:15:00,15:30:00,4,2026-06-30,6,0.0,17.63,15.1,0.0,47,50.0
2026-06-24,SENSEX,94792,289,09:15:19,15:30:31,4,2026-06-25,1,0.0,31.71,13.44,0.0,51,100.0
2026-06-25,NIFTY,97416,297,09:15:00,15:30:00,4,2026-06-30,5,0.0,16.72,15.16,0.0,45,50.0
2026-06-25,SENSEX,97416,297,09:15:40,15:30:49,4,2026-06-25,0,0.0,31.34,28.97,0.0,49,100.0
2026-06-26,NIFTY,121688,371,09:15:00,15:30:00,4,2026-06-30,4,0.0,13.41,18.9,0.0,41,50.0
2026-06-26,SENSEX,122016,372,09:15:20,15:30:14,4,2026-07-02,7,0.0,53.96,4.57,0.0,41,100.0
2026-06-29,NIFTY,111848,341,09:15:00,15:30:00,4,2026-06-30,1,0.0,12.71,32.48,0.0,44,50.0
2026-06-29,SENSEX,112176,342,09:15:21,15:30:36,4,2026-07-02,4,0.0,47.09,8.58,0.0,47,100.0
2026-06-30,NIFTY,122344,373,09:15:00,15:30:00,4,2026-06-30,0,0.0,10.87,47.24,0.0,45,50.0
2026-06-30,SENSEX,122672,374,09:15:16,15:30:22,4,2026-07-02,3,0.0,40.4,9.09,0.0,47,100.0
2026-07-01,NIFTY,123328,376,09:15:00,15:30:00,4,2026-07-07,6,0.0,8.69,22.31,0.0,44,50.0
2026-07-01,SENSEX,122344,373,09:15:08,15:30:14,4,2026-07-02,1,0.0,36.08,11.57,0.0,46,100.0
