outcome,horizon,control,n,ic,t,ic_NIFTY,ic_SENSEX
fabs,5,g1c_controls,128,0.0001,0.01,-0.0023,0.0025
fabs,5,plus_pastret5,128,0.0011,0.13,-0.001,0.0033
fabs,15,g1c_controls,128,-0.0116,-0.98,-0.0204,-0.0029
fabs,15,plus_pastret5,128,-0.0128,-1.08,-0.0207,-0.0049
fabs,30,g1c_controls,128,0.0004,0.03,-0.0135,0.0143
fabs,30,plus_pastret5,128,0.0012,0.08,-0.012,0.0144
fabs,60,g1c_controls,128,0.0304,1.74,0.0412,0.0196
fabs,60,plus_pastret5,128,0.0309,1.76,0.041,0.0208
fdprem,5,g1c_controls,128,0.0027,0.22,0.0102,-0.0049
fdprem,5,plus_pastret5,128,0.005,0.42,0.0117,-0.0018
fdprem,15,g1c_controls,128,0.0055,0.32,0.0164,-0.0054
fdprem,15,plus_pastret5,128,0.005,0.29,0.0152,-0.0052
fdprem,30,g1c_controls,128,0.0097,0.51,0.0133,0.0061
fdprem,30,plus_pastret5,128,0.0096,0.5,0.0136,0.0057
fdprem,60,g1c_controls,128,0.016,0.83,0.0203,0.0117
fdprem,60,plus_pastret5,128,0.0155,0.81,0.0196,0.0115
fret,5,g1c_controls,128,-0.138,-13.95,-0.1275,-0.1485
fret,5,plus_pastret5,128,-0.1375,-13.8,-0.127,-0.1481
fret,15,g1c_controls,128,-0.1189,-7.72,-0.1264,-0.1113
fret,15,plus_pastret5,128,-0.1185,-7.74,-0.1255,-0.1114
fret,30,g1c_controls,128,-0.0972,-5.06,-0.0961,-0.0984
fret,30,plus_pastret5,128,-0.0962,-4.98,-0.0955,-0.0969
fret,60,g1c_controls,128,-0.0893,-4.3,-0.0722,-0.1064
fret,60,plus_pastret5,128,-0.0868,-4.16,-0.0678,-0.1059
