venue,trigger,action,n,fired_pct,mean,t,diff_vs_hold,t_diff,random_diff,beats_random,win,med,p05,worst,best
NIFTY,-,HOLD,84,100.0,282.86,0.65,0.0,0.0,,,65.48,1173.75,-5373.75,-18866.25,9228.75
SENSEX,-,HOLD,84,100.0,193.68,1.12,0.0,0.0,,,67.86,525.0,-2384.0,-8311.0,4036.0
BOTH,-,HOLD,168,100.0,238.27,1.02,0.0,0.0,,,66.67,709.0,-4305.0,-18866.25,9228.75
NIFTY,pcr_oi_all>1.2,EXIT_ALL,84,47.6,80.0,0.25,-202.9,-0.66,121.2,0,48.8,-138.8,-3146.3,-18866.2,9228.8
SENSEX,pcr_oi_all>1.2,EXIT_ALL,84,67.9,27.3,0.36,-166.4,-1.03,-123.6,0,39.3,-160.0,-1139.0,-1632.5,2218.0
BOTH,pcr_oi_all>1.2,EXIT_ALL,168,57.7,53.6,0.33,-184.6,-1.07,-1.2,0,44.0,-160.0,-1991.3,-18866.2,9228.8
NIFTY,pcr_oi_all>1.2,EXIT_LEG,84,47.6,-418.8,-0.82,-701.6,-2.01,-99.5,0,56.0,723.7,-6003.7,-22500.0,9228.8
SENSEX,pcr_oi_all>1.2,EXIT_LEG,84,67.9,-160.9,-0.76,-354.6,-1.8,-272.5,0,54.8,360.5,-3350.5,-10634.5,2615.0
BOTH,pcr_oi_all>1.2,EXIT_LEG,168,57.7,-289.8,-1.05,-528.1,-2.64,-186.0,0,55.4,460.0,-5583.8,-22500.0,9228.8
NIFTY,pcr_oi_all>1.2,STOP12,84,47.6,229.6,0.61,-53.3,-0.22,61.5,0,63.1,1102.5,-5272.5,-18866.2,9228.8
SENSEX,pcr_oi_all>1.2,STOP12,84,67.9,32.1,0.23,-161.6,-1.25,-187.4,1,61.9,404.0,-2252.0,-3393.5,3628.5
BOTH,pcr_oi_all>1.2,STOP12,168,57.7,130.8,0.65,-107.4,-0.8,-63.0,0,62.5,572.0,-4012.5,-18866.2,9228.8
NIFTY,pcr_oi_all>1.2,STOP13,84,47.6,495.2,1.3,212.3,1.56,160.6,1,65.5,1173.8,-4305.0,-18866.2,9228.8
SENSEX,pcr_oi_all>1.2,STOP13,84,67.9,-70.1,-0.44,-263.8,-1.95,-202.9,0,61.9,404.0,-2629.5,-3783.5,3628.5
BOTH,pcr_oi_all>1.2,STOP13,168,57.7,212.5,1.03,-25.7,-0.26,-21.1,0,63.7,592.5,-3536.2,-18866.2,9228.8
NIFTY,pcr_oi_all>1.4,EXIT_ALL,84,15.5,95.6,0.23,-187.2,-1.28,-58.2,0,58.3,806.2,-4736.2,-18866.2,9228.8
SENSEX,pcr_oi_all>1.4,EXIT_ALL,84,35.7,125.3,1.01,-68.4,-0.53,16.0,0,52.4,104.5,-1675.0,-2376.5,4036.0
BOTH,pcr_oi_all>1.4,EXIT_ALL,168,25.6,110.5,0.51,-127.8,-1.32,-21.1,0,55.4,404.0,-2700.0,-18866.2,9228.8
NIFTY,pcr_oi_all>1.4,EXIT_LEG,84,15.5,175.4,0.41,-107.5,-0.57,-128.2,1,63.1,1102.5,-5373.8,-18866.2,9228.8
SENSEX,pcr_oi_all>1.4,EXIT_LEG,84,35.7,-10.8,-0.05,-204.5,-1.64,-109.1,0,61.9,404.0,-2299.0,-10634.5,4036.0
BOTH,pcr_oi_all>1.4,EXIT_LEG,168,25.6,82.3,0.35,-156.0,-1.39,-118.7,0,62.5,588.8,-4440.0,-18866.2,9228.8
NIFTY,pcr_oi_all>1.4,STOP12,84,15.5,129.2,0.3,-153.6,-1.08,-60.7,0,64.3,1102.5,-5272.5,-18866.2,9228.8
SENSEX,pcr_oi_all>1.4,STOP12,84,35.7,108.6,0.75,-85.1,-0.81,-102.8,1,63.1,424.5,-2171.0,-2612.0,4036.0
BOTH,pcr_oi_all>1.4,STOP12,168,25.6,118.9,0.53,-119.4,-1.36,-81.7,0,63.7,592.5,-4368.7,-18866.2,9228.8
NIFTY,pcr_oi_all>1.4,STOP13,84,15.5,290.3,0.67,7.4,1.06,-13.6,1,65.5,1173.8,-5373.8,-18866.2,9228.8
SENSEX,pcr_oi_all>1.4,STOP13,84,35.7,30.7,0.19,-163.0,-1.44,-160.4,0,63.1,424.5,-2623.5,-3233.5,4036.0
BOTH,pcr_oi_all>1.4,STOP13,168,25.6,160.5,0.69,-77.8,-1.37,-87.0,1,64.3,597.0,-4012.5,-18866.2,9228.8
NIFTY,pcr_oi_all>1.6,EXIT_ALL,84,6.0,169.4,0.39,-113.4,-1.67,-9.9,0,63.1,982.5,-4980.0,-18866.2,9228.8
SENSEX,pcr_oi_all>1.6,EXIT_ALL,84,25.0,80.2,0.55,-113.5,-0.85,33.5,0,57.1,241.0,-2357.0,-3259.5,4036.0
BOTH,pcr_oi_all>1.6,EXIT_ALL,168,15.5,124.8,0.54,-113.5,-1.53,11.8,0,60.1,536.3,-4305.0,-18866.2,9228.8
NIFTY,pcr_oi_all>1.6,EXIT_LEG,84,6.0,157.4,0.36,-125.4,-1.43,-49.3,0,61.9,982.5,-4770.0,-18866.2,9228.8
SENSEX,pcr_oi_all>1.6,EXIT_LEG,84,25.0,-142.5,-0.66,-336.2,-2.82,-99.1,0,61.9,404.0,-3285.5,-10634.5,4036.0
BOTH,pcr_oi_all>1.6,EXIT_LEG,168,15.5,7.4,0.03,-230.8,-3.11,-74.2,0,61.9,572.0,-4305.0,-18866.2,9228.8
NIFTY,pcr_oi_all>1.6,STOP12,84,6.0,274.9,0.63,-8.0,-0.28,-4.6,0,65.5,1173.8,-4980.0,-18866.2,9228.8
SENSEX,pcr_oi_all>1.6,STOP12,84,25.0,65.7,0.42,-128.0,-1.12,-86.0,0,63.1,424.5,-2376.5,-3259.5,4036.0
BOTH,pcr_oi_all>1.6,STOP12,168,15.5,170.3,0.74,-68.0,-1.16,-45.3,0,64.3,597.0,-4305.0,-18866.2,9228.8
NIFTY,pcr_oi_all>1.6,STOP13,84,6.0,298.4,0.69,15.5,1.0,3.8,1,65.5,1173.8,-4980.0,-18866.2,9228.8
SENSEX,pcr_oi_all>1.6,STOP13,84,25.0,20.5,0.13,-173.1,-1.48,-141.0,0,63.1,424.5,-3011.5,-3259.5,4036.0
BOTH,pcr_oi_all>1.6,STOP13,168,15.5,159.5,0.69,-78.8,-1.33,-68.6,0,64.3,597.0,-4012.5,-18866.2,9228.8
NIFTY,pcr_oi_all<0.6,EXIT_ALL,84,14.3,317.5,0.92,34.6,0.14,200.2,0,64.3,982.5,-5253.7,-16016.2,8613.8
SENSEX,pcr_oi_all<0.6,EXIT_ALL,84,26.2,36.1,0.22,-157.5,-1.75,-6.9,0,57.1,281.0,-2384.0,-8265.5,3628.5
BOTH,pcr_oi_all<0.6,EXIT_ALL,168,20.2,176.8,0.93,-61.5,-0.48,96.6,0,60.7,536.3,-4657.5,-16016.2,8613.8
NIFTY,pcr_oi_all<0.6,EXIT_LEG,84,14.3,229.8,0.6,-53.0,-0.18,-11.5,0,65.5,1102.5,-6015.0,-16016.2,8613.8
SENSEX,pcr_oi_all<0.6,EXIT_LEG,84,26.2,-6.5,-0.03,-200.2,-1.38,-168.8,0,63.1,511.5,-3409.5,-8145.0,3628.5
BOTH,pcr_oi_all<0.6,EXIT_LEG,168,20.2,111.6,0.52,-126.6,-0.79,-90.2,0,64.3,709.0,-5041.5,-16016.2,8613.8
NIFTY,pcr_oi_all<0.6,STOP12,84,14.3,277.2,0.77,-5.6,-0.02,161.8,0,64.3,1102.5,-5272.5,-16016.2,8613.8
SENSEX,pcr_oi_all<0.6,STOP12,84,26.2,-1.1,-0.01,-194.8,-2.06,-81.6,0,63.1,471.0,-2397.0,-8265.5,3628.5
BOTH,pcr_oi_all<0.6,STOP12,168,20.2,138.0,0.69,-100.2,-0.76,40.1,0,63.7,597.0,-4770.0,-16016.2,8613.8
NIFTY,pcr_oi_all<0.6,STOP13,84,14.3,472.5,1.29,189.6,1.02,234.1,0,65.5,1173.8,-5253.7,-16016.2,9228.8
SENSEX,pcr_oi_all<0.6,STOP13,84,26.2,-54.3,-0.3,-248.0,-2.49,-125.2,0,63.1,471.0,-2623.5,-8265.5,3628.5
BOTH,pcr_oi_all<0.6,STOP13,168,20.2,209.1,1.02,-29.2,-0.27,54.5,0,64.3,618.0,-4305.0,-16016.2,9228.8
NIFTY,pcr_oi_all<0.8,EXIT_ALL,84,76.2,151.4,0.75,-131.4,-0.37,31.2,0,47.6,-37.5,-2006.2,-7661.3,8613.8
SENSEX,pcr_oi_all<0.8,EXIT_ALL,84,83.3,-176.9,-1.99,-370.6,-2.8,-252.8,0,32.1,-160.0,-1537.5,-4685.0,1332.0
BOTH,pcr_oi_all<0.8,EXIT_ALL,168,79.8,-12.7,-0.12,-251.0,-1.31,-110.8,0,39.9,-160.0,-1875.0,-7661.3,8613.8
NIFTY,pcr_oi_all<0.8,EXIT_LEG,84,76.2,434.8,1.12,151.9,0.3,-379.3,1,65.5,982.5,-6378.8,-11655.0,8613.8
SENSEX,pcr_oi_all<0.8,EXIT_LEG,84,83.3,152.3,0.92,-41.3,-0.23,-371.2,1,63.1,442.0,-2638.0,-5304.0,2501.0
BOTH,pcr_oi_all<0.8,EXIT_LEG,168,79.8,293.6,1.39,55.3,0.21,-375.3,1,64.3,566.2,-5304.0,-11655.0,8613.8
NIFTY,pcr_oi_all<0.8,STOP12,84,76.2,342.9,1.07,60.0,0.2,87.5,0,64.3,1102.5,-6026.2,-7661.3,8613.8
SENSEX,pcr_oi_all<0.8,STOP12,84,83.3,-50.8,-0.35,-244.5,-2.0,-206.1,0,60.7,404.0,-2581.0,-4685.0,2627.5
BOTH,pcr_oi_all<0.8,STOP12,168,79.8,146.1,0.83,-92.2,-0.57,-59.3,0,62.5,588.8,-4368.7,-7661.3,8613.8
NIFTY,pcr_oi_all<0.8,STOP13,84,76.2,647.6,2.09,364.8,1.65,322.6,1,65.5,1173.8,-4012.5,-7661.3,9228.8
SENSEX,pcr_oi_all<0.8,STOP13,84,83.3,-80.4,-0.49,-274.1,-2.33,-210.3,0,61.9,424.5,-2629.5,-4685.0,3628.5
BOTH,pcr_oi_all<0.8,STOP13,168,79.8,283.6,1.6,45.3,0.36,56.1,0,63.7,597.0,-3678.7,-7661.3,9228.8
NIFTY,d_pcr_oi_15>0.05,EXIT_ALL,84,94.0,-5.0,-0.04,-287.8,-0.68,-171.1,0,48.8,-22.5,-1815.0,-3693.8,3408.8
SENSEX,d_pcr_oi_15>0.05,EXIT_ALL,84,91.7,-97.2,-1.92,-290.9,-1.66,-229.9,0,42.9,-33.0,-866.5,-2384.0,1185.0
BOTH,d_pcr_oi_15>0.05,EXIT_ALL,168,92.9,-51.1,-0.78,-289.3,-1.27,-200.5,0,45.8,-33.0,-1327.5,-3693.8,3408.8
NIFTY,d_pcr_oi_15>0.05,EXIT_LEG,84,94.0,-169.2,-0.37,-452.1,-0.79,-555.7,1,52.4,588.8,-7492.5,-15206.2,7657.5
SENSEX,d_pcr_oi_15>0.05,EXIT_LEG,84,91.7,-210.9,-1.12,-404.6,-1.67,-376.8,0,47.6,-108.0,-3263.5,-5653.5,2619.5
BOTH,d_pcr_oi_15>0.05,EXIT_LEG,168,92.9,-190.0,-0.76,-428.3,-1.38,-466.2,1,50.0,75.0,-5340.0,-15206.2,7657.5
NIFTY,d_pcr_oi_15>0.05,STOP12,84,94.0,393.5,1.28,110.7,0.35,84.8,1,64.3,1102.5,-4695.0,-6735.0,8613.8
SENSEX,d_pcr_oi_15>0.05,STOP12,84,91.7,-46.9,-0.34,-240.6,-1.72,-205.2,0,59.5,360.5,-2275.0,-3393.5,2627.5
BOTH,d_pcr_oi_15>0.05,STOP12,168,92.9,173.3,1.03,-64.9,-0.38,-60.2,0,61.9,572.0,-4020.0,-6735.0,8613.8
NIFTY,d_pcr_oi_15>0.05,STOP13,84,94.0,655.7,2.14,372.9,1.65,290.0,1,65.5,1173.8,-4012.5,-7050.0,9228.8
SENSEX,d_pcr_oi_15>0.05,STOP13,84,91.7,-103.1,-0.65,-296.8,-2.15,-225.2,0,60.7,404.0,-2623.5,-3783.5,3628.5
BOTH,d_pcr_oi_15>0.05,STOP13,168,92.9,276.3,1.58,38.0,0.28,32.4,1,63.1,592.5,-3678.7,-7050.0,9228.8
NIFTY,d_pcr_oi_15<-0.05,EXIT_ALL,84,95.2,-262.2,-1.97,-545.0,-1.33,-226.7,0,42.9,-221.2,-2373.7,-4830.0,2793.7
SENSEX,d_pcr_oi_15<-0.05,EXIT_ALL,84,95.2,-144.6,-2.76,-338.3,-1.94,-207.6,0,38.1,-113.0,-982.5,-2433.5,750.5
BOTH,d_pcr_oi_15<-0.05,EXIT_ALL,168,95.2,-203.4,-2.85,-441.7,-1.99,-217.2,0,40.5,-123.0,-1774.0,-4830.0,2793.7
NIFTY,d_pcr_oi_15<-0.05,EXIT_LEG,84,95.2,-922.9,-1.9,-1205.8,-2.19,-474.3,0,46.4,-165.0,-9911.2,-15851.2,6525.0
SENSEX,d_pcr_oi_15<-0.05,EXIT_LEG,84,95.2,-208.0,-1.02,-401.7,-1.58,-310.7,0,50.0,224.0,-4452.5,-6528.5,3106.0
BOTH,d_pcr_oi_15<-0.05,EXIT_LEG,168,95.2,-565.5,-2.14,-803.8,-2.65,-392.5,0,48.2,-78.7,-6551.3,-15851.2,6525.0
NIFTY,d_pcr_oi_15<-0.05,STOP12,84,95.2,353.9,1.14,71.1,0.22,84.9,0,63.1,1102.5,-4695.0,-6735.0,8613.8
SENSEX,d_pcr_oi_15<-0.05,STOP12,84,95.2,-58.1,-0.42,-251.8,-1.78,-191.9,0,59.5,360.5,-2275.0,-3393.5,2627.5
BOTH,d_pcr_oi_15<-0.05,STOP12,168,95.2,147.9,0.87,-90.3,-0.52,-53.5,0,61.3,547.0,-4020.0,-6735.0,8613.8
NIFTY,d_pcr_oi_15<-0.05,STOP13,84,95.2,652.3,2.12,369.5,1.64,296.2,1,65.5,1173.8,-4012.5,-7050.0,9228.8
SENSEX,d_pcr_oi_15<-0.05,STOP13,84,95.2,-108.9,-0.68,-302.6,-2.2,-223.0,0,60.7,404.0,-2629.5,-3783.5,3628.5
BOTH,d_pcr_oi_15<-0.05,STOP13,168,95.2,271.7,1.55,33.4,0.25,36.6,0,63.1,592.5,-3678.7,-7050.0,9228.8
NIFTY,doi_net_15>0.05,EXIT_ALL,84,95.2,-16.2,-0.17,-299.0,-0.72,-175.0,0,51.2,37.5,-1728.8,-2628.8,1905.0
SENSEX,doi_net_15>0.05,EXIT_ALL,84,95.2,-128.4,-2.49,-322.1,-1.83,-246.1,0,41.7,-37.0,-991.0,-2384.0,1089.5
BOTH,doi_net_15>0.05,EXIT_ALL,168,95.2,-72.3,-1.34,-310.5,-1.37,-210.6,0,46.4,-36.0,-1293.7,-2628.8,1905.0
NIFTY,doi_net_15>0.05,EXIT_LEG,84,95.2,-178.2,-0.39,-461.1,-0.8,-534.8,1,50.0,82.5,-7717.5,-15528.8,7657.5
SENSEX,doi_net_15>0.05,EXIT_LEG,84,95.2,-262.9,-1.34,-456.5,-1.86,-404.5,0,47.6,-90.0,-4783.0,-5653.5,2839.0
