signal,outcome,horizon,is_placebo,ic_raw,t_raw,stable_raw,ic_partial,t_partial,stable_partial,ic_shuffled,t_shuffled,abs_partial,pct_raw_surviving,alive,n_raw,ic_raw_NIFTY,ic_raw_SENSEX,ic_partial_NIFTY,ic_partial_SENSEX,ic_shuffled_NIFTY,ic_shuffled_SENSEX,n_partial,n_shuffled,stable_shuffled
atm_iv,fdprem,60,0,-0.2746,-8.33,1,-0.394,-18.25,1,0.0237,0.69,0.394,143.5,1,128,-0.2599,-0.2892,-0.3855,-0.4024,0.042,0.0038,128,92,0
atm_iv,fdprem,30,0,-0.2026,-8.25,1,-0.3686,-20.24,1,0.0324,1.28,0.3686,181.9,1,128,-0.1846,-0.2206,-0.3705,-0.3667,0.033,0.0318,128,92,0
atm_iv,fdprem,15,0,-0.1483,-8.17,1,-0.3085,-20.94,1,0.0351,1.91,0.3085,208.0,1,128,-0.1367,-0.1599,-0.3024,-0.3146,0.0309,0.0396,128,92,0
atm_iv,fdprem,5,0,-0.0962,-9.49,1,-0.2242,-20.55,1,0.0287,2.63,0.2242,233.1,1,128,-0.095,-0.0973,-0.2237,-0.2248,0.0242,0.0336,128,92,0
skew,fret,5,0,-0.1297,-12.07,1,-0.1298,-12.43,1,-0.0011,-0.09,0.1298,100.1,1,128,-0.1285,-0.131,-0.1274,-0.1323,0.0175,-0.0214,128,92,0
pcr_vol_all,fret,30,0,0.2339,11.07,1,0.129,6.44,0,-0.0508,-2.35,0.129,55.2,0,162,0.2602,0.2076,0.1453,0.1126,-0.0403,-0.0614,162,156,0
pcr_vol_all,fret,60,0,0.3004,11.66,1,0.1272,6.25,0,-0.0554,-1.9,0.1272,42.3,0,162,0.3315,0.2694,0.1503,0.104,-0.0267,-0.0842,162,156,0
atm_iv,fabs,60,0,-0.1184,-4.32,1,-0.1245,-5.96,1,-0.0023,-0.08,0.1245,105.2,1,128,-0.1215,-0.1154,-0.1355,-0.1135,0.0103,-0.0161,128,92,0
atm_iv,fabs,30,0,-0.052,-2.49,0,-0.123,-8.01,1,0.0233,0.95,0.123,236.5,1,128,-0.0545,-0.0496,-0.1375,-0.1085,0.0287,0.0173,128,92,0
pcr_vol_all,fret,15,0,0.1923,11.62,1,0.1157,7.15,0,-0.0287,-1.82,0.1157,60.2,0,162,0.2067,0.1778,0.1174,0.1141,-0.0231,-0.0344,162,156,0
skew,fret,15,0,-0.1305,-7.66,1,-0.1099,-6.66,1,0.0077,0.38,0.1099,84.2,1,128,-0.1389,-0.122,-0.1231,-0.0967,0.0377,-0.0251,128,92,0
d_pcr_oi_all_15,fret,30,0,-0.0623,-3.83,0,0.0969,5.56,1,0.0229,1.2,0.0969,155.5,1,162,-0.0606,-0.064,0.098,0.0959,0.0232,0.0226,162,156,0
doi_net_15,fret,30,0,-0.0609,-3.73,0,0.0953,5.44,1,0.0253,1.31,0.0953,156.5,1,162,-0.0579,-0.0639,0.098,0.0926,0.0229,0.0276,162,156,0
skew,fret,30,0,-0.1233,-5.95,0,-0.0929,-4.77,1,0.0055,0.2,0.0929,75.3,1,128,-0.1303,-0.1162,-0.1026,-0.0831,0.0396,-0.0316,128,92,0
doi_ce_5,fret,30,0,0.0589,3.59,1,-0.0917,-6.45,1,0.0266,1.75,0.0917,155.7,1,162,0.0555,0.0623,-0.1043,-0.0791,0.0274,0.0258,162,156,0
doi_ce_15,fret,30,0,0.0822,4.19,0,-0.0908,-4.9,1,0.0325,1.77,0.0908,110.5,1,162,0.0849,0.0794,-0.1004,-0.0813,0.0312,0.0337,162,156,0
doi_pe_15,fret,15,0,0.0127,0.86,0,0.0903,6.6,1,0.0342,2.15,0.0903,711.0,1,162,0.0192,0.0062,0.0989,0.0818,0.0279,0.0404,162,156,0
d_pcr_oi_all_15,fret,15,0,-0.0396,-2.88,0,0.0893,6.75,0,0.0046,0.27,0.0893,225.5,0,162,-0.0309,-0.0482,0.1003,0.0782,0.0014,0.0077,162,156,0
doi_net_15,fret,15,0,-0.0388,-2.82,0,0.0878,6.62,0,0.005,0.29,0.0878,226.3,0,162,-0.0291,-0.0486,0.1001,0.0755,-0.0001,0.01,162,156,0
doi_pe_15,fret,30,0,-0.0056,-0.31,0,0.0878,5.07,1,0.0502,2.49,0.0878,1567.9,0,162,-0.0028,-0.0084,0.0932,0.0823,0.0538,0.0467,162,156,0
doi_ce_30,fret,30,0,0.0801,3.84,0,-0.0864,-3.99,1,0.0122,0.54,0.0864,107.9,1,162,0.0907,0.0695,-0.0864,-0.0863,0.0087,0.0157,162,156,0
doi_pe_5,fret,30,0,0.0129,0.87,0,0.085,7.08,1,0.0441,2.66,0.085,658.9,0,162,0.0178,0.0081,0.0881,0.0819,0.0452,0.0429,162,156,0
d_pcr_oi_all_15,fret,60,0,-0.0933,-5.01,0,0.084,4.06,0,0.0372,1.7,0.084,90.0,0,162,-0.0957,-0.0909,0.0775,0.0905,0.0442,0.0302,162,156,0
doi_ce_30,fret,15,0,0.0565,3.29,0,-0.0835,-4.59,1,0.017,1.01,0.0835,147.8,1,162,0.059,0.0539,-0.093,-0.0739,0.0147,0.0193,162,156,0
doi_ce_15,fret,60,0,0.0948,4.25,0,-0.0829,-3.99,1,0.017,0.7,0.0829,87.4,1,162,0.1086,0.081,-0.0856,-0.0802,0.0144,0.0196,162,156,0
