total_trades,wins,losses,win_rate,avg_win_pct,avg_loss_pct,total_return_pct,max_drawdown_pct,calmar_ratio,profit_factor,avg_hold_days,sharpe_ratio,symbols_traded,trades_per_year,name
5108,3419,1689,66.93,5.06,-7.23,5072.74,94.73,0.27,1.42,9.7,0.75,463,26.1,TD_wMACD_ADX_dStoch_RSI
2487,1555,932,62.53,3.46,-4.19,1480.92,88.47,0.41,1.38,4.1,0.87,417,60.7,TD_wAllBull_dWR2
9104,5951,3153,65.37,5.57,-7.68,8952.39,94.77,0.22,1.37,11.8,0.6,466,21.3,TD_wEMA_RSI_dCCI
24536,16099,8437,65.61,2.61,-4.11,7380.55,95.07,0.24,1.21,3.3,0.64,468,76.7,MR_RSI2_lt5_SMA200_SL5_TP10
24089,15921,8168,66.09,2.6,-4.11,7808.81,94.11,0.25,1.23,3.5,0.66,468,73.0,MR_RSI2_lt5_SMA200_SL6_TP12
23606,15684,7922,66.44,2.57,-4.03,8485.42,90.79,0.27,1.27,3.7,0.7,468,68.8,MR_RSI2_lt5_SMA200_SL8_TP15
23376,15548,7828,66.51,2.56,-3.96,8779.66,88.55,0.28,1.28,3.8,0.72,468,66.7,MR_RSI2_lt5_SMA200_SL10_TP20
23249,15461,7788,66.5,2.55,-3.88,9183.18,84.53,0.31,1.3,3.8,0.75,468,65.5,MR_RSI2_lt5_SMA200_SL12_TP25
23172,15406,7766,66.49,2.54,-3.8,9578.23,93.4,0.29,1.32,3.9,0.78,468,64.6,MR_RSI2_lt5_SMA200_SL15_TP30
24711,15889,8822,64.3,2.59,-3.83,7431.75,93.75,0.25,1.22,3.2,0.65,468,78.6,MR_RSI2_lt5_SMA200_H5
23748,15745,8003,66.3,2.58,-4.04,8256.75,91.84,0.27,1.26,3.6,0.69,468,70.2,MR_RSI2_lt5_SMA200_H8
23606,15684,7922,66.44,2.57,-4.03,8485.42,90.79,0.27,1.27,3.7,0.7,468,68.8,MR_RSI2_lt5_SMA200_H10
23539,15646,7893,66.47,2.58,-4.02,8627.74,91.0,0.28,1.27,3.7,0.71,468,68.3,MR_RSI2_lt5_SMA200_H15
23537,15645,7892,66.47,2.58,-4.02,8615.78,91.0,0.27,1.27,3.7,0.71,468,68.3,MR_RSI2_lt5_SMA200_H20
