detector,rsi14,above_ema20,above_ema50,above_ema200,ema20_above_50,ema50_above_200,mom_20d,mom_60d,vol_trend,ath_proximity,risk_pct,trade_return,max_gain,exit_reason,days_to_peak,symbol,date,volume_ratio,box_height_pct,breakout_pct
flat,57.9,1,1,1.0,1,1.0,3.0,8.7,1.46,96.2,7.9,-7.9,5.2,STOP,94,ABBOTINDIA,2024-08-22,3.59,7.7,0.8
flat,56.4,1,1,1.0,1,1.0,4.4,3.6,0.88,98.4,13.7,-13.7,11.9,STOP,1,ABBOTINDIA,2025-06-26,3.39,11.8,3.6
darvas,60.5,1,1,1.0,1,1.0,2.9,2.9,1.32,90.4,14.4,12.9,31.6,OPEN,90,ABCAPITAL,2024-02-07,1.97,13.3,3.1
darvas,55.1,1,1,1.0,0,1.0,-2.8,4.5,0.51,91.2,16.7,16.5,22.8,OPEN,53,ABCAPITAL,2024-04-02,7.37,16.1,3.4
darvas,60.0,1,1,1.0,1,,10.6,22.5,0.84,83.0,13.7,51.0,58.2,OPEN,122,ABCAPITAL,2025-05-14,4.62,10.8,4.6
flat,62.0,1,1,,1,,5.9,23.5,1.12,98.7,14.6,-14.6,3.6,STOP,3,ABCAPITAL,2023-06-27,6.78,11.8,4.7
flat,57.8,1,1,1.0,1,1.0,1.7,-4.4,0.86,92.0,10.7,-10.7,6.3,STOP,9,ABCAPITAL,2024-09-19,3.93,11.9,0.0
flat,62.7,1,1,1.0,1,1.0,6.3,23.6,0.74,97.6,12.3,9.5,12.9,OPEN,28,ABCAPITAL,2025-10-30,5.63,11.1,2.7
darvas,54.9,1,1,,1,,10.1,10.2,0.55,75.7,16.5,-0.8,15.2,OPEN,106,ABFRL,2023-09-05,3.08,17.0,2.3
darvas,63.1,1,1,,1,,3.6,7.5,0.71,79.4,11.5,-11.5,0.9,STOP,1,ABFRL,2023-10-19,2.97,11.6,1.3
darvas,67.2,1,1,1.0,1,,6.9,0.9,1.31,80.2,11.7,-11.7,10.6,STOP,45,ABFRL,2023-12-05,1.68,13.0,0.2
darvas,64.7,1,1,1.0,1,,1.3,12.0,1.68,83.0,12.7,-12.7,7.8,STOP,24,ABFRL,2024-01-04,2.22,13.7,0.7
darvas,62.2,1,1,1.0,1,1.0,9.7,12.3,0.56,91.1,13.3,2.8,29.5,OPEN,90,ABFRL,2024-05-21,2.62,13.5,1.6
darvas,60.7,1,1,1.0,1,1.0,9.7,4.5,1.3,96.6,12.2,-12.2,1.7,STOP,3,ABFRL,2024-09-27,3.91,12.9,0.9
darvas,59.5,1,1,0.0,0,,9.6,-3.8,0.78,72.5,9.1,-9.1,11.1,STOP,20,ABFRL,2025-04-17,2.04,9.7,0.2
darvas,46.3,0,0,0.0,0,,-0.0,-13.5,0.98,27.4,10.6,-10.6,16.9,STOP,20,ABFRL,2025-08-22,9.71,10.2,1.4
flat,59.2,1,1,,0,,7.4,-5.2,0.7,74.2,11.2,-11.2,3.6,STOP,14,ABFRL,2023-07-11,2.45,11.5,1.0
flat,63.1,1,1,,1,,3.6,7.5,0.71,79.4,11.7,-11.7,0.9,STOP,1,ABFRL,2023-10-19,2.97,11.8,1.3
flat,46.0,0,0,0.0,0,,0.6,-1.1,0.77,74.1,9.0,-9.0,17.5,STOP,52,ABFRL,2023-11-23,3.8,8.3,1.4
flat,55.7,1,0,0.0,0,,1.1,-8.8,0.94,70.1,10.2,-10.2,14.8,STOP,33,ABFRL,2025-03-26,1.52,11.3,0.1
flat,60.3,1,1,1.0,1,,4.5,7.4,1.11,76.3,12.9,-12.9,1.5,STOP,1,ABFRL,2025-05-19,4.56,11.7,2.7
flat,46.3,0,0,0.0,0,,-0.0,-13.5,0.98,27.4,11.6,-5.5,16.9,OPEN,20,ABFRL,2025-08-22,9.71,11.5,1.4
darvas,55.2,1,1,,0,,-0.9,0.4,0.81,63.1,6.7,-6.7,3.3,STOP,3,ABREL,2018-08-29,2.5,7.1,0.0
darvas,50.4,0,1,0.0,1,,-1.9,27.8,0.87,62.0,11.6,-11.6,7.7,STOP,11,ABREL,2019-05-20,1.67,8.3,4.5
darvas,55.6,1,1,0.0,1,,2.6,12.0,0.98,21.5,17.4,37.3,45.1,OPEN,116,ABREL,2020-08-19,5.13,19.0,1.7
darvas,64.0,1,1,1.0,1,1.0,7.5,5.4,1.08,34.4,8.8,61.5,96.5,OPEN,99,ABREL,2021-05-25,2.03,8.9,0.7
darvas,66.1,1,1,1.0,1,1.0,9.6,2.0,1.05,35.3,12.8,46.8,78.5,OPEN,89,ABREL,2021-06-08,5.18,6.4,7.8
darvas,58.4,1,1,1.0,1,1.0,7.6,-2.3,1.35,62.0,6.5,-6.5,8.1,STOP,3,ABREL,2022-01-07,2.18,6.0,1.0
darvas,54.3,1,1,1.0,1,1.0,0.6,3.4,0.84,57.8,5.0,-5.0,6.8,STOP,7,ABREL,2022-09-05,2.43,5.2,0.0
darvas,58.1,1,1,0.0,0,,3.4,-4.1,0.92,45.9,10.8,73.8,79.2,OPEN,125,ABREL,2023-04-19,1.5,12.1,0.0
darvas,59.9,1,1,0.0,1,,8.8,-0.7,1.48,46.9,8.4,54.0,72.4,OPEN,115,ABREL,2023-05-04,3.94,6.4,2.5
darvas,62.3,1,1,1.0,1,1.0,1.5,23.2,0.67,55.3,6.9,45.3,63.9,OPEN,117,ABREL,2023-06-20,3.46,7.0,0.4
darvas,59.3,1,1,1.0,1,1.0,3.0,31.6,0.44,71.4,13.6,32.1,43.4,OPEN,86,ABREL,2023-09-05,2.52,15.0,0.6
darvas,55.2,1,1,1.0,1,1.0,1.5,22.5,1.66,74.7,13.2,60.5,65.0,OPEN,125,ABREL,2023-10-10,4.51,14.5,0.6
darvas,51.6,1,1,1.0,1,1.0,-5.2,13.4,0.87,84.7,15.2,59.3,73.1,OPEN,121,ABREL,2024-01-04,11.66,15.0,2.6
darvas,57.4,1,1,1.0,1,1.0,3.8,19.0,0.83,94.2,17.7,74.9,80.2,OPEN,115,ABREL,2024-03-28,12.01,15.4,5.3
darvas,64.0,1,1,1.0,1,1.0,1.6,14.9,1.45,97.0,16.6,-16.6,25.0,STOP,38,ABREL,2024-08-27,4.0,14.4,4.8
darvas,62.3,1,1,1.0,1,1.0,12.9,10.7,1.08,98.2,12.7,-12.7,20.2,STOP,27,ABREL,2024-09-11,7.21,10.6,3.5
darvas,59.2,1,1,1.0,1,1.0,2.3,24.9,0.44,96.3,15.1,-15.1,2.9,STOP,1,ABREL,2024-10-18,1.76,13.4,4.0
flat,55.2,1,1,,0,,-0.9,0.4,0.81,63.1,10.5,-10.5,3.3,STOP,3,ABREL,2018-08-29,2.5,11.7,0.0
flat,50.4,0,1,0.0,1,,-1.9,27.8,0.87,62.0,13.0,-13.0,7.7,STOP,11,ABREL,2019-05-20,1.67,10.0,4.5
flat,49.3,1,0,0.0,0,,-1.4,-5.0,0.72,21.4,10.6,51.6,63.1,OPEN,72,ABREL,2020-11-18,4.23,11.8,0.0
flat,55.6,1,1,1.0,1,1.0,0.5,5.4,1.06,55.1,9.7,-9.7,12.4,STOP,30,ABREL,2022-07-29,2.61,8.8,1.8
flat,55.1,1,1,1.0,1,1.0,4.8,16.4,1.22,56.7,10.5,-10.5,8.7,STOP,19,ABREL,2022-08-17,3.87,11.3,0.4
flat,54.3,1,1,1.0,1,1.0,0.6,3.4,0.84,57.8,10.6,-10.6,6.8,STOP,7,ABREL,2022-09-05,2.43,11.9,0.0
flat,43.3,0,0,0.0,0,1.0,0.6,0.4,0.61,55.3,9.5,-9.5,0.4,STOP,1,ABREL,2022-10-27,5.15,8.5,1.8
flat,59.9,1,1,0.0,1,,8.8,-0.7,1.48,46.9,11.1,54.0,72.4,OPEN,115,ABREL,2023-05-04,3.94,10.4,1.9
flat,62.3,1,1,1.0,1,1.0,1.5,23.2,0.67,55.3,9.8,45.3,63.9,OPEN,117,ABREL,2023-06-20,3.46,10.5,0.4
flat,52.7,1,1,1.0,1,1.0,-0.3,26.2,1.04,54.4,9.4,48.6,58.2,OPEN,110,ABREL,2023-06-30,5.33,8.7,1.5
flat,59.3,1,1,1.0,1,1.0,3.0,31.6,0.44,71.4,13.6,32.1,43.4,OPEN,86,ABREL,2023-09-05,2.52,11.4,3.9
flat,53.4,1,0,0.0,0,,1.5,-23.0,0.65,59.4,9.7,-9.7,2.2,STOP,2,ABREL,2025-09-16,1.59,10.2,0.5
darvas,75.0,1,1,0.0,1,,8.2,12.7,0.94,65.6,11.1,-11.1,1.3,STOP,1,ABSLAMC,2022-09-12,2.94,8.6,3.6
darvas,73.7,1,1,1.0,1,,10.0,18.5,1.32,55.4,10.7,14.3,24.9,OPEN,118,ABSLAMC,2023-07-25,2.27,9.8,2.0
darvas,65.3,1,1,1.0,1,,2.6,10.7,0.76,57.0,9.6,24.4,26.8,OPEN,117,ABSLAMC,2023-09-08,1.76,9.7,0.9
darvas,62.5,1,1,1.0,1,1.0,8.0,12.5,0.79,58.5,4.9,7.4,24.3,OPEN,104,ABSLAMC,2023-09-28,4.39,4.9,0.3
darvas,58.5,1,1,1.0,1,1.0,3.5,6.9,0.91,66.1,7.5,-7.5,2.7,STOP,1,ABSLAMC,2024-01-12,4.04,7.2,0.8
darvas,65.7,1,1,1.0,1,1.0,4.8,12.7,0.84,69.9,11.8,-11.8,1.9,STOP,1,ABSLAMC,2024-02-27,5.17,10.4,2.7
darvas,69.9,1,1,1.0,1,1.0,16.5,13.1,1.72,73.3,18.3,33.5,45.9,OPEN,120,ABSLAMC,2024-04-24,5.89,19.0,2.8
darvas,47.6,0,1,1.0,1,1.0,-2.1,0.5,1.27,72.3,10.8,51.1,58.6,OPEN,124,ABSLAMC,2024-06-03,3.41,11.0,0.9
darvas,61.8,1,1,1.0,1,1.0,4.4,33.7,1.16,97.6,17.8,-17.8,21.4,STOP,71,ABSLAMC,2024-08-20,2.8,18.6,2.6
darvas,43.7,0,0,1.0,1,1.0,-7.3,2.0,0.67,90.1,14.3,-14.3,17.0,STOP,31,ABSLAMC,2024-10-16,14.61,16.1,0.5
darvas,50.5,1,0,0.0,0,,1.9,5.0,1.34,70.4,8.7,20.2,34.8,OPEN,79,ABSLAMC,2025-04-29,4.2,8.5,0.9
darvas,64.2,1,1,1.0,1,1.0,4.0,29.9,1.07,89.6,14.0,-14.0,6.8,STOP,28,ABSLAMC,2025-07-10,2.87,12.4,3.4
flat,75.0,1,1,0.0,1,,8.2,12.7,0.94,65.6,13.6,-13.6,1.3,STOP,1,ABSLAMC,2022-09-12,2.94,11.8,3.6
flat,60.4,1,1,0.0,0,,3.1,-10.6,1.87,61.2,11.0,-11.0,5.0,STOP,4,ABSLAMC,2022-12-09,1.85,11.3,1.0
flat,73.7,1,1,1.0,1,,10.0,18.5,1.32,55.4,11.6,14.3,24.9,OPEN,118,ABSLAMC,2023-07-25,2.27,10.9,2.0
flat,65.3,1,1,1.0,1,,2.6,10.7,0.76,57.0,10.7,24.4,26.8,OPEN,117,ABSLAMC,2023-09-08,1.76,11.0,0.9
flat,62.5,1,1,1.0,1,1.0,8.0,12.5,0.79,58.5,10.9,7.4,24.3,OPEN,104,ABSLAMC,2023-09-28,4.39,11.9,0.3
flat,69.9,1,1,1.0,1,1.0,7.2,16.3,1.64,61.4,11.7,11.9,16.9,OPEN,94,ABSLAMC,2023-10-13,3.61,10.5,2.4
flat,55.5,1,1,1.0,1,1.0,0.3,10.2,0.94,63.8,7.0,38.7,47.6,OPEN,122,ABSLAMC,2023-12-18,2.57,6.3,1.2
flat,58.5,1,1,1.0,1,1.0,3.5,6.9,0.91,66.1,10.9,41.9,44.0,OPEN,125,ABSLAMC,2024-01-12,4.04,11.3,0.8
flat,65.7,1,1,1.0,1,1.0,4.8,12.7,0.84,69.9,12.5,-12.5,1.9,STOP,1,ABSLAMC,2024-02-27,5.17,11.3,2.7
flat,47.6,0,1,1.0,1,1.0,-2.1,0.5,1.27,72.3,10.8,51.1,58.6,OPEN,124,ABSLAMC,2024-06-03,3.41,11.0,0.9
darvas,57.2,1,0,,0,,1.6,-6.8,0.86,71.8,4.9,-4.9,0.8,STOP,1,ACC,2023-05-12,1.82,4.6,0.5
darvas,51.0,1,1,,0,,0.7,2.4,0.74,72.5,6.9,18.4,27.2,OPEN,113,ACC,2023-07-25,4.07,6.0,1.3
darvas,73.4,1,1,1.0,0,,8.3,-1.2,1.84,81.2,16.9,12.3,25.7,OPEN,51,ACC,2023-12-05,8.17,15.9,3.8
darvas,54.8,1,1,1.0,1,1.0,2.9,-1.1,0.9,95.4,8.4,-8.4,3.4,STOP,1,ACC,2024-07-01,1.55,7.7,1.3
flat,57.2,1,0,,0,,1.6,-6.8,0.86,71.8,9.3,1.5,17.0,OPEN,80,ACC,2023-05-12,1.82,9.8,0.5
flat,56.6,1,1,,0,,2.9,-3.0,1.24,72.8,8.4,14.7,19.5,OPEN,125,ACC,2023-06-06,2.34,7.9,1.2
flat,51.0,1,1,,0,,0.7,2.4,0.74,72.5,9.9,18.4,27.2,OPEN,113,ACC,2023-07-25,4.07,9.7,1.2
flat,73.4,1,1,1.0,0,,8.3,-1.2,1.84,81.2,16.9,12.3,25.7,OPEN,51,ACC,2023-12-05,8.17,12.0,7.5
flat,50.9,0,1,1.0,1,1.0,3.2,18.7,0.4,90.1,12.5,-12.5,11.3,STOP,15,ACC,2024-01-25,4.56,11.5,2.5
flat,57.6,1,1,1.0,0,1.0,-0.5,-5.1,0.94,92.6,10.0,-10.0,3.3,STOP,7,ACC,2024-05-23,1.77,10.8,0.2
darvas,68.6,1,1,,1,,15.4,,0.96,98.5,15.5,82.6,130.2,OPEN,117,ADANIENSOL,2021-03-24,2.19,17.0,1.1
darvas,60.8,1,1,1.0,1,1.0,7.4,13.9,1.07,99.7,18.8,72.5,80.6,OPEN,123,ADANIENSOL,2022-03-02,2.46,17.6,4.7
darvas,68.4,1,1,1.0,1,1.0,10.6,93.1,0.86,97.6,6.1,-6.1,3.2,STOP,1,ADANIENSOL,2022-09-15,1.57,5.0,1.4
darvas,67.2,1,1,1.0,1,,6.1,3.9,1.31,26.5,20.6,-20.6,0.0,STOP,0,ADANIENSOL,2024-06-03,4.74,16.3,8.2
darvas,54.9,1,1,0.0,0,,3.2,-4.5,0.8,24.0,15.0,-15.0,0.0,STOP,0,ADANIENSOL,2024-11-06,2.31,16.7,0.8
flat,54.8,1,1,0.0,0,,5.4,-9.8,2.01,19.4,11.9,-11.9,12.0,STOP,2,ADANIENSOL,2023-08-18,2.25,10.6,2.6
flat,38.7,0,0,0.0,0,,-4.0,-13.4,0.33,17.2,16.8,27.1,44.5,OPEN,25,ADANIENSOL,2023-11-28,9.42,9.0,10.2
flat,61.0,1,1,1.0,0,,5.3,-0.9,0.86,24.8,12.6,-12.6,19.8,STOP,2,ADANIENSOL,2024-07-30,3.53,9.2,4.7
darvas,54.8,1,1,,1,,5.5,9.1,0.94,92.6,19.3,65.9,114.5,OPEN,79,ADANIENT,2003-09-01,2.07,16.1,6.8
darvas,62.4,1,1,1.0,1,1.0,0.6,10.0,1.29,93.2,18.9,102.2,108.7,OPEN,124,ADANIENT,2003-12-09,1.83,13.5,8.6
darvas,40.7,0,0,0.0,0,,0.0,-2.2,0.96,8.0,17.0,-17.0,19.8,STOP,1,ADANIENT,2004-12-02,2.35,14.8,5.0
darvas,41.9,0,0,0.0,0,,-3.1,-1.1,1.03,8.4,13.2,-13.2,4.7,STOP,1,ADANIENT,2005-08-31,2.53,9.8,5.0
darvas,56.4,1,1,1.0,1,1.0,6.9,16.7,1.51,19.4,16.8,51.7,59.2,OPEN,55,ADANIENT,2006-11-16,7.7,15.2,4.4
darvas,59.0,1,1,1.0,1,1.0,0.2,47.2,1.92,45.4,17.8,79.4,247.5,OPEN,85,ADANIENT,2007-09-03,5.09,17.6,3.5
darvas,65.3,1,1,1.0,1,1.0,16.7,56.6,1.74,50.6,10.5,49.3,239.2,OPEN,76,ADANIENT,2007-09-14,3.48,11.1,0.5
darvas,64.4,1,1,1.0,1,1.0,3.8,87.6,0.65,98.8,16.1,-16.1,45.0,STOP,13,ADANIENT,2007-12-13,1.6,14.9,3.7
darvas,73.1,1,1,1.0,1,1.0,20.3,19.1,1.41,87.6,13.3,-13.3,2.8,STOP,5,ADANIENT,2010-05-14,1.85,14.8,0.4
darvas,70.9,1,1,1.0,1,,32.2,26.8,0.98,27.6,14.7,114.0,121.2,OPEN,124,ADANIENT,2013-11-11,2.38,10.8,5.8
darvas,66.6,1,1,1.0,1,1.0,14.5,12.0,1.11,66.0,12.7,-12.7,242.7,STOP,86,ADANIENT,2015-01-23,5.5,6.1,7.9
darvas,58.8,1,1,1.0,1,1.0,6.4,32.6,0.87,17.0,11.8,30.3,58.8,OPEN,22,ADANIENT,2017-03-15,2.12,12.2,1.0
darvas,63.8,1,1,1.0,1,,6.2,10.6,0.95,27.0,16.3,-16.3,63.0,STOP,89,ADANIENT,2019-10-16,2.02,15.9,3.1
darvas,63.5,1,1,1.0,1,1.0,4.5,24.7,0.96,38.4,14.8,-14.8,14.3,STOP,25,ADANIENT,2020-01-17,3.04,13.9,3.1
darvas,66.9,1,1,0.0,1,,8.1,18.9,1.16,28.6,14.7,192.1,201.5,OPEN,121,ADANIENT,2020-07-07,1.89,15.3,1.6
darvas,65.7,1,1,1.0,1,1.0,8.1,93.0,0.81,53.8,17.3,275.2,280.0,OPEN,125,ADANIENT,2020-10-05,2.21,19.3,1.3
darvas,63.7,1,1,1.0,1,1.0,6.7,76.9,0.5,57.4,10.1,273.1,282.4,OPEN,124,ADANIENT,2020-10-30,1.69,9.9,1.2
darvas,67.4,1,1,1.0,1,1.0,9.3,56.7,1.09,85.6,7.9,174.2,231.4,OPEN,100,ADANIENT,2021-01-07,1.69,6.3,2.2
