detector,rsi14,above_ema20,above_ema50,above_ema200,ema20_above_50,ema50_above_200,mom_20d,mom_60d,vol_trend,ath_proximity,risk_pct,trade_return,max_gain,exit_reason,days_to_peak,symbol,date,volume_ratio,box_height_pct,breakout_pct
darvas,63.4,1,1,1.0,1,1.0,4.9,32.3,0.71,57.9,12.6,19.7,35.2,OPEN,22,ASHOKLEY,2021-01-04,2.07,12.2,2.0
darvas,53.0,1,1,1.0,1,1.0,2.3,12.1,0.54,73.9,16.0,-0.2,16.3,OPEN,73,ASHOKLEY,2021-07-30,4.62,18.6,0.3
darvas,62.8,1,1,1.0,1,1.0,8.5,9.7,0.77,86.8,11.1,-11.1,2.6,STOP,5,ASHOKLEY,2021-11-09,1.67,12.4,0.1
darvas,59.4,1,1,1.0,1,,1.0,4.5,1.01,77.1,17.4,6.4,25.8,OPEN,73,ASHOKLEY,2022-05-23,3.07,17.3,3.2
darvas,59.6,1,1,1.0,1,1.0,2.8,28.0,0.87,88.6,9.2,-9.2,0.6,STOP,1,ASHOKLEY,2022-08-01,2.18,6.8,3.1
darvas,60.7,1,1,1.0,1,1.0,-0.2,11.7,0.98,91.6,14.7,-14.7,4.2,STOP,3,ASHOKLEY,2022-09-01,3.26,13.9,2.9
darvas,58.3,1,1,1.0,1,1.0,2.5,3.9,1.32,89.4,6.8,-6.8,1.5,STOP,1,ASHOKLEY,2023-02-03,2.0,6.5,0.8
darvas,69.8,1,1,1.0,1,1.0,2.4,12.3,0.84,92.0,15.9,11.2,22.4,OPEN,42,ASHOKLEY,2023-06-15,1.74,18.1,0.7
darvas,61.5,1,1,1.0,1,1.0,8.6,5.3,0.97,95.2,10.2,15.7,43.0,OPEN,83,ASHOKLEY,2024-04-26,3.29,9.0,2.1
darvas,54.5,1,1,1.0,1,1.0,-4.0,20.7,0.73,94.6,10.2,-10.2,7.4,STOP,21,ASHOKLEY,2024-07-26,2.7,11.1,0.3
darvas,51.3,1,1,1.0,1,1.0,-0.2,1.8,1.0,92.2,12.8,20.7,23.0,OPEN,69,ASHOKLEY,2025-08-18,7.5,10.6,3.6
darvas,58.3,1,1,1.0,1,1.0,9.1,11.2,1.06,97.4,8.3,15.8,18.0,OPEN,55,ASHOKLEY,2025-09-08,2.61,6.7,2.2
flat,53.0,1,1,1.0,1,1.0,2.3,12.1,0.54,73.9,11.9,-11.9,8.3,STOP,2,ASHOKLEY,2021-07-30,4.62,10.7,2.6
flat,57.8,1,1,1.0,1,1.0,5.8,3.7,0.83,76.5,12.6,-12.6,15.4,STOP,31,ASHOKLEY,2021-09-30,2.02,11.9,2.2
flat,59.6,1,1,1.0,1,1.0,2.8,28.0,0.87,88.6,9.8,-9.8,0.6,STOP,1,ASHOKLEY,2022-08-01,2.18,9.1,1.6
flat,58.3,1,1,1.0,1,1.0,2.5,3.9,1.32,89.4,9.3,-9.3,1.5,STOP,1,ASHOKLEY,2023-02-03,2.0,9.3,0.8
flat,60.6,1,1,1.0,1,1.0,6.9,-2.7,1.22,93.2,9.2,-9.2,4.6,STOP,23,ASHOKLEY,2023-11-29,1.66,9.4,0.7
flat,62.3,1,1,1.0,0,1.0,3.0,5.1,1.4,94.6,9.8,-9.8,2.0,STOP,1,ASHOKLEY,2024-01-01,3.24,10.1,0.7
flat,61.5,1,1,1.0,1,1.0,8.6,5.3,0.97,95.2,12.4,15.7,43.0,OPEN,83,ASHOKLEY,2024-04-26,3.29,11.9,2.1
flat,54.5,1,1,1.0,1,1.0,-4.0,20.7,0.73,94.6,9.3,-9.3,7.4,STOP,21,ASHOKLEY,2024-07-26,2.7,9.9,0.3
flat,51.3,1,1,1.0,1,1.0,-0.2,1.8,1.0,92.2,12.5,20.7,23.0,OPEN,69,ASHOKLEY,2025-08-18,7.5,10.1,3.7
darvas,56.9,1,1,,1,,5.4,5.4,0.88,92.4,13.4,23.3,31.3,OPEN,66,ASIANPAINT,2003-05-16,15.37,12.0,3.1
darvas,57.6,1,1,1.0,1,1.0,4.4,7.6,0.76,97.2,4.6,-4.6,7.8,STOP,7,ASIANPAINT,2003-12-31,2.59,4.1,0.7
darvas,59.1,1,1,1.0,1,1.0,0.6,11.9,0.8,95.7,8.6,33.7,34.2,OPEN,125,ASIANPAINT,2005-03-15,2.37,8.1,1.2
darvas,46.7,0,1,1.0,1,1.0,0.3,-1.0,0.83,95.4,10.3,38.8,41.2,OPEN,124,ASIANPAINT,2005-06-21,4.12,10.2,1.1
darvas,65.1,1,1,1.0,1,1.0,5.7,4.4,1.71,99.2,5.2,40.8,45.6,OPEN,125,ASIANPAINT,2005-07-04,5.2,4.7,0.8
darvas,63.7,1,1,1.0,1,1.0,6.7,19.1,2.2,97.6,9.2,44.8,70.9,OPEN,123,ASIANPAINT,2005-08-08,1.77,10.1,0.0
darvas,70.8,1,1,1.0,1,1.0,10.2,21.3,0.75,93.0,16.7,-16.7,2.5,STOP,14,ASIANPAINT,2007-01-17,2.42,19.4,0.6
darvas,62.7,1,1,1.0,1,1.0,2.8,26.6,1.11,92.4,13.4,15.1,29.7,OPEN,109,ASIANPAINT,2007-06-01,1.61,13.0,2.2
darvas,73.2,1,1,1.0,1,1.0,21.1,60.0,0.42,86.3,12.9,45.0,47.7,OPEN,99,ASIANPAINT,2009-06-11,2.42,14.5,0.2
darvas,64.3,1,1,1.0,1,1.0,3.3,21.2,1.6,98.1,13.4,37.7,40.6,OPEN,113,ASIANPAINT,2009-10-07,2.59,12.2,2.9
darvas,65.9,1,1,1.0,1,1.0,3.4,26.2,0.52,98.6,7.9,-7.9,2.9,STOP,2,ASIANPAINT,2009-12-16,2.0,6.8,1.7
darvas,62.9,1,1,1.0,1,1.0,5.8,16.0,0.72,98.0,5.4,-5.4,1.8,STOP,1,ASIANPAINT,2010-01-12,3.02,4.3,1.3
darvas,64.8,1,1,1.0,1,1.0,8.3,13.5,0.95,99.1,9.9,-9.9,4.9,STOP,6,ASIANPAINT,2010-02-05,5.45,10.5,0.4
darvas,63.3,1,1,1.0,1,1.0,13.6,14.2,1.44,97.4,15.9,34.8,43.2,OPEN,119,ASIANPAINT,2010-03-29,3.11,18.6,0.2
darvas,65.7,1,1,1.0,1,1.0,2.4,16.4,1.75,98.8,8.0,10.2,22.4,OPEN,111,ASIANPAINT,2010-07-16,2.33,8.5,0.2
darvas,69.9,1,1,1.0,1,1.0,5.6,22.4,1.2,99.2,5.8,-5.8,2.3,STOP,6,ASIANPAINT,2010-09-06,1.64,5.3,0.8
darvas,72.2,1,1,1.0,1,1.0,13.0,5.9,0.74,98.9,16.0,-16.0,0.0,STOP,1,ASIANPAINT,2010-12-23,2.13,18.7,0.3
darvas,66.2,1,1,1.0,1,1.0,3.7,10.8,0.93,91.4,4.2,-4.2,5.7,STOP,11,ASIANPAINT,2012-02-28,1.83,3.4,1.0
darvas,63.9,1,1,1.0,1,1.0,0.9,22.1,0.91,96.4,10.0,15.4,24.9,OPEN,39,ASIANPAINT,2012-04-03,1.53,10.6,0.5
darvas,62.3,1,1,1.0,1,1.0,8.8,18.5,0.5,98.3,7.1,13.2,20.7,OPEN,27,ASIANPAINT,2012-04-23,1.68,5.5,2.1
darvas,59.6,1,1,1.0,1,1.0,1.7,5.7,0.73,94.4,16.2,13.3,23.3,OPEN,94,ASIANPAINT,2012-11-06,2.4,17.1,1.9
darvas,62.3,1,1,1.0,1,1.0,6.1,11.6,0.98,98.2,11.3,12.6,16.9,OPEN,79,ASIANPAINT,2012-11-29,3.28,9.6,2.9
darvas,61.5,1,1,1.0,1,1.0,1.8,13.1,1.15,99.5,5.3,-5.3,3.9,STOP,3,ASIANPAINT,2013-01-31,1.88,5.5,0.1
darvas,63.7,1,1,1.0,1,1.0,2.9,9.0,1.13,99.5,11.2,-11.2,10.3,STOP,89,ASIANPAINT,2013-03-11,1.77,10.7,1.7
darvas,69.1,1,1,1.0,1,1.0,9.6,7.8,0.74,99.2,17.6,-17.6,0.7,STOP,1,ASIANPAINT,2013-07-18,2.41,17.6,3.2
darvas,60.3,1,1,1.0,1,1.0,1.6,-3.6,0.94,92.8,12.6,-0.2,8.9,OPEN,13,ASIANPAINT,2013-10-21,3.34,11.9,2.2
darvas,60.0,1,1,1.0,1,1.0,-0.2,11.0,0.85,96.2,11.2,22.7,26.3,OPEN,124,ASIANPAINT,2014-05-14,1.59,11.2,1.3
darvas,68.4,1,1,1.0,1,1.0,2.4,19.0,1.36,99.3,10.9,23.0,36.5,OPEN,94,ASIANPAINT,2014-09-08,2.63,8.2,3.7
darvas,62.8,1,1,1.0,1,1.0,4.0,9.4,1.32,98.7,11.6,12.3,33.3,OPEN,51,ASIANPAINT,2014-11-17,1.79,11.3,1.6
darvas,58.0,1,1,1.0,1,1.0,-0.5,17.8,0.78,95.3,12.4,-12.4,12.5,STOP,14,ASIANPAINT,2015-01-08,1.81,12.6,1.3
darvas,61.1,1,1,1.0,1,1.0,5.6,3.6,1.04,98.0,16.2,-4.1,32.1,OPEN,104,ASIANPAINT,2016-05-12,2.43,19.1,0.2
darvas,60.7,1,1,1.0,1,1.0,5.0,19.2,0.82,99.1,6.5,-6.5,0.3,STOP,1,ASIANPAINT,2016-10-13,1.75,6.8,0.2
darvas,60.4,1,1,1.0,1,1.0,2.1,1.3,0.75,95.2,11.1,-9.4,3.8,OPEN,8,ASIANPAINT,2017-09-01,1.86,9.4,2.9
darvas,62.2,1,1,1.0,1,1.0,4.5,7.7,1.35,96.5,14.6,2.7,15.9,OPEN,53,ASIANPAINT,2018-05-11,5.66,14.8,1.9
darvas,58.7,1,1,1.0,1,1.0,3.7,4.9,0.84,90.9,10.6,-1.7,9.3,OPEN,72,ASIANPAINT,2018-12-19,2.29,8.8,2.8
darvas,67.5,1,1,1.0,1,1.0,10.7,11.1,1.73,97.8,16.1,21.2,22.8,OPEN,124,ASIANPAINT,2019-08-02,2.07,18.1,1.0
darvas,52.2,1,1,1.0,1,1.0,-2.2,12.9,0.74,95.8,9.1,-9.1,14.7,STOP,99,ASIANPAINT,2019-09-20,2.54,6.8,3.0
darvas,58.0,1,1,1.0,0,,4.0,10.4,0.7,87.9,9.7,48.9,50.9,OPEN,125,ASIANPAINT,2020-06-24,3.79,10.6,0.2
darvas,61.0,1,1,1.0,1,1.0,9.8,23.9,1.07,98.1,8.5,18.3,39.7,OPEN,84,ASIANPAINT,2020-09-10,2.1,7.2,2.0
darvas,50.5,0,1,1.0,1,1.0,-0.6,2.0,0.75,89.0,10.0,12.6,26.3,OPEN,92,ASIANPAINT,2021-05-14,5.29,7.9,3.0
darvas,50.2,0,1,1.0,1,1.0,-1.0,16.6,0.57,96.4,5.9,-5.9,0.2,STOP,1,ASIANPAINT,2021-07-20,4.5,4.0,2.1
darvas,61.5,1,1,1.0,1,1.0,4.5,6.3,1.21,97.8,7.8,-7.8,9.5,STOP,17,ASIANPAINT,2021-08-31,1.98,7.7,0.7
darvas,63.3,1,1,1.0,1,1.0,9.2,10.6,0.66,97.8,5.3,-5.3,0.6,STOP,1,ASIANPAINT,2021-09-24,2.33,4.0,1.6
darvas,58.7,1,1,1.0,1,1.0,2.3,25.2,0.9,96.7,9.4,-9.4,0.0,STOP,0,ASIANPAINT,2022-09-28,1.72,9.5,0.7
darvas,70.2,1,1,1.0,1,,7.3,11.2,0.58,87.6,4.6,-4.6,11.7,STOP,37,ASIANPAINT,2023-05-31,2.37,4.4,0.4
darvas,52.5,1,0,0.0,0,,0.2,-1.8,0.86,80.1,7.0,-7.0,0.7,STOP,1,ASIANPAINT,2024-05-02,2.03,6.4,1.1
darvas,60.6,1,1,1.0,1,,2.7,2.5,1.41,83.7,6.5,-6.5,10.1,STOP,32,ASIANPAINT,2024-07-31,2.36,5.8,1.1
darvas,75.8,1,1,1.0,1,,12.5,3.8,0.9,69.2,13.0,4.6,5.3,OPEN,81,ASIANPAINT,2025-07-09,1.81,14.5,0.3
darvas,66.9,1,1,1.0,1,,6.1,9.2,1.01,70.4,10.3,-10.3,0.6,STOP,13,ASIANPAINT,2025-08-18,1.52,9.3,2.1
flat,56.9,1,1,,1,,5.4,5.4,0.88,92.4,13.4,23.3,31.3,OPEN,66,ASIANPAINT,2003-05-16,15.37,12.0,3.1
flat,67.3,1,1,1.0,1,1.0,1.3,2.5,1.17,96.7,11.4,-11.4,13.8,STOP,24,ASIANPAINT,2003-12-05,1.68,11.7,1.0
flat,57.6,1,1,1.0,1,1.0,4.4,7.6,0.76,97.2,10.1,-10.1,7.8,STOP,7,ASIANPAINT,2003-12-31,2.59,10.5,0.7
flat,64.9,1,1,1.0,0,,6.9,-2.9,2.01,85.9,11.8,19.6,24.3,OPEN,118,ASIANPAINT,2004-12-07,5.67,8.7,4.3
flat,59.1,1,1,1.0,1,1.0,0.6,11.9,0.8,95.7,11.6,33.7,34.2,OPEN,125,ASIANPAINT,2005-03-15,2.37,11.8,1.2
flat,46.7,0,1,1.0,1,1.0,0.3,-1.0,0.83,95.4,10.3,38.8,41.2,OPEN,124,ASIANPAINT,2005-06-21,4.12,10.2,1.1
flat,65.1,1,1,1.0,1,1.0,5.7,4.4,1.71,99.2,8.5,40.8,45.6,OPEN,125,ASIANPAINT,2005-07-04,5.2,8.3,0.8
flat,59.5,1,1,1.0,1,1.0,3.1,21.3,1.13,96.8,10.2,-10.2,7.6,STOP,21,ASIANPAINT,2005-09-27,5.51,10.7,0.6
flat,61.4,1,1,1.0,1,1.0,7.8,8.3,1.26,98.3,10.8,0.2,43.9,OPEN,34,ASIANPAINT,2005-12-19,3.27,11.7,0.3
flat,45.7,0,1,1.0,1,1.0,-0.9,8.4,0.52,89.2,12.7,-12.7,5.8,STOP,16,ASIANPAINT,2007-01-15,2.37,12.0,2.3
flat,60.6,1,1,1.0,1,1.0,3.9,19.3,1.88,97.0,9.2,44.3,47.6,OPEN,114,ASIANPAINT,2009-10-06,3.35,9.7,0.4
flat,65.9,1,1,1.0,1,1.0,3.4,26.2,0.52,98.6,11.8,-11.8,2.9,STOP,2,ASIANPAINT,2009-12-16,2.0,11.5,1.7
flat,65.7,1,1,1.0,1,1.0,2.4,16.4,1.75,98.8,10.0,10.2,22.4,OPEN,111,ASIANPAINT,2010-07-16,2.33,10.9,0.2
flat,69.9,1,1,1.0,1,1.0,5.6,22.4,1.2,99.2,9.6,-9.6,3.7,STOP,21,ASIANPAINT,2010-09-06,1.64,9.8,0.8
flat,62.1,1,1,1.0,1,1.0,5.6,7.0,1.19,91.4,11.0,8.9,21.2,OPEN,11,ASIANPAINT,2011-05-16,1.91,11.9,0.5
flat,71.4,1,1,1.0,1,1.0,9.7,17.6,1.7,96.3,11.0,-11.0,14.3,STOP,5,ASIANPAINT,2011-05-24,3.01,11.8,0.5
flat,63.1,1,1,0.0,0,,8.4,-9.8,1.11,84.1,12.6,20.2,43.7,OPEN,84,ASIANPAINT,2012-01-27,2.48,11.8,2.3
flat,66.2,1,1,1.0,1,1.0,3.7,10.8,0.93,91.4,11.5,17.2,32.7,OPEN,63,ASIANPAINT,2012-02-28,1.83,11.9,1.0
flat,65.2,1,1,1.0,1,1.0,5.3,3.6,0.65,93.0,8.1,-8.1,1.9,STOP,2,ASIANPAINT,2012-09-21,1.69,8.3,0.5
flat,59.6,1,1,1.0,1,1.0,1.7,5.7,0.73,94.4,11.5,13.3,23.3,OPEN,94,ASIANPAINT,2012-11-06,2.4,10.9,1.9
flat,62.3,1,1,1.0,1,1.0,6.1,11.6,0.98,98.2,11.4,12.6,16.9,OPEN,79,ASIANPAINT,2012-11-29,3.28,9.8,2.9
flat,61.5,1,1,1.0,1,1.0,1.8,13.1,1.15,99.5,10.0,10.7,16.6,OPEN,116,ASIANPAINT,2013-01-31,1.88,11.0,0.1
flat,63.7,1,1,1.0,1,1.0,2.9,9.0,1.13,99.5,10.4,-10.4,10.3,STOP,89,ASIANPAINT,2013-03-11,1.77,9.7,1.7
flat,60.0,1,1,1.0,1,1.0,-0.2,11.0,0.85,96.2,11.3,22.7,26.3,OPEN,124,ASIANPAINT,2014-05-14,1.59,11.3,1.3
flat,57.2,1,1,1.0,1,1.0,2.1,7.6,1.45,95.7,10.5,31.9,44.4,OPEN,114,ASIANPAINT,2014-06-17,1.51,10.1,1.5
flat,68.4,1,1,1.0,1,1.0,2.4,19.0,1.36,99.3,13.9,23.0,36.5,OPEN,94,ASIANPAINT,2014-09-08,2.63,12.0,3.7
flat,62.8,1,1,1.0,1,1.0,4.0,9.4,1.32,98.7,10.7,12.3,33.3,OPEN,51,ASIANPAINT,2014-11-17,1.79,10.2,1.6
flat,58.0,1,1,1.0,1,1.0,-0.5,17.8,0.78,95.3,12.4,-12.4,12.5,STOP,14,ASIANPAINT,2015-01-08,1.81,11.4,2.4
flat,61.1,1,1,1.0,1,1.0,5.6,3.6,1.04,98.0,11.1,-4.1,32.1,OPEN,104,ASIANPAINT,2016-05-12,2.43,10.4,1.9
flat,68.3,1,1,1.0,1,1.0,6.8,21.5,0.68,98.8,13.3,-13.3,8.8,STOP,50,ASIANPAINT,2016-07-28,5.6,9.9,4.9
flat,60.7,1,1,1.0,1,1.0,5.0,19.2,0.82,99.1,10.3,-10.3,0.3,STOP,1,ASIANPAINT,2016-10-13,1.75,11.3,0.2
flat,59.4,1,1,1.0,1,,1.9,3.4,0.69,80.8,11.0,13.3,19.1,OPEN,92,ASIANPAINT,2017-02-22,2.36,10.7,1.5
flat,69.0,1,1,1.0,1,1.0,4.6,14.9,0.96,92.3,9.9,1.4,10.0,OPEN,90,ASIANPAINT,2017-05-05,1.69,10.0,0.8
flat,60.4,1,1,1.0,1,1.0,2.1,1.3,0.75,95.2,12.5,-9.4,3.8,OPEN,8,ASIANPAINT,2017-09-01,1.86,11.1,2.9
flat,65.7,1,1,1.0,1,1.0,4.3,6.5,0.89,95.2,10.8,-0.4,22.0,OPEN,60,ASIANPAINT,2018-05-02,2.64,10.8,1.2
flat,62.2,1,1,1.0,1,1.0,4.5,7.7,1.35,96.5,11.3,-11.3,15.9,STOP,53,ASIANPAINT,2018-05-11,5.66,7.8,4.5
flat,58.7,1,1,1.0,1,1.0,3.7,4.9,0.84,90.9,12.0,-1.7,9.3,OPEN,72,ASIANPAINT,2018-12-19,2.29,10.5,2.8
flat,56.0,1,1,1.0,0,1.0,-0.4,1.1,0.9,92.0,11.2,-11.2,0.2,STOP,2,ASIANPAINT,2019-06-03,2.11,11.8,0.7
flat,64.0,1,1,1.0,0,1.0,5.1,-1.3,0.94,93.4,13.0,19.9,25.5,OPEN,119,ASIANPAINT,2019-07-24,5.75,11.5,3.0
flat,52.2,1,1,1.0,1,1.0,-2.2,12.9,0.74,95.8,9.3,-9.3,14.7,STOP,99,ASIANPAINT,2019-09-20,2.54,7.1,3.0
flat,42.6,0,0,1.0,1,1.0,1.8,-2.2,1.22,94.3,9.3,-9.3,2.6,STOP,7,ASIANPAINT,2020-02-03,2.38,9.9,0.3
flat,58.0,1,1,1.0,0,,4.0,10.4,0.7,87.9,9.7,48.9,50.9,OPEN,125,ASIANPAINT,2020-06-24,3.79,10.6,0.2
flat,50.5,0,1,1.0,1,1.0,-0.6,2.0,0.75,89.0,13.2,12.6,26.3,OPEN,92,ASIANPAINT,2021-05-14,5.29,11.8,3.0
flat,50.2,0,1,1.0,1,1.0,-1.0,16.6,0.57,96.4,10.6,3.8,13.6,OPEN,118,ASIANPAINT,2021-07-20,4.5,9.1,2.6
flat,61.5,1,1,1.0,1,1.0,4.5,6.3,1.21,97.8,7.8,-7.8,9.5,STOP,17,ASIANPAINT,2021-08-31,1.98,7.7,0.7
flat,58.7,1,1,1.0,1,1.0,2.3,25.2,0.9,96.7,10.9,-10.9,0.0,STOP,0,ASIANPAINT,2022-09-28,1.72,11.4,0.7
flat,76.0,1,1,1.0,1,,10.4,10.0,0.93,84.7,12.4,-1.9,13.6,OPEN,51,ASIANPAINT,2023-05-11,3.08,11.8,2.1
flat,70.2,1,1,1.0,1,,7.3,11.2,0.58,87.6,10.8,-2.3,11.7,OPEN,37,ASIANPAINT,2023-05-31,2.37,11.7,0.4
flat,62.9,1,1,1.0,1,1.0,1.8,16.4,0.97,89.0,7.5,-7.5,9.4,STOP,28,ASIANPAINT,2023-06-13,1.66,7.7,0.4
flat,64.8,1,1,1.0,1,1.0,3.5,1.1,1.19,90.3,7.5,-7.5,3.3,STOP,9,ASIANPAINT,2023-12-15,1.89,7.7,0.4
flat,60.6,1,1,1.0,1,,2.7,2.5,1.41,83.7,7.9,-7.9,10.1,STOP,32,ASIANPAINT,2024-07-31,2.36,7.4,1.1
flat,61.3,1,1,1.0,1,1.0,1.7,7.8,0.67,87.9,8.2,-8.2,5.1,STOP,8,ASIANPAINT,2024-09-04,1.69,8.0,0.9
flat,74.4,1,1,1.0,1,1.0,9.0,12.8,0.87,91.8,11.1,-11.1,0.8,STOP,3,ASIANPAINT,2024-09-11,1.76,10.7,1.6
flat,64.8,1,1,0.0,0,,5.4,0.9,0.86,66.0,8.8,8.0,8.7,OPEN,86,ASIANPAINT,2025-07-02,1.55,7.8,1.7
flat,66.9,1,1,1.0,1,,6.1,9.2,1.01,70.4,12.3,1.0,1.7,OPEN,54,ASIANPAINT,2025-08-18,1.52,11.7,2.1
darvas,63.7,1,1,0.0,1,,8.0,3.5,0.79,65.8,16.2,-16.2,34.6,STOP,73,ASTERDM,2019-10-31,2.84,15.7,3.1
darvas,69.4,1,1,1.0,1,,14.0,31.6,1.94,79.4,12.5,-12.5,13.3,STOP,53,ASTERDM,2019-11-29,4.24,12.3,1.8
darvas,57.4,1,1,1.0,1,1.0,3.5,11.6,0.26,86.0,10.7,-10.7,1.6,STOP,1,ASTERDM,2020-02-12,5.2,10.3,1.5
darvas,58.7,1,1,0.0,1,,-0.7,17.9,0.77,62.5,9.4,-9.4,15.8,STOP,30,ASTERDM,2020-07-15,3.99,8.5,1.7
darvas,58.8,1,1,1.0,1,,3.8,31.0,1.44,66.3,8.2,-8.2,11.8,STOP,21,ASTERDM,2020-07-28,2.18,7.9,1.0
darvas,56.6,1,1,1.0,1,,-0.2,48.6,0.65,68.9,9.7,-9.7,8.7,STOP,4,ASTERDM,2020-08-20,1.52,9.6,1.0
darvas,61.5,1,1,1.0,1,1.0,5.2,1.0,1.71,80.6,10.6,28.9,48.8,OPEN,86,ASTERDM,2021-05-11,2.8,11.0,0.9
darvas,49.7,0,1,1.0,1,1.0,-5.1,9.2,0.61,79.3,14.1,10.9,42.9,OPEN,43,ASTERDM,2021-07-12,7.46,15.0,1.3
darvas,55.2,1,1,1.0,1,1.0,2.4,10.0,0.68,84.3,11.7,4.4,34.3,OPEN,18,ASTERDM,2021-08-17,12.03,11.2,1.8
darvas,65.4,1,1,1.0,1,1.0,7.0,13.2,0.53,99.2,15.7,-15.7,2.2,STOP,1,ASTERDM,2022-11-03,1.89,17.0,1.4
darvas,60.4,1,1,1.0,1,1.0,2.5,-2.9,1.14,85.0,7.5,36.4,45.2,OPEN,122,ASTERDM,2023-03-20,2.04,7.2,0.8
darvas,59.8,1,1,1.0,1,1.0,6.2,19.7,1.28,94.4,14.2,33.1,41.8,OPEN,116,ASTERDM,2023-06-14,4.52,11.0,5.1
darvas,57.3,1,1,1.0,1,1.0,9.2,19.8,0.72,93.2,14.6,22.3,30.3,OPEN,103,ASTERDM,2023-07-04,17.56,10.8,5.8
darvas,46.7,0,1,1.0,1,1.0,0.9,0.3,0.97,89.6,17.3,-8.0,41.1,OPEN,93,ASTERDM,2023-11-29,23.13,13.5,6.5
darvas,52.2,0,1,1.0,1,1.0,1.2,20.5,0.43,93.1,10.2,-10.2,31.2,STOP,60,ASTERDM,2024-01-16,4.57,11.2,0.2
darvas,58.0,1,1,1.0,1,1.0,0.7,30.2,0.96,95.7,11.3,-11.3,4.7,STOP,9,ASTERDM,2024-02-15,3.95,7.1,5.3
darvas,41.4,0,0,1.0,1,1.0,-4.3,15.5,0.68,72.0,9.4,-9.4,20.6,STOP,50,ASTERDM,2024-10-24,17.67,9.3,1.0
darvas,56.5,1,1,1.0,1,1.0,0.3,8.2,0.7,78.8,10.8,-10.8,11.7,STOP,28,ASTERDM,2024-11-27,6.32,8.7,3.1
darvas,59.6,1,1,1.0,1,1.0,1.1,22.9,1.06,97.3,17.5,2.3,12.6,OPEN,76,ASTERDM,2025-07-03,15.53,13.6,6.7
darvas,61.5,1,1,1.0,1,1.0,3.2,9.0,0.94,97.3,18.1,-4.8,4.8,OPEN,10,ASTERDM,2025-10-08,5.32,18.0,3.5
flat,56.7,1,1,,0,,5.8,-2.8,0.81,88.8,15.1,-15.1,2.2,STOP,1,ASTERDM,2018-08-16,6.03,11.8,5.4
flat,57.4,1,1,1.0,1,1.0,3.5,11.6,0.26,86.0,12.6,-12.6,1.6,STOP,1,ASTERDM,2020-02-12,5.2,10.8,3.3
flat,58.7,1,1,0.0,1,,-0.7,17.9,0.77,62.5,12.1,25.7,36.7,OPEN,91,ASTERDM,2020-07-15,3.99,11.9,1.7
flat,58.1,1,1,1.0,1,1.0,8.2,5.3,0.97,72.6,17.0,-1.4,15.7,OPEN,6,ASTERDM,2020-11-12,5.64,11.6,8.0
flat,41.2,0,0,0.0,0,1.0,-4.5,-17.8,0.83,70.2,10.7,43.3,59.7,OPEN,106,ASTERDM,2021-04-09,9.65,10.0,1.8
flat,61.6,1,1,1.0,1,1.0,1.9,10.2,0.89,80.8,12.3,18.1,46.0,OPEN,64,ASTERDM,2021-06-11,3.54,11.3,2.4
flat,49.7,0,1,1.0,1,1.0,-5.1,9.2,0.61,79.3,10.7,10.9,42.9,OPEN,43,ASTERDM,2021-07-12,7.46,11.3,0.7
flat,54.2,1,1,1.0,0,1.0,1.8,2.1,0.49,85.4,11.5,-11.5,0.7,STOP,1,ASTERDM,2022-12-22,3.48,11.6,1.3
flat,60.7,1,1,1.0,1,1.0,2.8,1.5,1.21,85.7,10.5,37.1,44.7,OPEN,120,ASTERDM,2023-03-22,3.41,11.6,0.1
flat,60.2,1,1,1.0,1,1.0,4.0,6.5,1.61,87.1,11.7,30.1,41.9,OPEN,120,ASTERDM,2023-04-10,4.03,12.0,1.1
flat,66.8,1,1,1.0,1,1.0,5.8,15.8,0.75,95.6,13.6,21.5,33.5,OPEN,104,ASTERDM,2023-05-25,5.7,10.6,4.6
flat,46.7,0,1,1.0,1,1.0,0.9,0.3,0.97,89.6,17.3,-8.0,41.1,OPEN,93,ASTERDM,2023-11-29,23.13,11.3,8.7
flat,52.2,0,1,1.0,1,1.0,1.2,20.5,0.43,93.1,10.2,-10.2,31.2,STOP,60,ASTERDM,2024-01-16,4.57,11.2,0.2
flat,58.0,1,1,1.0,1,1.0,0.7,30.2,0.96,95.7,11.3,-11.3,4.7,STOP,9,ASTERDM,2024-02-15,3.95,9.5,3.0
flat,55.4,1,0,0.0,0,,0.1,1.6,0.8,62.2,14.3,31.7,45.2,OPEN,108,ASTERDM,2024-08-01,4.66,11.3,4.9
flat,41.4,0,0,1.0,1,1.0,-4.3,15.5,0.68,72.0,10.1,-10.1,20.6,STOP,50,ASTERDM,2024-10-24,17.67,10.1,1.0
flat,56.5,1,1,1.0,1,1.0,0.3,8.2,0.7,78.8,11.8,-11.8,11.7,STOP,28,ASTERDM,2024-11-27,6.32,9.9,3.1
flat,59.6,1,1,1.0,1,1.0,1.1,22.9,1.06,97.3,17.5,2.3,12.6,OPEN,76,ASTERDM,2025-07-03,15.53,11.4,8.7
flat,58.7,1,1,1.0,1,1.0,0.8,5.8,1.01,95.7,11.6,-1.1,8.9,OPEN,12,ASTERDM,2025-10-06,2.54,10.8,2.1
darvas,65.1,1,1,,1,,11.7,29.0,1.14,97.8,12.5,-12.5,1.4,STOP,8,ASTRAL,2023-08-04,1.89,14.2,0.1
