detector,rsi14,above_ema20,above_ema50,above_ema200,ema20_above_50,ema50_above_200,mom_20d,mom_60d,vol_trend,ath_proximity,risk_pct,trade_return,max_gain,exit_reason,days_to_peak,symbol,date,volume_ratio,box_height_pct,breakout_pct,stoch_k,stoch_d,macd_hist,macd_positive,macd_bullish,adx,plus_di,minus_di,adx_bullish,atr_pct,bb_pct_b,bb_width,bb_squeeze,supertrend_bull,mfi,cci,williams_r,obv_bullish,psar_bullish,above_ema9,above_ema21,above_ema100,ema9_gt_21,ema20_rising,mom_10d,rsi7,w_above_ema20,w_above_ema50,w_ema20_gt_50,w_rsi,w_macd_positive,w_macd_bullish
darvas,62.4,1,1,0.0,1,,7.0,6.3,0.93,71.3,18.9,-18.9,14.8,STOP,29,BAYERCROP,2025-05-27,23.51,14.9,7.3,86.36,82.02,65.86,1.0,1.0,34.3,52.84,9.13,1.0,3.19,1.24,21.41,0.0,1.0,95.0,250.21,-13.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.04,83.28,0.0,0.0,0.0,62.34,0.0,1.0
flat,54.7,1,1,1.0,1,1.0,1.2,3.6,0.87,90.6,10.1,-10.1,0.8,STOP,2,BAYERCROP,2019-03-29,3.7,11.1,0.1,74.57,59.5,5.2,1.0,1.0,55.21,18.74,6.39,1.0,1.95,1.18,2.36,1.0,1.0,57.47,234.07,-25.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.65,89.05,1.0,1.0,0.0,52.62,1.0,1.0
flat,59.6,1,1,0.0,0,,4.3,-2.4,0.65,68.3,12.7,-9.8,37.3,OPEN,94,BAYERCROP,2019-09-20,1.59,11.2,3.1,77.47,68.32,30.1,1.0,1.0,45.24,31.46,1.95,1.0,3.44,1.19,10.79,0.0,1.0,74.85,234.41,-22.53,1.0,1.0,1.0,1.0,0.0,1.0,1.0,8.48,73.17,0.0,0.0,0.0,33.19,0.0,0.0
flat,57.2,1,1,0.0,1,,0.4,7.7,0.63,70.1,10.7,-10.7,29.8,STOP,68,BAYERCROP,2019-10-31,1.94,10.9,1.0,91.18,67.27,13.1,1.0,1.0,39.7,32.08,14.84,1.0,2.73,1.44,8.31,0.0,1.0,64.74,396.53,-8.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7,79.32,0.0,0.0,0.0,49.8,0.0,1.0
flat,63.5,1,1,1.0,1,,8.6,14.2,2.31,79.1,10.4,-10.4,20.6,STOP,19,BAYERCROP,2020-01-10,1.73,11.1,0.5,85.68,87.82,23.48,1.0,1.0,19.66,29.88,9.96,1.0,2.72,1.11,10.35,0.0,1.0,54.42,215.45,-14.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.68,80.33,1.0,1.0,0.0,60.87,1.0,1.0
flat,48.6,0,1,1.0,1,1.0,-2.7,25.2,0.84,88.8,11.0,-11.0,7.5,STOP,31,BAYERCROP,2020-08-07,5.37,10.5,1.7,67.41,38.0,11.21,1.0,1.0,22.51,35.99,15.51,1.0,3.73,1.27,10.38,1.0,1.0,69.79,327.24,-32.59,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.5,67.59,1.0,1.0,1.0,72.82,1.0,1.0
flat,53.6,1,0,1.0,0,1.0,2.5,-9.3,0.94,80.6,9.6,-9.6,7.0,STOP,11,BAYERCROP,2020-12-24,1.8,9.2,1.3,95.94,71.16,27.74,1.0,1.0,21.79,25.5,19.58,1.0,2.87,1.09,8.94,1.0,1.0,69.35,180.54,-4.06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.71,68.6,0.0,1.0,1.0,37.34,0.0,0.0
flat,53.4,1,0,0.0,0,,2.3,-4.5,0.78,78.6,7.9,-1.2,14.8,OPEN,92,BAYERCROP,2021-03-31,1.83,6.4,2.0,96.09,69.74,25.64,0.0,1.0,29.28,17.02,15.02,1.0,2.54,1.19,6.13,1.0,1.0,57.32,219.62,-3.91,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.07,76.25,0.0,0.0,1.0,42.07,0.0,0.0
flat,63.0,1,1,1.0,1,1.0,1.5,6.7,1.01,82.8,10.4,-10.4,9.6,STOP,43,BAYERCROP,2021-06-14,2.28,10.6,1.0,83.92,72.57,22.46,1.0,1.0,33.5,30.54,7.5,1.0,1.79,1.32,6.03,0.0,1.0,69.31,309.24,-16.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.6,93.26,1.0,1.0,1.0,61.61,1.0,1.0
flat,66.8,1,1,1.0,1,1.0,7.5,7.2,0.77,86.3,9.8,-9.8,5.9,STOP,31,BAYERCROP,2021-06-30,1.63,10.0,0.8,97.13,89.06,16.26,1.0,1.0,53.74,33.24,8.5,1.0,2.37,0.9,11.82,0.0,1.0,79.08,107.34,-2.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.34,86.99,1.0,1.0,1.0,68.57,1.0,1.0
flat,70.5,1,1,1.0,1,1.0,6.0,15.7,0.77,89.6,9.4,-9.4,3.0,STOP,19,BAYERCROP,2021-07-16,1.55,9.8,0.5,74.86,80.94,19.06,1.0,1.0,39.49,37.83,9.27,1.0,2.16,1.1,7.89,0.0,1.0,73.65,250.37,-25.14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.99,82.53,1.0,1.0,1.0,62.91,1.0,1.0
flat,54.5,1,1,1.0,1,1.0,-0.6,9.1,0.84,89.1,8.8,-8.8,0.0,STOP,0,BAYERCROP,2021-08-13,3.15,9.5,0.1,91.12,59.06,4.95,1.0,1.0,15.24,23.53,13.14,1.0,2.91,1.14,5.75,0.0,1.0,70.72,191.97,-8.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.43,55.71,1.0,1.0,1.0,67.78,1.0,1.0
flat,63.5,1,1,0.0,1,,3.4,0.3,1.19,77.0,11.6,-11.6,1.8,STOP,10,BAYERCROP,2022-01-17,3.21,11.8,1.2,93.21,77.1,18.5,1.0,1.0,35.21,19.46,12.79,1.0,2.27,1.04,8.09,0.0,1.0,71.48,157.6,-6.79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.36,80.5,1.0,0.0,0.0,44.42,0.0,1.0
flat,54.7,1,1,1.0,1,1.0,1.6,17.0,0.69,80.1,10.4,-10.4,0.9,STOP,1,BAYERCROP,2022-08-05,9.64,9.9,1.6,62.98,53.61,3.14,1.0,1.0,35.33,37.77,11.25,1.0,2.19,1.3,4.44,1.0,1.0,76.17,423.54,-37.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.25,77.83,1.0,1.0,1.0,59.47,1.0,1.0
flat,50.2,1,0,0.0,0,,-0.8,-11.1,2.3,70.2,5.8,-5.8,5.4,STOP,19,BAYERCROP,2022-12-06,4.36,5.9,0.2,83.09,68.0,24.57,0.0,1.0,15.32,32.85,12.82,1.0,1.83,0.98,7.11,0.0,1.0,88.58,128.25,-16.91,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.04,85.75,0.0,0.0,0.0,19.34,0.0,0.0
flat,72.7,1,1,0.0,0,,3.4,1.8,1.39,65.1,11.1,22.6,27.5,OPEN,112,BAYERCROP,2023-06-05,1.54,9.9,2.4,94.85,88.51,26.61,1.0,1.0,37.93,40.33,4.77,1.0,1.67,1.27,7.53,0.0,1.0,76.64,279.46,-5.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.91,97.92,1.0,0.0,0.0,41.53,0.0,1.0
flat,68.5,1,1,0.0,1,,0.3,7.4,1.59,67.0,10.6,20.6,26.5,OPEN,121,BAYERCROP,2023-07-04,2.88,8.9,2.7,84.33,90.74,20.36,1.0,1.0,25.73,36.7,7.41,1.0,1.86,1.2,8.36,0.0,1.0,80.36,258.85,-15.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.26,94.15,1.0,0.0,0.0,84.48,0.0,1.0
flat,57.8,1,1,1.0,1,,-1.7,11.7,0.66,69.6,11.4,19.4,27.7,OPEN,119,BAYERCROP,2023-08-08,4.64,10.6,2.1,89.8,72.72,11.51,1.0,1.0,41.11,32.45,25.91,1.0,2.02,1.04,10.0,0.0,1.0,64.16,153.42,-10.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.53,93.51,1.0,1.0,0.0,69.56,1.0,1.0
flat,62.6,1,1,1.0,1,1.0,5.2,13.5,1.16,73.2,16.4,5.4,18.3,OPEN,115,BAYERCROP,2023-09-05,13.34,11.4,7.4,73.55,61.26,27.67,1.0,1.0,33.84,44.17,7.14,1.0,2.57,1.48,9.68,0.0,1.0,86.01,447.33,-26.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.55,94.74,1.0,1.0,0.0,74.46,1.0,1.0
flat,67.9,1,1,1.0,1,1.0,6.4,6.1,0.8,84.8,8.0,-8.0,9.7,STOP,40,BAYERCROP,2023-12-26,1.81,8.2,0.5,81.92,86.1,17.54,1.0,1.0,14.86,25.52,9.97,1.0,2.41,1.09,7.35,0.0,1.0,70.46,263.48,-18.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.28,99.85,1.0,1.0,1.0,61.13,1.0,1.0
flat,60.8,1,1,1.0,1,1.0,2.6,6.4,1.23,85.0,10.5,-10.5,6.2,STOP,30,BAYERCROP,2024-01-09,1.83,10.6,1.0,89.57,67.7,13.83,1.0,1.0,29.78,30.66,7.82,1.0,2.58,1.17,8.42,0.0,1.0,60.07,201.72,-10.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.27,80.5,1.0,1.0,1.0,57.13,1.0,1.0
flat,51.4,0,1,1.0,1,1.0,4.9,10.8,0.64,87.2,10.7,-10.7,3.3,STOP,15,BAYERCROP,2024-01-31,2.53,11.6,0.3,66.3,51.58,-4.65,1.0,0.0,35.66,21.95,12.92,1.0,3.15,0.84,10.38,0.0,1.0,61.78,119.38,-33.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.56,67.26,1.0,1.0,1.0,71.11,1.0,1.0
darvas,61.7,1,1,1.0,1,,-3.5,0.7,0.69,71.2,15.5,-15.5,11.3,STOP,10,BDL,2019-10-29,5.7,17.3,0.9,81.28,87.76,1.74,1.0,1.0,27.67,42.65,3.24,1.0,3.02,1.3,15.6,0.0,1.0,80.64,275.28,-18.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.57,92.02,1.0,1.0,0.0,49.16,0.0,1.0
darvas,51.9,1,1,0.0,1,,0.6,20.9,0.92,55.5,21.2,29.6,83.2,OPEN,43,BDL,2020-06-16,3.52,19.9,5.8,84.93,55.32,0.39,1.0,1.0,39.88,42.52,13.34,1.0,5.34,1.18,16.23,0.0,1.0,87.62,183.73,-15.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.78,72.81,0.0,0.0,0.0,46.42,0.0,1.0
darvas,56.1,1,0,0.0,0,1.0,5.7,-18.8,0.76,64.7,5.6,-5.6,10.5,STOP,9,BDL,2020-11-25,3.81,4.9,1.0,82.52,76.66,1.24,1.0,1.0,39.45,33.21,5.86,1.0,2.91,1.0,13.16,1.0,1.0,83.26,135.11,-17.48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.22,81.91,0.0,0.0,1.0,21.77,0.0,0.0
darvas,61.3,1,1,1.0,1,1.0,3.2,10.6,1.4,77.3,9.6,4.7,19.2,OPEN,68,BDL,2021-07-09,9.82,9.4,1.1,67.72,69.6,0.97,1.0,1.0,28.8,42.06,3.16,1.0,2.72,1.07,9.36,0.0,1.0,90.83,223.05,-32.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.73,87.86,1.0,1.0,1.0,63.65,1.0,1.0
darvas,68.5,1,1,1.0,1,1.0,10.4,5.0,2.0,87.7,17.4,72.6,103.8,OPEN,121,BDL,2021-10-21,1.85,16.9,3.5,87.44,73.23,3.63,1.0,1.0,30.07,45.13,7.84,1.0,3.49,1.16,21.38,0.0,1.0,79.47,222.58,-12.56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.05,89.68,1.0,1.0,1.0,52.68,1.0,0.0
darvas,64.4,1,1,1.0,1,1.0,12.8,3.5,1.32,90.4,18.2,56.4,96.2,OPEN,58,BDL,2022-01-20,7.73,19.3,2.5,86.1,71.05,3.16,1.0,1.0,40.87,43.58,10.01,1.0,3.71,1.1,22.4,0.0,1.0,90.53,185.05,-13.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.59,78.1,1.0,1.0,1.0,62.48,1.0,0.0
darvas,62.1,1,1,1.0,1,1.0,23.8,42.8,0.74,93.3,13.3,48.0,57.7,OPEN,111,BDL,2022-04-07,5.37,13.8,1.4,91.29,62.97,0.87,1.0,1.0,66.39,27.09,11.86,1.0,4.34,0.97,25.0,0.0,1.0,61.15,138.02,-8.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.31,76.45,1.0,1.0,1.0,71.47,1.0,1.0
darvas,63.7,1,1,1.0,1,1.0,2.9,17.0,1.12,96.1,14.7,-0.9,11.5,OPEN,27,BDL,2022-09-16,9.51,14.3,2.6,70.43,77.71,3.17,1.0,1.0,34.32,37.48,7.4,1.0,3.61,1.28,13.82,1.0,1.0,86.82,309.78,-29.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.3,92.66,1.0,1.0,1.0,51.74,1.0,0.0
darvas,66.8,1,1,1.0,1,1.0,13.3,31.8,0.78,98.4,17.7,-17.7,3.2,STOP,1,BDL,2022-10-25,1.76,19.6,1.6,92.18,94.07,4.28,1.0,1.0,22.08,27.15,13.22,1.0,3.71,1.08,18.51,0.0,1.0,79.98,177.43,-7.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.37,,1.0,1.0,1.0,74.12,1.0,1.0
darvas,60.4,1,1,1.0,1,1.0,-1.2,1.1,0.51,93.0,10.9,-0.9,29.3,OPEN,67,BDL,2023-03-31,2.41,11.8,0.4,81.93,73.08,2.88,1.0,1.0,24.46,28.69,18.76,1.0,3.04,1.15,11.1,0.0,1.0,79.19,217.85,-18.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.95,85.01,0.0,1.0,1.0,47.88,1.0,0.0
darvas,57.7,1,1,1.0,1,1.0,3.8,4.9,0.42,96.3,6.7,-6.7,23.5,STOP,48,BDL,2023-05-03,1.58,6.7,0.5,83.7,61.88,0.74,1.0,1.0,48.18,31.31,8.16,1.0,2.72,1.26,6.01,1.0,1.0,76.2,217.21,-16.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.11,79.37,1.0,1.0,1.0,57.87,1.0,1.0
darvas,67.3,1,1,1.0,1,1.0,7.1,30.6,0.81,98.8,7.1,-7.1,1.4,STOP,6,BDL,2023-05-17,2.45,6.8,0.7,75.11,66.31,1.49,1.0,1.0,53.28,41.74,10.68,1.0,2.73,1.14,9.98,0.0,1.0,83.44,250.6,-24.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.91,82.88,1.0,1.0,1.0,62.49,1.0,1.0
darvas,62.8,1,1,1.0,1,1.0,1.1,65.0,0.58,95.4,14.8,-14.8,0.7,STOP,1,BDL,2024-02-08,3.32,11.1,5.6,91.62,72.35,1.72,1.0,1.0,16.38,27.04,11.65,1.0,3.92,1.37,11.96,0.0,1.0,81.52,260.9,-8.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.39,94.73,1.0,1.0,1.0,92.14,1.0,1.0
darvas,66.3,1,1,1.0,1,1.0,14.3,21.0,0.88,98.6,21.4,-14.8,54.4,OPEN,34,BDL,2024-05-17,4.94,14.8,10.8,95.88,84.65,12.8,1.0,1.0,16.35,36.64,18.36,1.0,4.29,1.29,23.64,0.0,1.0,71.78,249.59,-4.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.61,89.6,1.0,1.0,1.0,55.04,1.0,0.0
darvas,62.3,1,1,1.0,1,1.0,3.0,18.9,1.14,71.1,18.5,-18.5,1.2,STOP,10,BDL,2025-01-20,3.52,19.7,2.4,93.48,89.26,13.11,1.0,1.0,42.44,33.85,11.99,1.0,4.49,1.17,19.04,0.0,1.0,84.75,243.21,-6.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.41,68.72,1.0,1.0,1.0,52.65,1.0,1.0
flat,49.0,1,0,,0,,4.0,3.3,0.79,65.5,12.6,-12.6,0.0,STOP,0,BDL,2019-01-08,6.17,11.2,3.0,52.23,34.41,0.75,1.0,1.0,24.91,39.32,8.79,1.0,3.11,1.28,8.36,0.0,1.0,66.21,310.13,-47.77,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.9,81.61,0.0,0.0,0.0,47.96,0.0,1.0
flat,60.0,1,1,0.0,1,,1.7,3.8,0.37,68.7,12.8,-12.8,2.1,STOP,1,BDL,2019-04-11,13.29,11.8,2.6,73.9,66.88,0.59,1.0,1.0,44.4,43.23,5.49,1.0,3.07,1.36,9.0,0.0,1.0,91.56,307.92,-26.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.9,85.47,1.0,0.0,0.0,54.31,0.0,1.0
flat,52.8,1,1,1.0,0,1.0,6.2,8.3,0.55,71.4,10.4,-10.4,5.4,STOP,1,BDL,2020-01-14,1.7,11.6,0.1,88.57,67.44,1.28,0.0,1.0,43.98,33.85,9.6,1.0,3.83,1.05,12.08,0.0,1.0,82.89,168.13,-11.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,63.18,0.0,0.0,1.0,51.8,1.0,0.0
flat,56.1,1,0,0.0,0,1.0,5.7,-18.8,0.76,64.7,11.4,14.6,21.4,OPEN,67,BDL,2020-11-25,3.81,10.4,2.2,82.52,76.66,1.24,1.0,1.0,39.45,33.21,5.86,1.0,2.91,1.0,13.16,1.0,1.0,83.26,135.11,-17.48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.22,81.91,0.0,0.0,1.0,21.77,0.0,0.0
flat,59.9,1,1,1.0,0,1.0,6.9,2.1,1.24,67.0,13.4,6.4,14.2,OPEN,60,BDL,2020-12-07,4.67,11.9,3.1,92.75,77.35,1.32,1.0,1.0,71.5,31.31,2.26,1.0,3.05,1.13,14.04,0.0,1.0,87.67,179.47,-7.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.31,78.92,1.0,1.0,1.0,30.05,0.0,0.0
flat,51.4,1,0,1.0,0,1.0,-1.7,-1.5,0.56,70.2,10.5,17.5,26.9,OPEN,110,BDL,2021-05-11,3.65,11.2,0.4,90.55,63.29,1.28,1.0,1.0,18.17,39.06,15.01,1.0,2.64,1.28,9.35,0.0,1.0,84.26,241.61,-9.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,77.95,0.0,1.0,1.0,51.65,1.0,0.0
flat,61.3,1,1,1.0,1,1.0,3.2,10.6,1.4,77.3,10.7,4.7,19.2,OPEN,68,BDL,2021-07-09,9.82,10.8,1.1,67.72,69.6,0.97,1.0,1.0,28.8,42.06,3.16,1.0,2.72,1.07,9.36,0.0,1.0,90.83,223.05,-32.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.73,87.86,1.0,1.0,1.0,63.65,1.0,1.0
flat,56.8,1,1,1.0,0,1.0,-2.6,1.7,1.09,81.2,11.2,88.9,119.0,OPEN,124,BDL,2021-10-18,3.37,11.4,1.0,97.4,77.13,1.48,1.0,1.0,18.28,34.65,12.15,1.0,2.59,1.36,9.53,0.0,1.0,69.02,302.22,-2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.4,83.04,1.0,1.0,1.0,52.68,1.0,0.0
flat,59.7,1,1,1.0,0,1.0,4.3,-2.5,0.77,85.5,13.8,62.5,106.7,OPEN,62,BDL,2022-01-14,2.61,10.9,4.6,88.82,83.0,2.51,1.0,1.0,30.63,42.99,5.55,1.0,3.06,1.25,14.31,0.0,1.0,84.05,248.21,-11.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.37,92.33,1.0,1.0,1.0,54.24,1.0,0.0
flat,53.8,1,1,1.0,1,1.0,7.3,1.3,0.48,80.8,15.6,16.4,31.3,OPEN,60,BDL,2022-07-28,2.14,11.9,5.9,94.09,72.64,3.97,1.0,1.0,23.76,30.09,15.8,1.0,3.21,1.23,14.62,1.0,1.0,73.83,231.33,-5.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.74,74.53,1.0,1.0,1.0,48.82,1.0,0.0
flat,63.7,1,1,1.0,1,1.0,2.9,17.0,1.12,96.1,14.7,-0.9,11.5,OPEN,27,BDL,2022-09-16,9.51,10.7,5.9,70.43,77.71,3.17,1.0,1.0,34.32,37.48,7.4,1.0,3.61,1.28,13.82,1.0,1.0,86.82,309.78,-29.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.3,92.66,1.0,1.0,1.0,51.74,1.0,0.0
flat,60.4,1,1,1.0,1,1.0,-1.2,1.1,0.51,93.0,10.9,-0.9,29.3,OPEN,67,BDL,2023-03-31,2.41,11.8,0.4,81.93,73.08,2.88,1.0,1.0,24.46,28.69,18.76,1.0,3.04,1.15,11.1,0.0,1.0,79.19,217.85,-18.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.95,85.01,0.0,1.0,1.0,47.88,1.0,0.0
flat,58.8,1,1,1.0,1,1.0,2.7,22.4,0.71,95.4,9.7,-9.7,21.2,STOP,39,BDL,2023-05-16,1.54,10.1,0.6,84.26,51.93,0.17,1.0,1.0,52.5,35.08,11.7,1.0,2.54,1.08,8.24,0.0,1.0,75.14,174.05,-15.74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.37,73.28,1.0,1.0,1.0,62.49,1.0,1.0
darvas,64.5,1,1,0.0,1,,12.7,4.4,1.27,51.7,9.2,-9.2,1.3,STOP,1,BEL,2019-04-02,2.88,6.7,3.2,92.47,77.33,0.09,1.0,1.0,36.85,25.59,11.47,1.0,3.61,1.19,12.38,1.0,1.0,76.18,234.79,-7.53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.84,97.1,1.0,0.0,0.0,54.42,0.0,1.0
darvas,68.1,1,1,1.0,1,,14.4,30.4,0.74,54.6,16.8,0.4,19.0,OPEN,106,BEL,2019-05-23,2.19,19.7,0.4,76.87,82.6,0.55,1.0,1.0,34.37,42.7,10.67,1.0,3.72,1.09,22.02,0.0,1.0,74.79,236.37,-23.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,86.29,1.0,0.0,0.0,62.9,0.0,1.0
darvas,63.9,1,1,1.0,1,1.0,5.9,17.2,0.72,61.1,11.2,-11.2,4.8,STOP,7,BEL,2019-10-18,2.36,11.7,0.8,74.36,87.73,0.24,1.0,1.0,12.2,35.44,9.91,1.0,3.06,1.08,12.69,0.0,1.0,64.67,208.45,-25.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.53,95.12,1.0,1.0,1.0,44.93,1.0,1.0
darvas,64.3,1,1,0.0,1,,21.9,19.1,0.87,41.5,15.9,47.6,53.0,OPEN,121,BEL,2020-06-19,1.79,14.9,3.5,90.43,75.91,0.23,1.0,1.0,48.32,33.63,14.41,1.0,4.45,1.06,21.84,0.0,1.0,69.94,191.03,-9.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.32,72.45,0.0,0.0,0.0,50.28,0.0,1.0
darvas,58.4,1,1,1.0,1,1.0,0.6,46.2,0.73,53.5,13.2,-13.2,9.4,STOP,4,BEL,2020-08-10,3.45,12.1,2.7,72.39,56.55,-0.02,1.0,0.0,21.55,38.63,14.45,1.0,4.17,1.28,12.61,1.0,1.0,67.89,315.7,-27.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.9,91.18,1.0,1.0,0.0,66.48,1.0,1.0
darvas,55.7,1,1,1.0,1,1.0,1.1,23.7,0.54,81.7,14.7,24.0,35.4,OPEN,97,BEL,2021-06-23,6.81,11.4,5.2,94.9,74.97,0.15,1.0,1.0,13.93,37.62,21.05,1.0,3.26,1.38,13.21,0.0,1.0,79.06,317.6,-5.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.74,79.68,1.0,1.0,1.0,53.47,1.0,1.0
darvas,66.8,1,1,1.0,1,1.0,7.7,26.2,0.54,98.8,18.3,7.9,14.8,OPEN,47,BEL,2021-09-03,1.59,18.1,3.6,97.03,92.32,0.69,1.0,1.0,45.44,45.88,4.45,1.0,2.42,1.13,17.43,0.0,1.0,91.91,186.77,-2.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.14,94.29,1.0,1.0,1.0,64.02,1.0,1.0
darvas,60.8,1,1,1.0,1,1.0,2.6,16.2,0.7,98.5,8.8,-8.8,0.9,STOP,1,BEL,2021-10-18,1.71,7.3,2.3,81.53,75.92,0.11,1.0,1.0,17.81,25.04,12.74,1.0,3.29,1.16,8.23,1.0,1.0,63.53,212.17,-18.47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.66,82.87,1.0,1.0,1.0,70.29,1.0,1.0
darvas,63.8,1,1,1.0,1,1.0,-1.1,4.3,0.95,96.5,20.2,33.7,46.8,OPEN,109,BEL,2022-04-07,5.81,19.1,5.2,89.52,82.08,0.7,1.0,1.0,22.41,46.03,8.11,1.0,2.59,1.29,13.24,0.0,1.0,80.72,241.27,-10.48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.94,96.86,1.0,1.0,1.0,57.55,1.0,0.0
darvas,62.3,1,1,1.0,1,1.0,8.1,-2.4,1.04,94.6,12.1,21.3,35.2,OPEN,40,BEL,2022-07-18,6.38,12.0,1.6,82.45,83.37,0.65,1.0,1.0,25.96,38.44,15.47,1.0,2.8,1.25,11.14,0.0,1.0,67.69,309.72,-17.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.78,83.15,1.0,1.0,1.0,52.63,1.0,0.0
darvas,56.6,1,1,1.0,1,1.0,3.3,21.9,1.4,96.6,7.3,45.7,48.1,OPEN,122,BEL,2023-07-11,2.9,7.8,0.0,88.37,69.14,-0.18,1.0,0.0,17.0,21.68,19.51,1.0,2.97,1.01,7.05,0.0,1.0,70.24,140.31,-11.63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.94,56.23,1.0,1.0,1.0,82.48,1.0,1.0
darvas,59.3,1,1,1.0,1,1.0,1.2,18.6,0.63,98.8,4.1,-4.1,2.4,STOP,2,BEL,2023-07-28,2.23,3.2,1.0,81.33,70.76,-0.11,1.0,0.0,13.04,27.27,14.62,1.0,2.08,1.02,6.63,1.0,1.0,70.64,186.29,-18.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.36,67.57,1.0,1.0,1.0,78.13,1.0,1.0
darvas,63.3,1,1,1.0,1,1.0,8.3,3.8,1.1,99.2,13.9,73.3,119.1,OPEN,124,BEL,2023-12-01,2.93,15.9,0.2,77.99,69.98,0.35,1.0,1.0,56.96,36.25,12.86,1.0,2.3,1.0,8.68,0.0,1.0,65.96,188.99,-22.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4,68.85,1.0,1.0,1.0,62.34,1.0,0.0
darvas,63.7,1,1,1.0,1,1.0,2.7,38.1,1.03,99.4,16.3,46.1,65.9,OPEN,92,BEL,2024-02-23,3.39,13.8,5.0,95.18,90.5,1.68,1.0,1.0,29.52,39.17,15.05,1.0,3.03,1.23,14.3,0.0,1.0,67.81,242.63,-4.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.65,92.93,1.0,1.0,1.0,76.88,1.0,1.0
darvas,63.1,1,1,1.0,1,1.0,2.9,26.3,0.95,98.4,11.0,13.2,37.2,OPEN,37,BEL,2024-05-17,2.56,9.3,2.7,94.94,78.05,0.13,1.0,1.0,18.97,24.74,16.43,1.0,3.15,1.2,8.95,0.0,1.0,62.28,225.59,-5.06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.02,75.86,1.0,1.0,1.0,66.71,1.0,1.0
