detector,rsi14,above_ema20,above_ema50,above_ema200,ema20_above_50,ema50_above_200,mom_20d,mom_60d,vol_trend,ath_proximity,risk_pct,trade_return,max_gain,exit_reason,days_to_peak,symbol,date,volume_ratio,box_height_pct,breakout_pct,stoch_k,stoch_d,macd_hist,macd_positive,macd_bullish,adx,plus_di,minus_di,adx_bullish,atr_pct,bb_pct_b,bb_width,bb_squeeze,supertrend_bull,mfi,cci,williams_r,obv_bullish,psar_bullish,above_ema9,above_ema21,above_ema100,ema9_gt_21,ema20_rising,mom_10d,rsi7,w_above_ema20,w_above_ema50,w_ema20_gt_50,w_rsi,w_macd_positive,w_macd_bullish
darvas,63.1,1,1,1.0,1,1.0,6.8,13.5,0.76,97.6,17.6,-17.6,4.5,STOP,11,AARTIIND,2024-04-10,3.49,17.4,3.4,92.25,88.02,7.01,1.0,1.0,52.13,38.58,0.89,1.0,2.57,1.07,18.15,0.0,1.0,96.07,162.95,-7.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.15,86.38,1.0,1.0,1.0,57.61,1.0,0.0
darvas,58.6,1,1,1.0,1,1.0,1.6,-3.2,0.65,93.1,15.2,-15.2,3.1,STOP,7,AARTIIND,2024-07-30,2.32,15.7,1.9,96.66,89.35,1.79,1.0,1.0,35.27,17.99,28.22,0.0,3.24,1.13,8.33,1.0,1.0,64.48,172.02,-3.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.69,88.15,1.0,1.0,1.0,48.03,1.0,0.0
darvas,62.1,1,1,0.0,0,,10.4,4.6,1.2,60.5,13.4,-13.4,0.4,STOP,1,AARTIIND,2025-02-06,1.79,14.6,0.8,88.98,88.09,4.03,1.0,1.0,17.6,27.64,23.07,1.0,4.09,0.91,16.37,0.0,1.0,65.74,155.2,-11.02,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.04,87.44,0.0,0.0,0.0,44.51,0.0,1.0
flat,51.3,1,0,,0,,1.3,-0.2,0.84,83.6,8.1,-8.1,1.3,STOP,1,AARTIIND,2023-06-21,2.47,6.9,1.7,91.57,79.04,2.47,1.0,1.0,40.7,27.25,11.12,1.0,1.82,1.19,4.84,1.0,1.0,61.6,215.04,-8.43,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.03,91.21,0.0,0.0,0.0,46.68,0.0,0.0
flat,65.0,1,1,,0,,3.9,-4.3,1.14,79.2,10.9,-10.9,7.1,STOP,8,AARTIIND,2023-09-04,2.28,10.9,1.2,92.31,88.97,5.24,1.0,1.0,36.96,36.65,9.94,1.0,1.99,1.02,12.79,0.0,1.0,84.64,165.37,-7.69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.89,96.77,1.0,0.0,0.0,44.8,0.0,1.0
flat,58.6,1,1,1.0,1,1.0,1.6,-3.2,0.65,93.1,11.7,-11.7,3.1,STOP,7,AARTIIND,2024-07-30,2.32,11.1,1.9,96.66,89.35,1.79,1.0,1.0,35.27,17.99,28.22,0.0,3.24,1.13,8.33,1.0,1.0,64.48,172.02,-3.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.69,88.15,1.0,1.0,1.0,48.03,1.0,0.0
darvas,57.7,1,1,1.0,1,1.0,8.5,21.5,0.64,94.6,10.6,-10.6,3.1,STOP,1,AAVAS,2025-04-21,2.06,10.5,1.3,93.77,81.94,-5.69,1.0,0.0,43.36,22.36,31.9,0.0,5.0,1.06,11.5,0.0,1.0,56.4,142.45,-6.23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9,76.19,1.0,1.0,1.0,76.18,1.0,1.0
darvas,61.5,1,1,1.0,0,1.0,5.4,-6.8,0.68,87.0,9.9,-9.9,8.4,STOP,1,AAVAS,2025-06-27,1.7,8.9,1.9,90.41,74.67,15.32,1.0,1.0,31.33,24.62,13.99,1.0,3.35,1.08,11.7,0.0,1.0,64.84,195.01,-9.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.33,89.78,0.0,1.0,1.0,46.98,1.0,0.0
flat,50.1,1,0,,0,,0.3,-14.1,1.82,68.1,8.7,1.7,24.2,OPEN,71,AAVAS,2023-06-26,4.39,7.4,2.0,92.34,65.27,14.12,0.0,1.0,22.56,27.23,10.67,1.0,2.79,1.25,8.19,1.0,1.0,80.17,232.51,-7.66,1.0,1.0,1.0,1.0,0.0,1.0,1.0,9.44,90.6,0.0,0.0,0.0,35.93,0.0,0.0
flat,59.0,1,1,0.0,0,,6.9,-6.5,0.85,71.0,18.2,9.0,23.8,OPEN,49,AAVAS,2024-04-05,9.25,11.5,9.7,93.15,81.16,23.86,1.0,1.0,47.96,43.05,10.29,1.0,3.21,1.37,17.71,0.0,1.0,78.62,339.12,-6.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.3,90.4,0.0,0.0,0.0,33.76,0.0,0.0
