date,baseline,rsi50,vwap,volspike,htf,confluence
2024-08-09,-1192.35,-1192.35,-284.26,-187.79,0.00,0.00
2024-08-12,-1223.51,-1223.51,-30.68,-912.03,-2051.91,-912.03
2024-08-13,-3237.78,-3237.78,-3237.78,1792.12,-2833.29,1792.12
2024-08-16,-1991.67,-1991.67,-1991.67,-968.33,0.00,0.00
2024-08-19,-2951.82,-2951.82,-2951.82,0.00,-2120.95,0.00
2024-08-20,-462.38,-462.38,-462.38,-1027.16,103.83,0.00
2024-08-21,-1042.70,-1042.70,-1042.70,32.38,-132.27,911.90
2024-08-26,-382.03,-382.03,-382.03,-787.64,-382.03,-787.64
2024-08-27,-1674.29,-1674.29,-1674.29,-935.90,-828.99,-828.99
2024-08-28,-1390.35,-1390.35,-1390.35,-1816.55,0.00,0.00
2024-08-29,-462.98,-462.98,-462.98,416.65,-1095.13,0.00
2024-09-02,-1519.16,-1519.16,-1519.16,-598.74,-326.13,-326.13
2024-09-03,-976.47,-976.47,-976.47,272.52,-472.05,0.00
2024-09-04,-1475.72,-1475.72,-1475.72,-1007.20,634.86,352.72
2024-09-05,-2861.30,-2861.30,-2861.30,1245.48,60.66,1245.48
2024-09-06,185.39,185.39,185.39,0.00,0.00,0.00
2024-09-09,-2951.83,-2951.83,-2951.83,-886.14,-1720.21,-886.14
2024-09-10,-1121.56,-1121.56,-1121.56,-0.84,0.00,0.00
2024-09-11,598.06,598.06,598.06,161.17,806.51,806.51
2024-09-12,509.83,509.83,509.83,-447.80,698.45,698.45
2024-09-13,4.93,4.93,1093.16,4.93,-1088.23,0.00
2024-09-16,-2232.56,-2232.56,-2232.56,-696.30,-2232.56,-696.30
2024-09-17,-2503.06,-2503.06,-2503.06,320.87,-1435.04,320.87
2024-09-18,-173.41,-173.41,-173.41,-610.08,0.00,0.00
2024-09-19,843.53,843.53,843.53,0.00,919.36,0.00
2024-09-20,2016.68,2016.68,1285.75,1940.62,76.06,0.00
2024-09-24,-2614.52,-2614.52,-2614.52,-799.55,-850.81,0.00
2024-09-25,2409.26,2409.26,2253.85,0.00,155.40,0.00
2024-09-26,-2321.52,-2321.52,-2321.52,-1236.95,0.00,0.00
2024-09-27,355.30,355.30,355.30,1385.84,0.00,0.00
2024-09-30,-1133.83,-1133.83,-1133.83,-1590.25,-193.90,-1006.19
2024-10-03,-2857.33,-2857.33,-2857.33,0.00,-1568.06,0.00
2024-10-04,554.72,554.72,554.72,-1255.25,1809.97,0.00
2024-10-07,1843.86,1843.86,1843.86,1870.26,1843.86,1870.26
2024-10-08,641.19,641.19,641.19,-1117.71,-1040.01,0.00
2024-10-10,-1679.98,-1679.98,-694.05,-974.15,-985.93,0.00
2024-10-11,509.80,509.80,509.80,0.00,0.00,0.00
2024-10-14,231.99,231.99,231.99,-872.38,-500.83,0.00
2024-10-15,965.93,965.93,1844.64,-1531.79,331.71,-1018.51
2024-10-16,-1036.26,-1036.26,-1036.26,314.05,-1350.31,0.00
2024-10-18,-1645.46,-1645.46,-1088.08,0.00,-1088.08,0.00
2024-10-21,-1216.49,-1216.49,-1216.49,0.00,1445.83,0.00
2024-10-22,-612.71,-612.71,506.21,0.00,1569.21,0.00
2024-10-23,1223.46,1223.46,2697.84,925.66,478.81,925.66
2024-10-24,1945.71,1945.71,2725.01,-1616.38,552.31,-837.09
2024-10-28,4432.38,4432.38,4432.38,-587.66,2087.17,-1601.60
2024-10-29,-109.59,-109.59,-109.59,1046.70,0.00,0.00
2024-10-30,1407.80,1407.80,1407.80,947.29,460.52,0.00
2024-11-04,2023.99,2023.99,1324.16,0.00,0.00,0.00
2024-11-05,1611.86,1611.86,1611.86,0.00,1611.86,0.00
2024-11-07,-1349.25,-1349.25,-1349.25,0.00,-1349.25,0.00
2024-11-08,-1342.74,-1342.74,-1342.74,-2146.68,-2275.84,-2146.68
2024-11-11,-387.30,-387.30,-387.30,-387.30,631.95,631.95
2024-11-12,-3295.94,-3295.94,-3295.94,-3122.71,-1188.73,-1015.51
2024-11-13,-2902.23,-2902.23,-1416.39,-1485.84,-1416.39,0.00
2024-11-14,-1300.07,-1300.07,-1300.07,1172.61,-1300.07,1172.61
2024-11-19,257.92,257.92,257.92,257.92,0.00,0.00
2024-11-21,1755.70,1755.70,1755.70,0.00,-168.34,0.00
2024-11-22,-1041.42,-1041.42,-1041.42,-1041.42,-1041.42,-1041.42
2024-11-25,538.13,538.13,538.13,538.13,0.00,0.00
2024-11-27,971.98,971.98,971.98,0.00,199.48,0.00
2024-11-28,-2261.89,-2261.89,-2261.89,1136.31,0.00,0.00
2024-11-29,-1866.54,-1866.54,0.00,-894.07,0.00,0.00
2024-12-02,-2714.41,-2714.41,-2714.41,-856.43,-1817.74,-856.43
2024-12-03,-948.35,-948.35,-948.35,0.00,-948.35,0.00
2024-12-05,2907.78,2907.78,2907.78,2907.78,1759.83,1759.83
2024-12-06,-4132.03,-4132.03,-4132.03,-2826.86,-2446.25,-1141.08
2024-12-09,-1316.42,-1316.42,-1316.42,0.00,-1316.42,0.00
2024-12-10,-325.55,-325.55,-325.55,-1226.51,495.82,0.00
2024-12-11,-2066.66,-2066.66,-2066.66,385.72,-1259.61,0.00
2024-12-16,-1853.70,-1853.70,-1853.70,-1705.04,-863.30,-863.30
2024-12-17,194.11,194.11,194.11,-336.57,-584.64,-336.57
2024-12-18,-2402.44,-2402.44,-2402.44,-1100.79,-2402.44,-1100.79
2024-12-19,-1137.73,-1137.73,0.00,-1137.73,-1137.73,0.00
2024-12-23,-3178.12,-3178.12,-2068.53,-1109.59,-2071.99,0.00
2024-12-24,-524.33,-524.33,-524.33,-1222.95,661.23,0.00
2024-12-26,-1373.50,-1373.50,-1373.50,-1689.31,-1373.50,-1689.31
2024-12-27,799.44,799.44,799.44,0.00,0.00,0.00
2024-12-30,-304.28,-304.28,722.25,-36.82,722.25,-36.82
2024-12-31,-2694.60,-2694.60,-2694.60,-1219.31,-2787.02,-1311.73
2025-01-01,-531.79,-531.79,-531.79,0.00,-531.79,0.00
2025-01-02,-265.76,-265.76,-265.76,0.00,797.87,0.00
2025-01-03,-698.57,-698.57,-1372.88,-1062.47,-1062.47,-1062.47
2025-01-06,-1327.90,-1327.90,-1327.90,0.00,-1327.90,0.00
2025-01-07,-1414.18,-1414.18,-1414.18,0.00,0.00,0.00
2025-01-08,-5462.39,-5462.39,-5462.39,-524.43,-6054.85,-1116.88
2025-01-09,-3545.53,-3545.53,-3545.53,-1220.21,-3545.53,-1220.21
2025-01-10,-1533.12,-1533.12,-1533.12,0.00,-583.39,0.00
2025-01-14,497.54,497.54,497.54,0.00,497.54,0.00
2025-01-15,-4606.10,-4606.10,-4606.10,-2077.41,-3610.73,-1082.04
2025-01-16,-381.89,-381.89,-381.89,0.00,-381.89,0.00
2025-01-17,-1247.77,-1247.77,-1247.77,0.00,0.00,0.00
2025-01-20,1375.55,1375.55,668.20,0.00,668.20,0.00
