variant,trades,wins,losses,win_rate_pct,avg_win,avg_loss,profit_factor,net_pnl,gross_pnl,costs,days_traded,cagr_pct,sharpe,max_dd,max_dd_pct,calmar
baseline,1188,392,796,33.0,800.0,-1037.0,0.38,-512160.0,19971.0,532131.0,397,0.0,-11.33,512160.0,170.72,0.0
rsi50,1188,392,796,33.0,800.0,-1037.0,0.38,-512160.0,19971.0,532131.0,397,0.0,-11.33,512160.0,170.72,0.0
vwap,1129,376,753,33.3,813.0,-1041.0,0.39,-478426.0,27284.0,505710.0,391,0.0,-10.84,478426.0,159.48,0.0
volspike,485,163,322,33.61,697.0,-1023.0,0.34,-215895.0,1433.0,217328.0,286,-67.39,-9.84,217109.0,72.37,-0.93
htf,615,195,420,31.71,778.0,-1035.0,0.35,-283201.0,-7742.0,275459.0,311,-90.32,-9.96,284202.0,94.73,-0.95
confluence,256,84,172,32.81,742.0,-1015.0,0.36,-112305.0,2442.0,114746.0,181,-47.95,-8.37,114487.0,38.16,-1.26
