date,long_baseline,long_volspike,long_htf,long_confluence,contra_baseline,contra_volspike,contra_htf,contra_confluence
2024-07-12,-2504.66,-2504.66,-2504.66,-2504.66,694.03,694.03,0.00,0.00
2024-07-15,-1280.01,368.89,-584.05,0.00,-3959.64,-858.50,-1922.43,0.00
2024-07-16,-1640.78,-887.97,-887.97,-887.97,-723.18,-888.63,165.45,0.00
2024-07-18,-514.25,-1190.14,-514.25,-1190.14,-2204.48,-1191.25,0.00,0.00
2024-07-19,613.50,0.00,613.50,0.00,-981.99,0.00,0.00,0.00
2024-07-22,-4562.39,-2325.58,-4562.39,-2325.58,1564.15,1954.91,0.00,0.00
2024-07-23,2257.93,1806.48,627.64,1806.48,-2057.51,-1576.35,-1491.26,0.00
2024-07-25,-1883.08,-1117.88,-765.20,0.00,-57.10,-244.60,-244.60,0.00
2024-07-26,-1181.26,-1134.33,-135.26,-1134.33,-2928.72,-710.45,-1046.90,0.00
2024-07-30,-1108.03,0.00,-1108.03,0.00,872.98,0.00,0.00,0.00
2024-07-31,-974.89,0.00,0.00,0.00,-1930.03,0.00,-1930.03,0.00
2024-08-01,-723.99,-723.99,0.00,0.00,-1679.36,-1679.36,-1679.36,0.00
2024-08-02,-3046.38,0.00,0.00,0.00,542.46,0.00,542.46,0.00
2024-08-07,-3468.17,0.00,-1176.39,0.00,-2146.04,0.00,-970.74,0.00
2024-08-08,-1231.20,0.00,0.00,0.00,1118.85,0.00,1118.85,0.00
2024-08-09,-1192.35,-187.79,0.00,0.00,-1951.46,-2609.24,-1951.46,-908.77
2024-08-12,-1223.51,-912.03,-2051.91,-912.03,-6883.52,475.50,-4604.28,0.00
2024-08-13,-3237.78,1792.12,-2833.29,1792.12,-4671.74,-2236.60,-3395.14,0.00
2024-08-16,-1991.67,-968.33,0.00,0.00,-2264.04,-969.11,-2264.04,0.00
2024-08-19,-2951.82,0.00,-2120.95,0.00,-336.62,0.00,311.85,0.00
2024-08-20,-462.38,-1027.16,103.83,0.00,-2645.72,-1026.29,-1931.23,0.00
2024-08-21,-1042.70,32.38,-132.27,911.90,-4040.32,-1628.42,-2866.49,0.00
2024-08-26,-382.03,-787.64,-382.03,-787.64,-633.68,237.43,0.00,0.00
2024-08-27,-1674.29,-935.90,-828.99,-828.99,659.43,525.87,659.43,0.00
2024-08-28,-1390.35,-1816.55,0.00,0.00,64.82,942.65,64.82,0.00
2024-08-29,-462.98,416.65,-1095.13,0.00,-809.64,-881.24,-1655.30,0.00
2024-09-02,-1519.16,-598.74,-326.13,-326.13,-2276.76,-1357.04,-1505.35,0.00
2024-09-03,-976.47,272.52,-472.05,0.00,-2438.10,-809.70,-603.36,0.00
2024-09-04,-1475.72,-1007.20,634.86,352.72,-1032.66,533.76,625.05,0.00
2024-09-05,-2861.30,1245.48,60.66,1245.48,-2683.15,-1960.20,-806.00,0.00
2024-09-06,185.39,0.00,0.00,0.00,-2746.01,0.00,-2746.01,0.00
2024-09-09,-2951.83,-886.14,-1720.21,-886.14,113.65,461.12,486.01,0.00
2024-09-10,-1121.56,-0.84,0.00,0.00,-2956.84,-1835.11,-2956.84,0.00
2024-09-11,598.06,161.17,806.51,806.51,-1958.18,-1069.17,-881.08,0.00
2024-09-12,509.83,-447.80,698.45,698.45,-3797.88,-2643.15,-2302.02,0.00
2024-09-13,4.93,4.93,-1088.23,0.00,-388.89,-388.89,-1219.41,0.00
2024-09-16,-2232.56,-696.30,-2232.56,-696.30,1033.27,-695.92,0.00,0.00
2024-09-17,-2503.06,320.87,-1435.04,320.87,-696.24,-835.18,789.11,0.00
