variant,trades,wins,losses,win_rate_pct,avg_win,avg_loss,profit_factor,net_pnl,gross_pnl,costs,days_traded,cagr_pct,sharpe,max_dd,max_dd_pct,calmar
long_baseline,1188,392,796,33.0,800.0,-1037.0,0.38,-512160.0,19971.0,532131.0,397,0.0,-11.33,512160.0,170.72,0.0
long_volspike,485,163,322,33.61,697.0,-1023.0,0.34,-215895.0,1433.0,217328.0,286,-67.39,-9.84,217109.0,72.37,-0.93
long_htf,615,195,420,31.71,778.0,-1035.0,0.35,-283201.0,-7742.0,275459.0,311,-90.32,-9.96,284202.0,94.73,-0.95
long_confluence,256,84,172,32.81,742.0,-1015.0,0.36,-112305.0,2442.0,114746.0,181,-47.95,-8.37,114487.0,38.16,-1.26
contra_baseline,1188,362,826,30.47,750.0,-1035.0,0.32,-583397.0,-51267.0,532129.0,397,0.0,-13.42,583397.0,194.47,0.0
contra_volspike,485,140,345,28.87,685.0,-1004.0,0.28,-250618.0,-33298.0,217320.0,286,-79.6,-12.04,251211.0,83.74,-0.95
contra_htf,603,167,436,27.69,738.0,-1038.0,0.27,-329401.0,-59284.0,270117.0,311,0.0,-12.96,329837.0,109.95,0.0
contra_confluence,20,8,12,40.0,662.0,-964.0,0.46,-6270.0,2675.0,8945.0,18,-25.6,-6.56,7032.0,2.34,-10.92
