variant,symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,sqz_bars,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
long_baseline,INDUSINDBK,2024-04-02,SHORT,2024-04-02T12:50:00,1562.00,1564.52,1556.97,192,2.52,0,2024-04-02T13:35:00,1556.97,TARGET,966.17,517.04
long_baseline,INDUSINDBK,2024-04-05,LONG,2024-04-05T14:05:00,1541.40,1539.19,1545.82,194,2.21,0,2024-04-05T14:05:00,1539.19,STOP,-428.44,-876.66
long_baseline,INDUSINDBK,2024-04-25,LONG,2024-04-25T10:05:00,1483.50,1480.02,1490.46,202,3.48,0,2024-04-25T10:20:00,1490.46,TARGET,1405.40,954.85
long_baseline,INDUSINDBK,2024-04-26,SHORT,2024-04-26T10:05:00,1484.35,1490.63,1471.78,202,6.28,0,2024-04-26T10:35:00,1471.78,TARGET,2538.40,2090.55
long_baseline,INDUSINDBK,2024-04-30,LONG,2024-04-30T12:50:00,1509.20,1505.47,1516.66,198,3.73,0,2024-04-30T12:55:00,1505.47,STOP,-738.99,-1186.66
long_baseline,INDUSINDBK,2024-05-03,SHORT,2024-05-03T11:30:00,1499.00,1503.10,1490.80,200,4.10,0,2024-05-03T11:40:00,1490.80,TARGET,1639.40,1190.93
long_baseline,INDUSINDBK,2024-05-15,SHORT,2024-05-15T13:45:00,1410.95,1413.32,1406.20,212,2.37,0,2024-05-15T14:55:00,1413.32,STOP,-503.41,-952.47
long_baseline,INDUSINDBK,2024-05-21,LONG,2024-05-21T13:00:00,1414.90,1412.81,1419.07,212,2.09,0,2024-05-21T13:00:00,1412.81,STOP,-442.38,-891.99
long_baseline,INDUSINDBK,2024-05-23,LONG,2024-05-23T12:15:00,1429.15,1425.74,1435.96,209,3.41,0,2024-05-23T12:50:00,1435.96,TARGET,1423.57,974.47
long_baseline,INDUSINDBK,2024-05-30,SHORT,2024-05-30T11:00:00,1461.85,1465.43,1454.70,205,3.58,0,2024-05-30T11:20:00,1454.70,TARGET,1465.96,1017.54
long_baseline,INDUSINDBK,2024-05-31,LONG,2024-05-31T13:25:00,1457.40,1454.40,1463.40,205,3.00,0,2024-05-31T14:20:00,1454.40,STOP,-615.36,-1063.05
long_baseline,INDUSINDBK,2024-06-10,SHORT,2024-06-10T13:15:00,1490.95,1493.09,1486.67,201,2.14,0,2024-06-10T13:15:00,1493.09,STOP,-429.64,-879.49
long_baseline,INDUSINDBK,2024-06-14,SHORT,2024-06-14T12:10:00,1509.05,1511.95,1503.25,198,2.90,0,2024-06-14T13:35:00,1504.65,TIME_STOP,871.20,423.67
long_baseline,INDUSINDBK,2024-06-18,LONG,2024-06-18T13:45:00,1515.60,1513.53,1519.73,197,2.07,0,2024-06-18T13:45:00,1513.53,STOP,-406.90,-854.45
long_baseline,INDUSINDBK,2024-06-28,SHORT,2024-06-28T12:40:00,1476.60,1479.06,1471.69,203,2.46,0,2024-06-28T12:40:00,1479.06,STOP,-498.74,-948.74
