label,universe,age,L,trail,cost_bps,cash_y,min_bars,n_signals_w2,w2_cagr,w2_cagr_lo,w2_cagr_hi,w2_dd,w2_dd_worst,w2_calmar,w2_n,w2_tpy,w2_win,w2_mean,w2_netexp,w2_avg_win,w2_avg_loss,w2_hold_mean,w2_inv,w2_streak,w2_null_cagr,w2_null_dd,w2_null_mean,w2_edge,w2_edge_lo,w2_edge_hi,w2_wins,wa_cagr,wa_cagr_lo,wa_cagr_hi,wa_dd,wa_dd_worst,wa_calmar,wa_n,wa_tpy,wa_win,wa_mean,wa_netexp,wa_avg_win,wa_avg_loss,wa_hold_mean,wa_inv,wa_streak,wa_null_cagr,wa_null_dd,wa_null_mean,wa_edge,wa_edge_lo,wa_edge_hi,wa_wins,wb_cagr,wb_cagr_lo,wb_cagr_hi,wb_dd,wb_dd_worst,wb_calmar,wb_n,wb_tpy,wb_win,wb_mean,wb_netexp,wb_avg_win,wb_avg_loss,wb_hold_mean,wb_inv,wb_streak,wb_null_cagr,wb_null_dd,wb_null_mean,wb_edge,wb_edge_lo,wb_edge_hi,wb_wins,hold_median,cap_med_pct_tv_10L,cap_p90_pct_tv_10L,cap_p90_pct_tv_1cr,book_L_at_p90_5pct,young6m_share_pct,rank_median,distinct_names,stale_open_per_seed,top10_share_pct,mean_ex_top10,secs
all__le6,all,le6,25,50,25,0.052,25,1707,22.39,21.09,23.77,-24.79,-35.08,0.903,419,20.3,48.3,6.501,6.001,21.35,-7.37,35.0,37.1,11,20.18,-28.54,5.794,2.25,-0.4,5.0,29,17.01,17.01,17.57,-17.83,-17.83,0.954,105,10.5,53.3,8.22,7.72,22.14,-7.69,32.0,17.5,7,12.39,-20.16,5.765,4.63,4.63,4.66,30,28.37,24.52,30.28,-24.76,-33.53,1.146,314,29.5,47.0,6.02,5.52,20.94,-7.23,36.0,55.6,11,28.27,-26.41,5.847,-0.18,-5.34,4.19,14,29.0,1.481,9.86,98.6,5.1,99.1,186.0,220,0.0,14.5,5.7,13.0
all__le6__mb60_livebook,all,le6,25,50,25,0.052,60,1068,12.39,11.3,13.82,-36.35,-41.72,0.341,359,17.4,40.6,4.11,3.61,20.74,-7.27,35.0,31.7,23,11.83,-39.84,3.744,0.79,-0.83,2.17,23,9.18,9.18,9.18,-12.81,-12.81,0.717,72,7.2,45.8,5.096,4.596,20.22,-7.7,33.0,12.6,7,8.98,-14.3,4.936,0.2,0.2,0.2,30,15.32,12.64,17.74,-35.38,-42.65,0.433,287,26.9,39.4,3.836,3.336,20.78,-7.17,35.0,49.6,23,14.3,-39.97,3.397,1.31,-2.47,4.47,19,28.0,0.591,2.648,26.48,18.9,99.1,190.0,200,0.0,25.0,3.17,11.0
top50__none,top50,none,25,50,25,0.052,25,13954,3.04,-0.0,5.47,-43.62,-61.89,0.07,689,33.3,34.6,1.083,0.583,14.05,-5.77,38.0,67.7,26,5.36,-43.74,1.545,-2.23,-6.33,0.82,3,3.33,-1.09,6.94,-39.96,-56.02,0.083,331,33.2,35.7,1.207,0.707,15.0,-6.41,36.0,62.9,14,8.01,-37.6,2.163,-4.74,-9.4,1.22,1,2.73,0.62,5.75,-40.86,-49.3,0.067,356,33.3,34.2,1.039,0.539,13.3,-5.3,41.0,72.1,24,3.18,-39.98,1.077,-1.11,-5.05,4.33,11,31.0,0.017,0.067,0.67,742.1,0.5,26.0,130,0.0,44.8,0.6,23.0
top50__gt6,top50,gt6,25,50,25,0.052,25,13868,2.27,-0.25,5.33,-45.42,-65.39,0.05,685,33.2,34.4,0.939,0.439,14.05,-5.79,39.0,67.6,25,1.98,-48.46,0.941,0.25,-3.58,4.34,17,2.6,-2.36,5.61,-40.74,-60.41,0.064,330,33.1,34.9,1.057,0.557,14.81,-6.35,36.0,62.8,15,3.94,-42.85,1.315,-1.59,-10.68,4.09,11,2.14,-1.28,4.72,-41.14,-49.54,0.052,355,33.3,33.7,0.931,0.431,13.44,-5.29,41.0,72.3,25,0.23,-47.56,0.608,1.68,-4.75,7.72,24,31.0,0.016,0.063,0.63,791.4,0.0,26.0,130,0.0,50.5,0.47,25.0
top100__none,top100,none,25,50,25,0.052,25,26845,4.39,-2.57,8.23,-43.54,-70.93,0.101,714,34.5,35.5,1.327,0.827,14.61,-5.94,38.0,68.9,22,3.65,-49.02,1.214,0.01,-3.46,6.26,15,6.09,-2.46,9.87,-38.66,-54.44,0.158,352,35.3,36.1,1.727,1.227,16.03,-6.53,34.0,64.0,16,4.79,-37.87,1.482,1.64,-6.24,7.28,18,2.81,-3.83,9.8,-42.1,-56.45,0.067,365,34.2,35.2,1.045,0.545,12.96,-5.38,41.0,73.5,21,2.21,-47.89,0.953,0.95,-8.43,8.13,18,32.0,0.037,0.164,1.64,304.6,0.6,46.0,191,0.0,35.5,0.87,30.0
top100__gt6,top100,gt6,25,50,25,0.052,25,26688,4.0,-1.7,7.55,-45.41,-64.62,0.088,717,34.7,35.5,1.236,0.736,14.56,-5.95,38.0,68.8,22,4.67,-49.39,1.403,-0.47,-4.5,5.05,13,5.64,-2.78,11.56,-36.68,-60.18,0.154,349,34.9,36.4,1.66,1.16,16.12,-6.53,35.0,64.0,16,7.89,-39.19,2.095,-1.63,-11.85,5.68,8,2.66,-2.6,10.73,-42.27,-51.41,0.063,368,34.5,35.5,0.965,0.465,12.96,-5.43,40.0,73.5,22,3.11,-40.31,1.081,-0.36,-6.03,9.84,13,31.0,0.036,0.162,1.62,308.5,0.0,46.0,189,0.0,38.8,0.78,28.0
top200__none,top200,none,25,50,25,0.052,25,45997,5.51,1.58,10.6,-48.17,-65.77,0.114,740,35.8,35.6,1.559,1.059,15.64,-6.14,37.0,69.5,21,8.86,-45.8,2.047,-3.24,-8.87,4.21,5,7.25,1.77,13.97,-39.54,-55.65,0.183,353,35.3,37.2,1.919,1.419,16.84,-6.73,35.0,65.1,16,11.22,-41.9,2.578,-4.6,-12.18,4.91,11,3.26,-1.43,7.46,-47.96,-62.73,0.068,381,35.7,34.7,1.124,0.624,14.0,-5.7,39.0,73.6,20,6.95,-43.98,1.729,-3.38,-12.67,1.49,6,31.0,0.072,0.376,3.76,133.1,0.6,77.0,264,0.0,30.9,1.1,35.0
top200__gt6,top200,gt6,25,50,25,0.052,25,45623,5.79,1.6,9.05,-48.85,-60.88,0.119,735,35.6,36.0,1.604,1.104,15.49,-6.14,37.0,69.7,22,6.58,-49.1,1.652,-0.73,-6.2,4.26,12,7.71,3.96,11.57,-40.57,-59.05,0.19,351,35.2,37.3,1.954,1.454,16.83,-6.72,35.0,65.0,18,9.5,-42.35,2.206,-1.7,-9.72,4.8,12,3.39,-3.15,8.23,-47.49,-55.97,0.071,386,36.2,35.0,1.194,0.694,13.92,-5.63,39.0,73.7,20,2.69,-46.23,1.007,1.46,-6.4,8.46,17,32.0,0.076,0.379,3.79,131.8,0.0,76.0,264,0.0,30.2,1.14,34.0
top500__none,top500,none,25,50,25,0.052,25,71858,5.53,1.46,10.49,-49.71,-62.75,0.111,760,36.8,35.6,1.543,1.043,15.92,-6.46,36.0,69.5,19,5.76,-56.48,1.557,-0.59,-6.96,4.78,13,7.02,0.39,11.95,-40.47,-58.33,0.174,353,35.4,36.8,1.869,1.369,16.7,-6.77,35.0,65.1,15,8.81,-47.52,2.227,-0.88,-10.28,5.18,12,3.24,-3.58,12.08,-46.91,-66.77,0.069,406,38.0,34.7,1.118,0.618,15.28,-6.16,37.0,73.6,17,5.17,-48.18,1.4,-1.98,-11.11,10.57,13,30.0,0.122,0.546,5.46,91.7,0.7,105.0,352,0.0,31.1,1.07,39.0
top500__gt6,top500,gt6,25,50,25,0.052,25,71083,5.24,-1.28,10.01,-48.74,-74.0,0.108,760,36.8,34.9,1.492,0.992,16.07,-6.41,36.0,69.5,19,5.06,-54.55,1.424,-0.71,-10.19,5.9,12,6.62,0.81,12.85,-42.32,-56.93,0.156,348,34.9,37.0,1.785,1.285,16.64,-6.76,36.0,65.1,17,8.72,-42.26,2.173,-2.54,-9.69,5.25,12,2.77,-0.06,7.74,-43.68,-57.85,0.063,409,38.4,34.3,1.023,0.523,15.16,-6.18,37.0,73.5,17,3.13,-52.09,1.121,-0.24,-4.98,8.51,13,30.0,0.118,0.513,5.13,97.4,0.0,107.0,348,0.0,31.9,1.04,43.0
mid101_250__none,mid101_250,none,25,50,25,0.052,25,25378,8.94,5.08,12.98,-50.36,-61.0,0.177,744,36.0,37.5,2.101,1.601,16.88,-6.75,36.0,67.2,18,7.81,-45.7,1.869,1.52,-4.03,5.49,20,13.45,7.22,19.77,-47.72,-61.0,0.282,333,33.4,39.3,3.018,2.518,19.03,-7.41,35.0,60.6,16,9.9,-43.0,2.375,3.5,-3.97,8.64,23,4.4,-2.54,8.54,-45.21,-58.21,0.097,406,38.1,36.1,1.298,0.798,14.69,-6.16,37.0,73.2,17,4.7,-42.53,1.337,-0.17,-8.42,4.36,15,30.0,0.324,0.864,8.64,57.9,1.0,145.0,305,0.0,23.6,1.63,27.0
mid101_250__gt6,mid101_250,gt6,25,50,25,0.052,25,25066,8.92,4.45,11.87,-49.48,-62.2,0.18,741,35.9,37.6,2.068,1.568,16.66,-6.7,36.0,67.3,17,11.0,-52.02,2.447,-1.7,-9.36,3.28,8,13.53,7.11,15.94,-47.37,-62.2,0.286,335,33.5,39.4,3.068,2.568,18.9,-7.36,34.0,60.7,16,16.61,-36.65,3.452,-3.13,-9.9,2.66,6,4.45,-1.63,11.96,-45.1,-58.73,0.099,405,38.0,36.1,1.299,0.799,14.95,-6.2,37.0,73.5,16,6.13,-51.93,1.592,-1.36,-7.57,7.25,12,30.0,0.317,0.834,8.34,60.0,0.0,145.0,298,0.0,22.9,1.6,29.0
small251_500__none,small251_500,none,25,50,25,0.052,25,19635,2.52,-2.43,4.89,-49.33,-60.65,0.051,501,24.3,31.8,0.803,0.303,18.32,-7.46,34.0,43.6,18,3.03,-54.86,0.919,-0.84,-4.0,3.12,13,-1.08,-1.59,-0.14,-36.04,-38.27,-0.03,83,8.3,24.4,-2.568,-3.068,19.44,-9.66,34.0,15.1,10,2.47,-27.63,-0.096,-3.46,-5.01,-2.19,0,5.45,1.72,10.73,-51.03,-57.34,0.107,423,39.7,33.8,1.485,0.985,18.53,-7.0,34.0,70.2,20,2.73,-46.48,1.074,2.74,-8.55,7.96,25,28.0,0.203,0.36,3.6,138.8,0.5,316.0,305,0.0,91.2,0.07,20.0
small251_500__gt6,small251_500,gt6,25,50,25,0.052,25,19329,2.46,-1.8,4.75,-53.57,-69.12,0.046,504,24.4,31.7,0.755,0.255,18.04,-7.45,34.0,43.6,19,3.17,-53.87,0.979,-1.42,-6.05,3.04,12,-1.08,-1.59,-0.14,-36.04,-38.27,-0.03,83,8.3,24.4,-2.568,-3.068,19.44,-9.66,34.0,15.1,10,2.47,-27.63,-0.096,-3.46,-5.01,-2.19,0,4.8,-2.2,13.42,-54.4,-65.16,0.088,418,39.2,33.5,1.418,0.918,18.02,-6.94,34.0,70.4,19,3.42,-54.92,1.12,0.06,-7.93,15.36,15,28.0,0.193,0.351,3.51,142.4,0.0,317.0,301,0.0,96.7,0.03,24.0
rank501plus__none,rank501plus,none,25,50,25,0.052,25,16837,6.76,4.03,11.18,-33.96,-55.49,0.199,335,16.2,36.9,2.09,1.59,19.39,-7.96,32.0,27.6,13,8.21,-34.05,2.57,-1.39,-5.1,1.8,8,4.86,4.86,4.86,-7.05,-7.05,0.689,9,0.9,33.3,-0.134,-0.634,19.85,-10.13,33.0,1.5,3,5.78,-6.85,5.089,-0.93,-0.93,-0.93,0,7.95,2.26,17.34,-33.95,-55.63,0.234,327,30.7,37.1,2.053,1.553,19.14,-7.89,32.0,51.9,13,10.62,-34.03,2.527,-2.41,-9.86,6.36,9,28.0,0.617,1.257,12.57,39.8,0.8,601.0,246,0.0,55.1,0.98,17.0
rank501plus__gt6,rank501plus,gt6,25,50,25,0.052,25,16526,7.41,4.02,9.7,-36.04,-49.27,0.206,334,16.2,37.6,2.325,1.825,19.39,-7.9,33.0,27.6,13,6.8,-37.98,2.112,0.69,-4.66,4.42,20,5.11,5.11,5.11,-5.63,-5.63,0.907,8,0.8,37.5,1.329,0.829,19.85,-9.78,36.0,1.5,2,5.11,-5.63,1.329,0.0,0.0,0.0,0,9.39,1.92,13.82,-37.6,-49.25,0.25,326,30.6,37.4,2.328,1.828,19.38,-7.85,33.0,52.0,13,8.26,-37.47,2.041,0.91,-8.6,9.51,19,28.0,0.636,1.325,13.25,37.7,0.0,601.0,245,0.0,48.9,1.25,17.0
all__none,all,none,25,50,25,0.052,25,89619,6.97,2.24,12.03,-46.57,-68.27,0.15,769,37.2,35.8,1.756,1.256,16.41,-6.48,36.0,69.5,19,7.18,-59.13,1.791,-0.04,-9.21,5.27,15,8.98,0.06,17.25,-36.83,-57.36,0.244,351,35.1,37.8,2.235,1.735,17.18,-6.8,35.0,65.1,16,13.33,-35.42,2.921,-4.33,-20.19,4.64,4,5.06,-3.83,10.8,-42.44,-65.34,0.119,412,38.6,34.9,1.402,0.902,15.61,-6.39,36.0,73.5,17,2.42,-55.38,1.002,0.96,-10.49,8.72,17,30.0,0.163,0.718,7.18,69.7,2.0,110.0,380,0.0,27.1,1.29,50.0
all__gt6,all,gt6,25,50,25,0.052,25,87610,5.86,0.83,11.83,-44.87,-70.21,0.131,762,36.9,36.2,1.56,1.06,16.04,-6.53,36.0,69.5,18,6.87,-60.5,1.734,-1.5,-4.93,6.53,11,6.29,0.34,13.81,-42.68,-54.94,0.147,352,35.2,36.9,1.753,1.253,16.71,-6.79,35.0,65.0,17,8.96,-40.41,2.188,-2.16,-9.6,6.03,10,3.63,-5.58,10.78,-43.59,-65.88,0.083,413,38.7,34.7,1.199,0.699,15.5,-6.44,36.0,73.4,15,4.25,-55.71,1.253,-1.67,-9.29,10.33,10,30.0,0.144,0.62,6.2,80.6,0.0,112.0,377,0.0,29.3,1.11,50.0
