symbol,date,ratio,tv20_cr
MCL,2018-09-05,0.3498,0.03
MCL,2019-02-21,2.0398,0.01
MCL,2019-05-02,0.5235,0.03
MCL,2019-05-06,2.0321,0.03
MFSL,2007-03-12,0.2054,0.52
MIRZAINT,2023-03-29,0.2341,14.81
MMFL,2006-12-20,6.4571,0.0
MOKSH,2021-07-20,2.0,0.0
MOLOWVOL,2022-03-30,7.0156,0.0
MOM30IETF,2022-08-12,0.1012,
MPSLTD,2008-11-19,0.5704,0.01
MPSLTD,2008-11-21,0.1379,0.01
MPSLTD,2008-11-24,4.375,0.01
MPSLTD,2008-11-26,0.0333,0.01
MPSLTD,2008-11-28,30.0,0.01
MPSLTD,2008-12-01,2.4667,0.01
MPSLTD,2008-12-03,2.125,0.0
MPSLTD,2009-01-16,1.8,0.0
MPSLTD,2009-02-05,0.0909,0.0
MPSLTD,2009-02-06,8.6667,0.0
MPSLTD,2009-02-11,0.5091,0.0
MPSLTD,2009-02-12,3.1786,0.0
MPSLTD,2009-02-13,1.8539,0.0
MPSLTD,2009-02-24,2.36,0.0
MPSLTD,2009-02-26,0.4768,0.0
MPSLTD,2009-03-23,2.1,0.0
MPSLTD,2009-03-24,1.8095,0.0
MPSLTD,2010-11-26,0.125,0.01
MPSLTD,2010-12-01,5.9333,0.01
MPSLTD,2010-12-03,0.3298,0.0
MPSLTD,2011-01-03,4.6667,0.0
MPSLTD,2011-07-14,0.2308,0.0
MPSLTD,2012-02-09,30.75,0.0
MPSLTD,2012-02-16,0.5658,0.0
MPSLTD,2012-02-17,0.5814,0.0
MPSLTD,2012-02-21,2.48,0.0
MPSLTD,2012-02-23,0.4386,0.0
MPSLTD,2012-02-29,2.1667,0.0
MPSLTD,2012-05-30,0.2258,0.0
MPSLTD,2012-06-08,0.5098,0.0
MPSLTD,2012-06-11,2.6923,0.0
MUNJALAU,2006-07-20,0.5235,0.0
MWL,2026-05-18,0.1029,2.02
NAGREEKEXP,2005-12-22,10.9851,0.0
NAGREEKEXP,2007-06-18,0.5697,0.0
NAHARINDUS,2005-12-15,22.8632,0.0
NAHARSPING,2007-03-23,0.5463,0.0
NARMADA,2026-05-18,0.4903,1.21
NBIFIN,2017-05-30,0.485,0.03
NDLVENTURE,2022-11-22,2.3028,
NEULANDLAB,2008-10-13,2.3762,0.0
NIFTYMIDSML400,2015-11-16,0.4358,0.0
NIFTYMIDSML400,2015-11-23,2.3286,0.0
NIITLTD,2023-06-08,0.5562,19.58
NMDC,2022-10-27,1.9556,74.87
