symbol,timeframe,variant,direction,exit_policy,n_signals,mean_net_pts,std_net_pts,median_net_pts,mean_net_pct,std_net_pct,win_rate,avg_win_pct,avg_loss_pct,payoff_ratio,mean_mfe_pct,mean_mae_pct,capture_efficiency,sharpe_score,expectancy_pct
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_2.0R,10,8.32,9.9672,2.425,0.008864,0.010175,90.0,0.9967,-0.1061,9.394,1.8653,1.2783,0.4752,0.78403,0.8864
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_3.0R,10,8.32,9.9672,2.425,0.008864,0.010175,90.0,0.9967,-0.1061,9.394,1.8653,1.2783,0.4752,0.78403,0.8864
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_1.5R,10,8.87,11.0682,2.425,0.009351,0.010965,90.0,1.0508,-0.1061,9.904,1.8516,1.2783,0.505,0.76753,0.9351
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_STEP_TRAIL,10,8.12,10.1194,1.775,0.008561,0.010409,70.0,1.2381,-0.0354,35.007,1.8653,1.2783,0.4589,0.57571,0.8561
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_1.0,10,7.2886,9.4193,4.4596,0.007405,0.01175,80.0,1.1676,-0.968,1.206,1.7852,1.2593,0.4148,0.50417,0.7405
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_1.0,10,7.6019,10.7607,2.425,0.006772,0.013372,80.0,1.1176,-1.0846,1.03,1.8653,1.2593,0.363,0.40514,0.6772
BHARTIARTL,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_2.0R,9,7.3944,14.6716,7.9,0.011858,0.021123,66.67,2.3768,-1.1964,1.987,2.1543,1.2328,0.5504,0.37423,1.1858
BHARTIARTL,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_1.5R,9,5.2861,12.1381,7.9,0.008783,0.01719,66.67,1.9156,-1.1964,1.601,1.7843,1.2328,0.4922,0.34063,0.8783
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_R_TARGET_1.0R,7,3.9714,11.1861,2.6,0.005351,0.011501,71.43,1.0114,-0.6556,1.543,1.3459,1.4043,0.3976,0.33233,0.5351
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_R_TARGET_1.5R,7,6.0,15.7775,2.6,0.007514,0.016378,71.43,1.3142,-0.6556,2.004,1.5615,1.4043,0.4812,0.32771,0.7514
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_HARD_SL,7,6.0929,15.993,2.6,0.007613,0.016607,71.43,1.3281,-0.6556,2.026,1.6171,1.4043,0.4708,0.32745,0.7613
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_R_TARGET_2.0R,7,6.0929,15.993,2.6,0.007613,0.016607,71.43,1.3281,-0.6556,2.026,1.6171,1.4043,0.4708,0.32745,0.7613
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_R_TARGET_3.0R,7,6.0929,15.993,2.6,0.007613,0.016607,71.43,1.3281,-0.6556,2.026,1.6171,1.4043,0.4708,0.32745,0.7613
BHARTIARTL,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_1.0R,9,4.0167,10.259,9.1,0.006828,0.014052,66.67,1.6224,-1.1964,1.356,1.5697,1.2328,0.435,0.32395,0.6828
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_NO,7,5.9357,16.1443,2.6,0.007478,0.016734,71.43,1.3281,-0.7028,1.89,1.6171,1.4233,0.4625,0.31922,0.7478
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_CHANDELIER_1.5,7,5.9357,16.1443,2.6,0.007478,0.016734,71.43,1.3281,-0.7028,1.89,1.6171,1.4233,0.4625,0.31922,0.7478
