variant,phase,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
vol_3x,IS,187,81,106,43.32,21654.0,-8032.0,43.9,2.06,902558.0,11.22,1.18,20.03,0.56,1701002.0
vol_3x,OOS,134,59,75,44.03,12841.0,-5285.0,34.5,1.91,361280.0,10.25,1.04,9.11,1.13,1339413.0
baseline_252_25pct_8pct,IS,225,87,138,38.67,21264.0,-7138.0,46.3,1.88,864938.0,6.83,0.68,22.81,0.3,1390950.0
baseline_252_25pct_8pct,OOS,161,71,90,44.1,13469.0,-5930.0,33.7,1.79,422617.0,11.43,1.07,12.65,0.9,1383006.0
target_30pct,IS,217,86,131,39.63,21558.0,-7105.0,48.9,1.99,923242.0,7.59,0.73,22.29,0.34,1441121.0
target_30pct,OOS,157,69,88,43.95,13274.0,-5854.0,34.5,1.78,400771.0,10.86,1.03,11.62,0.93,1361757.0
