date,SMA100 mkt (Ph09 winner),OFF + trail15,OFF + trail12,OFF + trail10,OFF + perStockSMA100,OFF + perStockSMA + tr12,perStockSMA only (no mkt),SMA100 mkt + perStockSMA,SMA100 mkt + trail12,SMA100 + perStock + tr12
2014,101.6,123.0,123.3,123.6,122.9,123.3,122.9,101.7,102.1,102.1
2015,2.6,-0.2,-0.1,0.1,-1.1,-0.9,-1.1,2.6,2.7,2.7
2016,34.9,4.8,5.0,5.1,3.3,3.4,3.3,35.0,35.0,35.1
2017,63.9,72.1,72.3,72.5,72.6,72.8,72.6,64.4,64.2,64.5
2018,-12.6,-17.7,-17.5,-17.4,-16.4,-16.3,-16.4,-11.8,-12.3,-11.8
2019,9.0,7.3,7.4,7.5,10.4,10.5,10.4,10.2,9.1,10.3
2020,85.6,79.9,80.2,80.4,80.3,80.4,80.3,85.7,85.7,85.7
2021,109.7,125.8,126.2,126.5,125.6,126.0,125.6,107.9,110.2,108.1
2022,15.7,13.0,13.2,13.4,13.6,13.9,13.6,15.9,15.9,16.1
2023,39.9,59.4,59.6,60.0,56.1,56.2,56.1,40.0,40.0,40.0
2024,45.1,50.3,50.6,51.1,50.7,50.9,50.7,45.3,45.4,45.5
2025,-1.8,-17.0,-16.9,-16.8,-17.0,-17.0,-17.0,-0.8,-1.6,-0.8
2026,-0.7,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-0.7,-0.7,-0.7
