,Smooth_ret%,Smooth_maxDD%,MaxRet_ret%,MaxRet_maxDD%,Nifty50%,NiftyMid150%,NiftySmall250%
2014,101.1,0.0,122.5,0.0,31.6,59.4,
2015,2.7,-4.8,7.3,-3.6,-4.3,8.0,
2016,35.1,0.0,18.1,-6.7,4.0,4.4,
2017,64.5,0.0,72.0,0.0,29.9,53.0,
2018,-11.8,-14.5,-9.9,-19.3,4.8,,-27.2
2019,10.3,-9.9,13.9,-5.6,13.6,-0.3,-8.6
2020,85.7,-1.1,108.4,-2.1,15.4,,
2021,108.1,-0.1,129.1,-0.1,26.0,45.1,60.1
2022,16.1,-3.3,27.2,-6.2,5.5,1.8,-4.9
2023,40.0,0.0,70.3,-3.2,21.0,42.7,
2024,45.5,-4.8,63.0,-3.7,10.4,23.1,25.6
2025,-0.8,-9.5,-11.8,-8.8,11.7,4.8,
2026,-0.7,0.0,1.4,0.0,-1.5,,0.3
