config,cagr,post_tax20,maxdd,sharpe,calmar
ref-A BASE SMOOTHEST(allcash),34.2,28.4,-22.2,1.82,1.54
ref-B keep-top8 (holdings-only),33.6,28.3,-20.2,1.71,1.66
V1 cond-refill cap-15,33.8,25.4,-33.8,1.48,1.0
V2 cond-refill cap-12,34.7,27.0,-33.9,1.56,1.02
V3 cond-refill cap-10,34.7,27.9,-33.6,1.6,1.03
