config,q_pos,q_dd,v_mult,regime,cagr,sharpe,maxdd,calmar,dd_improve,cagr_give
BASELINE_rs_alone,-,-,-,-,38.4,1.4,-29.8,1.29,0.0,0.0
q__dd__v__REG,,,,True,34.8,1.51,-26.4,1.32,3.3,-3.6
q__dd__v1.0_nor,,,1.0,False,22.8,0.98,-37.9,0.6,-8.2,-15.6
q__dd__v1.0_REG,,,1.0,True,23.1,1.21,-33.2,0.69,-3.5,-15.3
q__dd__v1.2_nor,,,1.2,False,19.3,0.87,-40.3,0.48,-10.6,-19.1
q__dd__v1.2_REG,,,1.2,True,19.3,1.02,-34.1,0.57,-4.3,-19.1
q__dd-0.5_v__nor,,-0.5,,False,35.2,1.34,-29.8,1.18,-0.0,-3.2
q__dd-0.5_v__REG,,-0.5,,True,32.1,1.5,-26.6,1.21,3.2,-6.3
q__dd-0.5_v1.0_nor,,-0.5,1.0,False,20.1,0.91,-34.2,0.59,-4.4,-18.3
q__dd-0.5_v1.0_REG,,-0.5,1.0,True,21.0,1.18,-31.4,0.67,-1.6,-17.4
q__dd-0.5_v1.2_nor,,-0.5,1.2,False,17.1,0.83,-36.5,0.47,-6.8,-21.3
q__dd-0.5_v1.2_REG,,-0.5,1.2,True,17.4,1.03,-33.6,0.52,-3.8,-21.0
q__dd-0.4_v__nor,,-0.4,,False,31.4,1.22,-27.7,1.13,2.0,-7.0
q__dd-0.4_v__REG,,-0.4,,True,29.1,1.37,-26.3,1.11,3.5,-9.3
q__dd-0.4_v1.0_nor,,-0.4,1.0,False,21.7,0.98,-32.8,0.66,-3.1,-16.7
q__dd-0.4_v1.0_REG,,-0.4,1.0,True,21.2,1.19,-31.0,0.69,-1.2,-17.2
q__dd-0.4_v1.2_nor,,-0.4,1.2,False,19.3,0.9,-33.3,0.58,-3.6,-19.1
q__dd-0.4_v1.2_REG,,-0.4,1.2,True,19.0,1.06,-33.0,0.58,-3.2,-19.4
q0.5_dd__v__nor,0.5,,,False,37.0,1.35,-29.6,1.25,0.1,-1.4
q0.5_dd__v__REG,0.5,,,True,35.3,1.53,-24.6,1.44,5.2,-3.1
q0.5_dd__v1.0_nor,0.5,,1.0,False,23.6,1.03,-34.8,0.68,-5.0,-14.8
q0.5_dd__v1.0_REG,0.5,,1.0,True,23.3,1.26,-31.0,0.75,-1.2,-15.1
q0.5_dd__v1.2_nor,0.5,,1.2,False,20.4,0.91,-41.0,0.5,-11.3,-18.0
q0.5_dd__v1.2_REG,0.5,,1.2,True,20.8,1.08,-35.9,0.58,-6.1,-17.6
q0.5_dd-0.5_v__nor,0.5,-0.5,,False,33.7,1.3,-29.6,1.14,0.1,-4.7
q0.5_dd-0.5_v__REG,0.5,-0.5,,True,32.2,1.52,-23.4,1.37,6.3,-6.2
q0.5_dd-0.5_v1.0_nor,0.5,-0.5,1.0,False,20.2,0.94,-33.3,0.61,-3.6,-18.2
q0.5_dd-0.5_v1.0_REG,0.5,-0.5,1.0,True,20.6,1.2,-29.9,0.69,-0.1,-17.8
q0.5_dd-0.5_v1.2_nor,0.5,-0.5,1.2,False,17.5,0.85,-36.0,0.49,-6.3,-20.9
q0.5_dd-0.5_v1.2_REG,0.5,-0.5,1.2,True,18.9,1.11,-33.2,0.57,-3.5,-19.5
q0.5_dd-0.4_v__nor,0.5,-0.4,,False,30.6,1.21,-27.7,1.1,2.0,-7.8
q0.5_dd-0.4_v__REG,0.5,-0.4,,True,30.6,1.45,-22.5,1.36,7.3,-7.8
q0.5_dd-0.4_v1.0_nor,0.5,-0.4,1.0,False,22.0,1.01,-32.7,0.67,-2.9,-16.4
q0.5_dd-0.4_v1.0_REG,0.5,-0.4,1.0,True,22.2,1.28,-28.9,0.77,0.8,-16.3
q0.5_dd-0.4_v1.2_nor,0.5,-0.4,1.2,False,19.3,0.91,-36.3,0.53,-6.5,-19.1
q0.5_dd-0.4_v1.2_REG,0.5,-0.4,1.2,True,20.0,1.13,-32.3,0.62,-2.5,-18.4
q0.58_dd__v__nor,0.58,,,False,34.6,1.31,-28.9,1.2,0.9,-3.8
q0.58_dd__v__REG,0.58,,,True,33.5,1.51,-24.5,1.37,5.3,-4.9
q0.58_dd__v1.0_nor,0.58,,1.0,False,22.7,1.04,-31.5,0.72,-1.8,-15.7
q0.58_dd__v1.0_REG,0.58,,1.0,True,22.5,1.27,-27.2,0.83,2.6,-15.9
q0.58_dd__v1.2_nor,0.58,,1.2,False,19.1,0.89,-33.5,0.57,-3.7,-19.3
q0.58_dd__v1.2_REG,0.58,,1.2,True,19.5,1.08,-30.4,0.64,-0.6,-19.0
q0.58_dd-0.5_v__nor,0.58,-0.5,,False,32.4,1.27,-28.3,1.14,1.4,-6.0
q0.58_dd-0.5_v__REG,0.58,-0.5,,True,31.2,1.48,-23.8,1.31,6.0,-7.2
q0.58_dd-0.5_v1.0_nor,0.58,-0.5,1.0,False,20.4,0.96,-31.5,0.65,-1.8,-18.0
q0.58_dd-0.5_v1.0_REG,0.58,-0.5,1.0,True,20.6,1.22,-27.0,0.76,2.7,-17.8
q0.58_dd-0.5_v1.2_nor,0.58,-0.5,1.2,False,16.9,0.84,-31.2,0.54,-1.5,-21.5
q0.58_dd-0.5_v1.2_REG,0.58,-0.5,1.2,True,18.2,1.08,-29.1,0.63,0.7,-20.2
q0.58_dd-0.4_v__nor,0.58,-0.4,,False,32.2,1.26,-26.3,1.23,3.5,-6.2
q0.58_dd-0.4_v__REG,0.58,-0.4,,True,30.4,1.45,-23.5,1.29,6.2,-8.0
q0.58_dd-0.4_v1.0_nor,0.58,-0.4,1.0,False,23.0,1.04,-31.5,0.73,-1.8,-15.4
q0.58_dd-0.4_v1.0_REG,0.58,-0.4,1.0,True,21.3,1.27,-27.2,0.78,2.6,-17.1
q0.58_dd-0.4_v1.2_nor,0.58,-0.4,1.2,False,20.5,0.95,-30.0,0.68,-0.3,-17.9
q0.58_dd-0.4_v1.2_REG,0.58,-0.4,1.2,True,18.8,1.11,-30.1,0.62,-0.3,-19.6
