date,OFF,SMA200(base),SMA100,SMA50,cross50/200,DDfrom1yHi>10%,mom3m<0,volspike(ATR),SMA200+vol
2014,133.1,133.1,107.4,108.0,133.1,133.1,107.4,133.1,133.1
2015,13.1,-0.8,3.9,5.8,8.6,7.4,6.3,7.8,-0.8
2016,5.5,22.5,33.8,22.8,21.5,22.3,18.6,4.6,31.3
2017,103.9,82.8,82.8,57.5,100.0,103.9,79.5,99.1,76.8
2018,-2.6,-1.9,-13.0,-8.8,-2.1,-1.9,-14.5,-3.9,-3.9
2019,10.4,2.7,13.7,8.7,1.8,10.2,-6.4,0.6,-6.3
2020,68.7,62.3,79.3,111.7,12.1,14.6,79.3,62.3,62.3
2021,95.2,95.2,79.1,24.7,95.2,95.2,95.5,95.2,95.2
2022,20.4,12.5,23.5,8.4,22.1,7.8,9.8,23.6,12.5
2023,72.9,52.4,43.8,45.6,77.3,72.9,47.2,72.9,52.4
2024,37.7,38.0,31.2,31.2,37.7,37.7,31.2,31.8,32.3
2025,-19.7,1.4,-1.1,2.9,-27.0,-27.6,-1.0,-22.5,-0.3
2026,-1.3,-1.3,-0.3,-0.3,-1.3,-1.3,-0.3,-1.3,-1.3
