date,SMOOTHEST,SMOOTHEST-KT8
2014,102.1,102.1
2015,9.5,10.7
2016,27.8,16.8
2017,64.5,67.1
2018,-11.8,-8.1
2019,10.3,10.3
2020,85.7,58.1
2021,108.1,120.4
2022,16.1,4.6
2023,40.0,49.5
2024,45.5,48.3
2025,-0.8,-12.7
2026,-1.3,-0.8
