system,cagr,post_tax20,maxdd_daily,sharpe,calmar
BASE SMOOTHEST (allcash),34.2,28.4,-22.2,1.82,1.54
SMOOTHEST keep-top8,33.6,28.3,-20.2,1.71,1.66
