config,cagr,post_tax20,maxdd,sharpe,calmar
BASE SMOOTHEST(allcash),35.4,29.1,-22.2,1.87,1.6
A no-regime,36.0,27.3,-37.6,1.49,0.96
B trim-25 (hold 75),36.2,25.3,-30.7,1.65,1.18
B trim-50 (hold 50),36.1,22.0,-26.4,1.78,1.37
C keep-top5,35.5,29.8,-22.2,1.83,1.6
C keep-top8,35.0,29.3,-20.2,1.78,1.73
D perstock-SMA80,35.9,29.4,-22.1,1.89,1.62
D perstock-SMA60,35.8,29.4,-21.5,1.89,1.66
