date,type,ref
2014-01-31,ENTRY,TVSMOTOR
2014-01-31,ENTRY,TATAELXSI
2014-01-31,ENTRY,KRBL
2014-01-31,ENTRY,GRANULES
2014-01-31,ENTRY,PERSISTENT
2014-01-31,ENTRY,PIIND
2014-01-31,ENTRY,FINCABLES
2014-01-31,ENTRY,RADICO
2014-01-31,ENTRY,BALKRISIND
2014-01-31,ENTRY,AJANTPHARM
2014-01-31,ENTRY,COFORGE
2014-01-31,ENTRY,ECLERX
2014-01-31,ENTRY,BAJFINANCE
2014-01-31,ENTRY,EICHERMOT
2014-01-31,ENTRY,APLLTD
2014-02-07,EXIT_REGIME_CHUNK,to_50%
2014-02-14,EXIT_REGIME_CHUNK,to_25%
2014-02-28,EXIT_RS_ROTATION,FINCABLES
2014-02-28,EXIT_RS_ROTATION,RADICO
2014-02-28,EXIT_RS_ROTATION,COFORGE
2014-02-28,EXIT_RS_ROTATION,BAJFINANCE
2014-02-28,ENTRY,NAUKRI
2014-02-28,ENTRY,FSL
2014-02-28,ENTRY,CYIENT
2014-02-28,ENTRY,FINPIPE
2014-03-31,EXIT_TRAIL12,TATAELXSI
2014-03-31,EXIT_PERSTOCK_SMA,ECLERX
2014-03-31,EXIT_TRAIL12,CYIENT
2014-03-31,EXIT_RS_ROTATION,GRANULES
2014-03-31,EXIT_RS_ROTATION,PERSISTENT
2014-03-31,EXIT_RS_ROTATION,AJANTPHARM
2014-03-31,EXIT_RS_ROTATION,FSL
2014-03-31,ENTRY,CEATLTD
2014-03-31,ENTRY,SRF
2014-03-31,ENTRY,VIPIND
2014-03-31,ENTRY,FINCABLES
2014-03-31,ENTRY,GPPL
2014-03-31,ENTRY,BAJAJELEC
2014-03-31,ENTRY,JKTYRE
2014-04-30,EXIT_TRAIL12,CEATLTD
2014-04-30,EXIT_TRAIL12,VIPIND
2014-04-30,EXIT_RS_ROTATION,PIIND
2014-04-30,ENTRY,BEML
2014-04-30,ENTRY,GRANULES
2014-04-30,ENTRY,KEC
2014-05-30,EXIT_PERSTOCK_SMA,APLLTD
2014-05-30,EXIT_TRAIL12,BAJAJELEC
2014-05-30,EXIT_RS_ROTATION,EICHERMOT
2014-05-30,EXIT_RS_ROTATION,NAUKRI
2014-05-30,EXIT_RS_ROTATION,FINPIPE
2014-05-30,EXIT_RS_ROTATION,JKTYRE
2014-05-30,ENTRY,JKLAKSHMI
2014-05-30,ENTRY,NCC
2014-05-30,ENTRY,ASHOKLEY
2014-05-30,ENTRY,IOC
2014-05-30,ENTRY,WABAG
2014-05-30,ENTRY,KAJARIACER
2014-06-30,EXIT_TRAIL12,JKLAKSHMI
2014-06-30,EXIT_RS_ROTATION,ASHOKLEY
2014-06-30,EXIT_RS_ROTATION,IOC
2014-06-30,EXIT_RS_ROTATION,KAJARIACER
2014-06-30,ENTRY,NBCC
2014-06-30,ENTRY,KPIL
2014-06-30,ENTRY,ENGINERSIN
2014-06-30,ENTRY,INDIACEM
2014-07-31,EXIT_TRAIL12,TVSMOTOR
2014-07-31,EXIT_TRAIL12,BEML
2014-07-31,EXIT_TRAIL12,KEC
2014-07-31,EXIT_TRAIL12,KPIL
2014-07-31,EXIT_TRAIL12,ENGINERSIN
2014-07-31,EXIT_TRAIL12,INDIACEM
2014-07-31,EXIT_RS_ROTATION,NCC
2014-07-31,ENTRY,JKLAKSHMI
2014-07-31,ENTRY,ATUL
2014-07-31,ENTRY,JKTYRE
2014-07-31,ENTRY,SAMMAANCAP
2014-07-31,ENTRY,BLUESTARCO
2014-07-31,ENTRY,KAJARIACER
2014-07-31,ENTRY,SONATSOFTW
2014-08-28,EXIT_TRAIL12,JKTYRE
2014-08-28,EXIT_RS_ROTATION,BALKRISIND
2014-08-28,EXIT_RS_ROTATION,NBCC
2014-08-28,ENTRY,PFS
2014-08-28,ENTRY,DCMSHRIRAM
2014-08-28,ENTRY,JKCEMENT
2014-09-30,EXIT_RS_ROTATION,KRBL
2014-09-30,EXIT_RS_ROTATION,FINCABLES
2014-09-30,EXIT_RS_ROTATION,SAMMAANCAP
2014-09-30,EXIT_RS_ROTATION,BLUESTARCO
2014-09-30,EXIT_RS_ROTATION,KAJARIACER
2014-09-30,ENTRY,CENTURYPLY
2014-09-30,ENTRY,NBCC
2014-09-30,ENTRY,ORIENTCEM
2014-09-30,ENTRY,JKTYRE
2014-09-30,ENTRY,PCJEWELLER
2014-10-31,EXIT_TRAIL12,GRANULES
2014-10-31,EXIT_TRAIL12,ATUL
2014-10-31,EXIT_RS_ROTATION,GPPL
2014-10-31,EXIT_RS_ROTATION,ORIENTCEM
2014-10-31,ENTRY,CCL
2014-10-31,ENTRY,WHIRLPOOL
2014-10-31,ENTRY,GSFC
2014-10-31,ENTRY,SUNDRMFAST
2014-11-28,EXIT_PERSTOCK_SMA,DCMSHRIRAM
2014-11-28,EXIT_TRAIL12,GSFC
2014-11-28,EXIT_RS_ROTATION,WABAG
2014-11-28,EXIT_RS_ROTATION,NBCC
2014-11-28,EXIT_RS_ROTATION,JKTYRE
2014-11-28,ENTRY,AJANTPHARM
2014-11-28,ENTRY,EICHERMOT
2014-11-28,ENTRY,TIMKEN
2014-11-28,ENTRY,VGUARD
2014-11-28,ENTRY,STAR
2014-12-31,EXIT_TRAIL12,SONATSOFTW
2014-12-31,EXIT_TRAIL12,PCJEWELLER
2014-12-31,EXIT_TRAIL12,AJANTPHARM
2014-12-31,EXIT_RS_ROTATION,SRF
2014-12-31,ENTRY,IFBIND
2014-12-31,ENTRY,KITEX
2014-12-31,ENTRY,BRITANNIA
2014-12-31,ENTRY,BAYERCROP
2015-01-30,EXIT_TRAIL12,PFS
2015-01-30,EXIT_TRAIL12,VGUARD
2015-01-30,EXIT_RS_ROTATION,JKLAKSHMI
2015-01-30,ENTRY,PCJEWELLER
2015-01-30,ENTRY,GULFOILLUB
2015-01-30,ENTRY,BEL
2015-02-28,EXIT_PERSTOCK_SMA,SUNDRMFAST
2015-02-28,EXIT_PERSTOCK_SMA,KITEX
2015-03-27,EXIT_REGIME_CHUNK,to_75%
2015-03-31,EXIT_TRAIL12,BEL
2015-03-31,EXIT_RS_ROTATION,JKCEMENT
2015-03-31,EXIT_RS_ROTATION,EICHERMOT
2015-03-31,EXIT_RS_ROTATION,STAR
2015-03-31,EXIT_RS_ROTATION,BAYERCROP
2015-03-31,EXIT_RS_ROTATION,PCJEWELLER
2015-03-31,EXIT_RS_ROTATION,GULFOILLUB
2015-03-31,ENTRY,NCC
2015-03-31,ENTRY,BEML
2015-03-31,ENTRY,CENTRALBK
2015-03-31,ENTRY,AJANTPHARM
2015-03-31,ENTRY,BAJAJCON
2015-03-31,ENTRY,JSWENERGY
2015-03-31,ENTRY,PAGEIND
2015-03-31,ENTRY,PIDILITIND
2015-03-31,ENTRY,GPPL
2015-04-01,EXIT_REGIME_CHUNK,to_50%
2015-04-30,EXIT_TRAIL12,CENTURYPLY
2015-04-30,EXIT_TRAIL12,IFBIND
2015-04-30,EXIT_TRAIL12,NCC
2015-04-30,EXIT_TRAIL12,BEML
2015-04-30,EXIT_TRAIL12,GPPL
2015-04-30,EXIT_RS_ROTATION,CCL
2015-04-30,EXIT_RS_ROTATION,WHIRLPOOL
2015-04-30,EXIT_RS_ROTATION,AJANTPHARM
2015-04-30,EXIT_RS_ROTATION,JSWENERGY
2015-04-30,ENTRY,KITEX
2015-04-30,ENTRY,BAYERCROP
2015-04-30,ENTRY,ZFCVINDIA
2015-04-30,ENTRY,CONCOR
2015-04-30,ENTRY,PCJEWELLER
2015-04-30,ENTRY,PIIND
2015-04-30,ENTRY,BAJAJFINSV
2015-04-30,ENTRY,DCBBANK
2015-04-30,ENTRY,KPIL
2015-05-08,EXIT_REGIME_CHUNK,to_25%
2015-05-15,EXIT_REGIME_CHUNK,to_0%
2015-07-31,ENTRY,CHENNPETRO
2015-07-31,ENTRY,NILKAMAL
2015-07-31,ENTRY,AEGISLOG
2015-07-31,ENTRY,PCJEWELLER
2015-07-31,ENTRY,ELECON
2015-07-31,ENTRY,APLLTD
2015-07-31,ENTRY,BRITANNIA
2015-07-31,ENTRY,FORTIS
2015-07-31,ENTRY,AJANTPHARM
2015-07-31,ENTRY,GILLETTE
2015-07-31,ENTRY,SRF
2015-07-31,ENTRY,EMAMILTD
2015-07-31,ENTRY,CCL
2015-07-31,ENTRY,GRANULES
2015-07-31,ENTRY,KRBL
2015-08-21,EXIT_REGIME_CHUNK,to_75%
2015-08-28,EXIT_REGIME_CHUNK,to_50%
2015-08-31,EXIT_TRAIL12,NILKAMAL
2015-08-31,EXIT_TRAIL12,PCJEWELLER
2015-08-31,EXIT_PERSTOCK_SMA,ELECON
2015-08-31,EXIT_TRAIL12,BRITANNIA
2015-08-31,EXIT_PERSTOCK_SMA,FORTIS
2015-08-31,EXIT_TRAIL12,AJANTPHARM
2015-08-31,EXIT_TRAIL12,SRF
2015-08-31,EXIT_PERSTOCK_SMA,KRBL
2015-08-31,EXIT_RS_ROTATION,AEGISLOG
2015-08-31,EXIT_RS_ROTATION,EMAMILTD
2015-08-31,ENTRY,TORNTPHARM
2015-08-31,ENTRY,JBCHEPHARM
2015-08-31,ENTRY,ESCORTS
2015-08-31,ENTRY,CANFINHOME
2015-08-31,ENTRY,OFSS
2015-08-31,ENTRY,ZFCVINDIA
2015-08-31,ENTRY,CUMMINSIND
2015-08-31,ENTRY,BAJAJHLDNG
2015-08-31,ENTRY,GSPL
2015-08-31,ENTRY,KANSAINER
2015-09-04,EXIT_REGIME_CHUNK,to_25%
2015-09-11,EXIT_REGIME_CHUNK,to_0%
2015-10-30,ENTRY,INTELLECT
2015-10-30,ENTRY,GRANULES
2015-10-30,ENTRY,COFORGE
2015-10-30,ENTRY,AEGISLOG
2015-10-30,ENTRY,ATUL
2015-10-30,ENTRY,SRF
2015-10-30,ENTRY,GODREJPROP
2015-10-30,ENTRY,PCJEWELLER
2015-10-30,ENTRY,ZENSARTECH
2015-10-30,ENTRY,BAJAJFINSV
2015-10-30,ENTRY,CANFINHOME
2015-10-30,ENTRY,JBCHEPHARM
2015-10-30,ENTRY,TORNTPHARM
2015-10-30,ENTRY,BAJAJHLDNG
2015-10-30,ENTRY,JYOTHYLAB
2015-11-06,EXIT_REGIME_CHUNK,to_50%
2015-11-13,EXIT_REGIME_CHUNK,to_25%
2015-11-20,EXIT_REGIME_CHUNK,to_0%
2016-03-31,ENTRY,BALRAMCHIN
2016-03-31,ENTRY,ALANKIT
2016-03-31,ENTRY,PETRONET
2016-03-31,ENTRY,KRBL
2016-03-31,ENTRY,MFSL
2016-03-31,ENTRY,TORNTPOWER
2016-03-31,ENTRY,HINDZINC
2016-03-31,ENTRY,CANFINHOME
2016-03-31,ENTRY,IGL
2016-03-31,ENTRY,MPHASIS
2016-03-31,ENTRY,GSPL
2016-03-31,ENTRY,RAMCOCEM
2016-03-31,ENTRY,KAJARIACER
2016-03-31,ENTRY,SYNGENE
2016-03-31,ENTRY,KANSAINER
2016-04-29,EXIT_RS_ROTATION,PETRONET
2016-04-29,EXIT_RS_ROTATION,MPHASIS
2016-04-29,EXIT_RS_ROTATION,GSPL
2016-04-29,EXIT_RS_ROTATION,SYNGENE
2016-04-29,ENTRY,TVTODAY
2016-04-29,ENTRY,JAMNAAUTO
2016-04-29,ENTRY,BIOCON
2016-04-29,ENTRY,FSL
2016-05-31,EXIT_PERSTOCK_SMA,TORNTPOWER
2016-05-31,EXIT_PERSTOCK_SMA,TVTODAY
2016-05-31,EXIT_RS_ROTATION,HINDZINC
2016-05-31,EXIT_RS_ROTATION,IGL
2016-05-31,EXIT_RS_ROTATION,FSL
2016-05-31,ENTRY,MANAPPURAM
2016-05-31,ENTRY,SUPREMEIND
2016-05-31,ENTRY,RUSHIL
2016-05-31,ENTRY,PIDILITIND
2016-05-31,ENTRY,CUB
2016-06-30,EXIT_RS_ROTATION,ALANKIT
2016-06-30,EXIT_RS_ROTATION,CANFINHOME
2016-06-30,EXIT_RS_ROTATION,KANSAINER
2016-06-30,ENTRY,BODALCHEM
2016-06-30,ENTRY,MUTHOOTFIN
2016-06-30,ENTRY,CENTRALBK
2016-07-29,EXIT_TRAIL12,KRBL
2016-07-29,EXIT_TRAIL12,RUSHIL
2016-07-29,EXIT_RS_ROTATION,KAJARIACER
2016-07-29,EXIT_RS_ROTATION,SUPREMEIND
2016-07-29,EXIT_RS_ROTATION,PIDILITIND
2016-07-29,EXIT_RS_ROTATION,CENTRALBK
2016-07-29,ENTRY,ESCORTS
2016-07-29,ENTRY,GHCL
2016-07-29,ENTRY,CENTURYPLY
2016-07-29,ENTRY,SHREECEM
2016-07-29,ENTRY,KTKBANK
2016-07-29,ENTRY,LTF
2016-08-31,EXIT_PERSTOCK_SMA,BALRAMCHIN
2016-08-31,EXIT_RS_ROTATION,CUB
2016-08-31,EXIT_RS_ROTATION,CENTURYPLY
2016-08-31,ENTRY,DELTACORP
2016-08-31,ENTRY,EDELWEISS
2016-08-31,ENTRY,BAJAJFINSV
2016-09-30,EXIT_TRAIL12,MUTHOOTFIN
2016-09-30,EXIT_RS_ROTATION,JAMNAAUTO
2016-09-30,EXIT_RS_ROTATION,BIOCON
2016-09-30,EXIT_RS_ROTATION,SHREECEM
2016-09-30,EXIT_RS_ROTATION,KTKBANK
2016-09-30,EXIT_RS_ROTATION,LTF
2016-09-30,ENTRY,GNFC
2016-09-30,ENTRY,RUSHIL
2016-09-30,ENTRY,HSCL
2016-09-30,ENTRY,JKTYRE
2016-09-30,ENTRY,PVRINOX
2016-09-30,ENTRY,IDFCFIRSTB
2016-11-04,EXIT_REGIME_CHUNK,to_75%
2016-11-11,EXIT_REGIME_CHUNK,to_50%
2016-11-18,EXIT_REGIME_CHUNK,to_25%
2016-11-25,EXIT_REGIME_CHUNK,to_0%
2017-01-31,ENTRY,RUSHIL
2017-01-31,ENTRY,SUNDRMFAST
2017-01-31,ENTRY,JKPAPER
2017-01-31,ENTRY,MGL
2017-01-31,ENTRY,ADANIENSOL
2017-01-31,ENTRY,NATIONALUM
2017-01-31,ENTRY,NILKAMAL
2017-01-31,ENTRY,KRBL
2017-01-31,ENTRY,INDIANB
2017-01-31,ENTRY,GUJALKALI
2017-01-31,ENTRY,CANFINHOME
2017-01-31,ENTRY,THYROCARE
2017-01-31,ENTRY,AIAENG
2017-01-31,ENTRY,CHAMBLFERT
2017-01-31,ENTRY,RAMCOCEM
2017-02-28,EXIT_RS_ROTATION,SUNDRMFAST
2017-02-28,EXIT_RS_ROTATION,NATIONALUM
2017-02-28,EXIT_RS_ROTATION,GUJALKALI
2017-02-28,EXIT_RS_ROTATION,THYROCARE
2017-02-28,EXIT_RS_ROTATION,AIAENG
2017-02-28,EXIT_RS_ROTATION,RAMCOCEM
2017-02-28,ENTRY,GNFC
2017-02-28,ENTRY,GSFC
2017-02-28,ENTRY,BALKRISIND
2017-02-28,ENTRY,BALRAMCHIN
2017-02-28,ENTRY,RAYMOND
2017-02-28,ENTRY,AEGISLOG
2017-03-31,EXIT_PERSTOCK_SMA,RUSHIL
2017-03-31,EXIT_RS_ROTATION,MGL
2017-03-31,EXIT_RS_ROTATION,INDIANB
2017-03-31,EXIT_RS_ROTATION,CANFINHOME
2017-03-31,EXIT_RS_ROTATION,BALKRISIND
2017-03-31,EXIT_RS_ROTATION,RAYMOND
2017-03-31,EXIT_RS_ROTATION,AEGISLOG
2017-03-31,ENTRY,RCF
2017-03-31,ENTRY,KEC
2017-03-31,ENTRY,NATIONALUM
2017-03-31,ENTRY,DBL
2017-03-31,ENTRY,VIPIND
2017-03-31,ENTRY,NATCOPHARM
2017-03-31,ENTRY,MOTILALOFS
2017-04-28,EXIT_TRAIL12,ADANIENSOL
2017-04-28,EXIT_PERSTOCK_SMA,NATIONALUM
2017-04-28,EXIT_RS_ROTATION,JKPAPER
2017-04-28,EXIT_RS_ROTATION,NILKAMAL
2017-04-28,EXIT_RS_ROTATION,KRBL
2017-04-28,EXIT_RS_ROTATION,GSFC
2017-04-28,ENTRY,RAIN
2017-04-28,ENTRY,CESC
2017-04-28,ENTRY,BEML
2017-04-28,ENTRY,INDIANB
2017-04-28,ENTRY,IIFL
2017-04-28,ENTRY,MRPL
2017-05-31,EXIT_TRAIL12,RAIN
2017-05-31,EXIT_PERSTOCK_SMA,BEML
2017-05-31,EXIT_TRAIL12,INDIANB
2017-05-31,EXIT_RS_ROTATION,BALRAMCHIN
2017-05-31,EXIT_RS_ROTATION,DBL
2017-05-31,EXIT_RS_ROTATION,VIPIND
2017-05-31,EXIT_RS_ROTATION,MRPL
2017-05-31,ENTRY,ADANIENSOL
2017-05-31,ENTRY,EDELWEISS
2017-05-31,ENTRY,DCBBANK
2017-05-31,ENTRY,JMFINANCIL
2017-05-31,ENTRY,CANFINHOME
2017-05-31,ENTRY,GODREJPROP
2017-05-31,ENTRY,COROMANDEL
2017-06-30,EXIT_PERSTOCK_SMA,GNFC
2017-06-30,EXIT_PERSTOCK_SMA,RCF
2017-06-30,EXIT_PERSTOCK_SMA,CESC
2017-06-30,EXIT_RS_ROTATION,MOTILALOFS
2017-06-30,EXIT_RS_ROTATION,COROMANDEL
2017-06-30,ENTRY,HSCL
2017-06-30,ENTRY,RAIN
2017-06-30,ENTRY,PNBHOUSING
2017-06-30,ENTRY,KARURVYSYA
2017-06-30,ENTRY,CENTURYPLY
2017-07-31,EXIT_RS_ROTATION,NATCOPHARM
2017-07-31,EXIT_RS_ROTATION,HSCL
2017-07-31,EXIT_RS_ROTATION,PNBHOUSING
2017-07-31,ENTRY,DBL
2017-07-31,ENTRY,PRESTIGE
2017-07-31,ENTRY,RAYMOND
2017-08-31,EXIT_PERSTOCK_SMA,DCBBANK
2017-08-31,EXIT_PERSTOCK_SMA,CANFINHOME
2017-08-31,EXIT_PERSTOCK_SMA,CENTURYPLY
2017-08-31,EXIT_RS_ROTATION,RAIN
2017-08-31,EXIT_RS_ROTATION,RAYMOND
2017-08-31,ENTRY,HSCL
2017-08-31,ENTRY,PCJEWELLER
2017-08-31,ENTRY,MOTILALOFS
2017-08-31,ENTRY,RCF
2017-08-31,ENTRY,PNBHOUSING
2017-09-29,EXIT_TRAIL12,IIFL
2017-09-29,EXIT_PERSTOCK_SMA,RCF
2017-09-29,EXIT_PERSTOCK_SMA,PNBHOUSING
2017-09-29,EXIT_RS_ROTATION,KARURVYSYA
2017-09-29,EXIT_RS_ROTATION,PRESTIGE
2017-09-29,EXIT_RS_ROTATION,PCJEWELLER
2017-09-29,ENTRY,AVANTIFEED
2017-09-29,ENTRY,SHAKTIPUMP
2017-09-29,ENTRY,SHANKARA
2017-09-29,ENTRY,ITI
2017-09-29,ENTRY,KEI
2017-09-29,ENTRY,RAIN
2017-10-31,EXIT_PERSTOCK_SMA,SHAKTIPUMP
2017-10-31,EXIT_RS_ROTATION,CHAMBLFERT
2017-10-31,EXIT_RS_ROTATION,KEC
2017-10-31,EXIT_RS_ROTATION,ADANIENSOL
2017-10-31,EXIT_RS_ROTATION,JMFINANCIL
2017-10-31,EXIT_RS_ROTATION,GODREJPROP
2017-10-31,ENTRY,GRAPHITE
2017-10-31,ENTRY,DEEPAKFERT
2017-10-31,ENTRY,GNFC
2017-10-31,ENTRY,RADICO
2017-10-31,ENTRY,MOIL
2017-10-31,ENTRY,JINDALSAW
2017-11-30,EXIT_TRAIL12,MOTILALOFS
2017-11-30,EXIT_TRAIL12,DEEPAKFERT
2017-11-30,EXIT_TRAIL12,GNFC
2017-11-30,EXIT_RS_ROTATION,EDELWEISS
2017-11-30,EXIT_RS_ROTATION,ITI
2017-11-30,EXIT_RS_ROTATION,RAIN
2017-11-30,ENTRY,VIPIND
2017-11-30,ENTRY,SOBHA
2017-11-30,ENTRY,TORNTPOWER
2017-11-30,ENTRY,PCJEWELLER
2017-11-30,ENTRY,ENDURANCE
2017-11-30,ENTRY,PAGEIND
2017-12-29,EXIT_TRAIL12,HSCL
2017-12-29,EXIT_TRAIL12,AVANTIFEED
2017-12-29,EXIT_TRAIL12,SHANKARA
2017-12-29,EXIT_RS_ROTATION,MOIL
2017-12-29,EXIT_RS_ROTATION,PCJEWELLER
2017-12-29,ENTRY,HEG
2017-12-29,ENTRY,RAIN
2017-12-29,ENTRY,SAREGAMA
2017-12-29,ENTRY,GNFC
2017-12-29,ENTRY,JINDWORLD
2018-01-31,EXIT_TRAIL12,GRAPHITE
2018-01-31,EXIT_TRAIL12,RADICO
2018-01-31,EXIT_TRAIL12,JINDALSAW
2018-01-31,EXIT_TRAIL12,ENDURANCE
2018-01-31,EXIT_PERSTOCK_SMA,PAGEIND
2018-01-31,EXIT_TRAIL12,RAIN
2018-01-31,EXIT_TRAIL12,SAREGAMA
2018-01-31,EXIT_TRAIL12,GNFC
2018-01-31,EXIT_RS_ROTATION,DBL
2018-01-31,EXIT_RS_ROTATION,HEG
2018-01-31,ENTRY,HSCL
2018-01-31,ENTRY,BIOCON
2018-01-31,ENTRY,BSOFT
2018-01-31,ENTRY,COFORGE
2018-01-31,ENTRY,GODREJPROP
2018-01-31,ENTRY,DCMSHRIRAM
2018-01-31,ENTRY,BALKRISIND
2018-01-31,ENTRY,OBEROIRLTY
2018-01-31,ENTRY,UBL
2018-01-31,ENTRY,RAYMOND
2018-02-28,EXIT_PERSTOCK_SMA,TORNTPOWER
2018-02-28,EXIT_PERSTOCK_SMA,HSCL
2018-02-28,EXIT_PERSTOCK_SMA,RAYMOND
2018-02-28,EXIT_RS_ROTATION,SOBHA
2018-02-28,EXIT_RS_ROTATION,GODREJPROP
2018-02-28,EXIT_RS_ROTATION,BALKRISIND
2018-02-28,EXIT_RS_ROTATION,OBEROIRLTY
2018-02-28,EXIT_RS_ROTATION,UBL
2018-02-28,ENTRY,DBL
2018-02-28,ENTRY,JAMNAAUTO
2018-02-28,ENTRY,BAJAJELEC
2018-02-28,ENTRY,NCC
2018-02-28,ENTRY,MPHASIS
2018-02-28,ENTRY,CENTURYPLY
2018-02-28,ENTRY,ENDURANCE
2018-02-28,ENTRY,KEC
2018-03-09,EXIT_REGIME_CHUNK,to_75%
2018-03-16,EXIT_REGIME_CHUNK,to_50%
2018-03-23,EXIT_REGIME_CHUNK,to_25%
2018-03-28,EXIT_REGIME_CHUNK,to_0%
2018-04-30,ENTRY,RADICO
2018-04-30,ENTRY,SONATSOFTW
2018-04-30,ENTRY,COFORGE
2018-04-30,ENTRY,BSOFT
2018-04-30,ENTRY,BAJAJELEC
2018-04-30,ENTRY,BIOCON
2018-04-30,ENTRY,FSL
2018-04-30,ENTRY,SHAKTIPUMP
2018-04-30,ENTRY,MPHASIS
2018-04-30,ENTRY,JAMNAAUTO
2018-04-30,ENTRY,VIPIND
2018-04-30,ENTRY,BALKRISIND
2018-04-30,ENTRY,TATAELXSI
2018-04-30,ENTRY,CYIENT
2018-04-30,ENTRY,PIDILITIND
2018-05-31,EXIT_PERSTOCK_SMA,BAJAJELEC
2018-05-31,EXIT_PERSTOCK_SMA,SHAKTIPUMP
2018-05-31,EXIT_PERSTOCK_SMA,BALKRISIND
2018-05-31,EXIT_TRAIL12,CYIENT
2018-05-31,ENTRY,MCX
2018-05-31,ENTRY,LTIM
2018-05-31,ENTRY,SUNDRMFAST
2018-05-31,ENTRY,EXIDEIND
2018-06-29,EXIT_TRAIL12,RADICO
2018-06-29,EXIT_PERSTOCK_SMA,SONATSOFTW
2018-06-29,EXIT_PERSTOCK_SMA,BIOCON
2018-06-29,EXIT_TRAIL12,FSL
2018-06-29,EXIT_PERSTOCK_SMA,JAMNAAUTO
2018-06-29,EXIT_PERSTOCK_SMA,MCX
2018-06-29,EXIT_RS_ROTATION,COFORGE
2018-06-29,EXIT_RS_ROTATION,TATAELXSI
2018-06-29,EXIT_RS_ROTATION,PIDILITIND
2018-06-29,ENTRY,BRITANNIA
2018-06-29,ENTRY,LUXIND
2018-06-29,ENTRY,NESTLEIND
2018-06-29,ENTRY,GODREJCP
2018-06-29,ENTRY,PAGEIND
2018-06-29,ENTRY,BATAINDIA
2018-06-29,ENTRY,DABUR
2018-06-29,ENTRY,COLPAL
2018-06-29,ENTRY,RBLBANK
2018-07-31,EXIT_RS_ROTATION,LUXIND
2018-07-31,EXIT_RS_ROTATION,COLPAL
2018-07-31,EXIT_RS_ROTATION,RBLBANK
2018-07-31,ENTRY,RADICO
2018-07-31,ENTRY,BERGEPAINT
2018-07-31,ENTRY,PIDILITIND
2018-08-31,EXIT_RS_ROTATION,SUNDRMFAST
2018-08-31,ENTRY,FSL
2018-09-28,EXIT_REGIME_CHUNK,to_75%
2018-09-28,EXIT_PERSTOCK_SMA,BSOFT
2018-09-28,EXIT_PERSTOCK_SMA,VIPIND
