date,base (no ATH layer),+ATH<=10% entry,+20% trail exit,+ATH entry +trail
2014,107.4,101.6,107.5,101.7
2015,3.9,2.6,3.9,2.6
2016,33.8,34.9,33.9,35.0
2017,82.8,63.9,82.8,63.9
2018,-13.0,-12.6,-13.0,-12.6
2019,13.7,9.0,13.7,9.0
2020,79.3,85.6,79.4,85.6
2021,79.1,109.7,79.1,109.9
2022,23.5,15.7,23.9,15.7
2023,43.8,39.9,43.8,39.9
2024,31.2,45.1,31.2,45.1
2025,-1.1,-1.8,-0.7,-1.7
2026,-0.3,-0.7,-0.5,-0.7
