config,q,dd,regime,cagr,sharpe,maxdd,calmar
SMALL_baseline,,,False,39.5,1.28,-41.5,0.95
q__dd__REG,,,True,34.9,1.53,-35.7,0.98
q__dd-0.5_nor,,-0.5,False,36.1,1.22,-38.0,0.95
q__dd-0.5_REG,,-0.5,True,32.7,1.44,-32.4,1.01
q__dd-0.4_nor,,-0.4,False,34.7,1.21,-35.6,0.97
q__dd-0.4_REG,,-0.4,True,33.9,1.52,-28.8,1.18
q0.5_dd__nor,0.5,,False,38.9,1.29,-39.7,0.98
q0.5_dd__REG,0.5,,True,36.1,1.57,-33.4,1.08
q0.5_dd-0.5_nor,0.5,-0.5,False,37.6,1.26,-37.7,1.0
q0.5_dd-0.5_REG,0.5,-0.5,True,33.6,1.46,-32.6,1.03
q0.5_dd-0.4_nor,0.5,-0.4,False,37.7,1.29,-35.9,1.05
q0.5_dd-0.4_REG,0.5,-0.4,True,35.9,1.56,-28.2,1.27
q0.58_dd__nor,0.58,,False,36.9,1.27,-40.6,0.91
q0.58_dd__REG,0.58,,True,34.6,1.57,-37.4,0.93
q0.58_dd-0.5_nor,0.58,-0.5,False,37.0,1.26,-39.5,0.94
q0.58_dd-0.5_REG,0.58,-0.5,True,33.9,1.52,-35.5,0.95
q0.58_dd-0.4_nor,0.58,-0.4,False,36.7,1.28,-34.7,1.06
q0.58_dd-0.4_REG,0.58,-0.4,True,36.2,1.55,-31.6,1.15
