config,cagr,post_tax20,maxdd,sharpe,calmar
SMOOTHEST (cash) ref,35.6,29.2,-15.1,1.79,2.36
MAX-RETURN (short) ref,29.7,21.5,-26.9,1.33,1.1
PUT ATM ivx1.0,33.4,24.9,-27.4,1.42,1.22
PUT ATM ivx1.15,32.1,23.7,-28.1,1.37,1.14
PUT ATM ivx1.3,30.8,22.6,-28.8,1.32,1.07
PUT 5%OTM ivx1.0,33.8,25.3,-27.5,1.39,1.23
PUT 5%OTM ivx1.15,33.1,24.7,-27.8,1.37,1.19
PUT 5%OTM ivx1.3,32.3,24.0,-28.2,1.34,1.15
