inflow,outflow,twr,xirr,xirr_posttax,dailyDD,final
C1,W1,33.5,32.1,26.5,-20.2,46.8
C1,W2,33.5,32.1,26.5,-20.2,46.74
C1,W3,33.5,32.1,26.5,-20.2,46.71
C1,W4,33.5,32.1,26.5,-20.2,46.74
C2,W1,33.5,32.2,26.8,-20.2,46.86
C2,W2,33.5,32.1,26.8,-20.2,46.8
C2,W3,33.5,32.1,26.8,-20.2,46.77
C2,W4,33.5,32.1,26.8,-20.2,46.8
C3,W1,33.6,32.2,26.9,-20.2,47.17
C3,W2,33.6,32.2,26.8,-20.2,47.11
C3,W3,33.6,32.2,26.8,-20.2,47.07
C3,W4,33.6,32.2,26.8,-20.2,47.11
C4,W1,33.5,32.2,26.8,-20.2,46.87
C4,W2,33.5,32.1,26.8,-20.2,46.81
C4,W3,33.5,32.1,26.8,-20.2,46.77
C4,W4,33.5,32.1,26.8,-20.2,46.81
C5,W1,33.5,32.2,26.8,-20.2,46.98
C5,W2,33.5,32.2,26.8,-20.2,46.92
C5,W3,33.5,32.2,26.8,-20.2,46.89
C5,W4,33.5,32.2,26.8,-20.2,46.92
