,SMOOTHEST,SMOOTHEST-KT8,MAX-RETURN,FORTIFIED,Nifty 50
2014,101.1,101.1,122.5,123.3,31.6
2015,2.7,3.7,7.3,3.9,-4.3
2016,35.1,35.1,18.1,15.8,4.0
2017,64.5,64.5,72.0,72.8,29.9
2018,-11.8,-5.0,-9.9,-7.9,4.8
2019,10.3,9.3,13.9,17.4,13.6
2020,85.7,58.0,108.4,109.6,15.4
2021,108.1,120.4,129.1,129.6,26.0
2022,16.1,7.6,27.2,29.0,5.5
2023,40.0,48.2,70.3,67.1,21.0
2024,45.5,43.5,63.0,63.9,10.4
2025,-0.8,-1.8,-11.8,-11.4,11.7
2026,-0.7,-1.1,1.4,0.9,-1.5
