,COMBINED_ret%,COMBINED_maxDD%
2014,123.3,0.0
2015,3.9,-3.8
2016,15.8,-7.2
2017,72.8,0.0
2018,-7.9,-19.1
2019,17.4,-5.5
2020,109.6,-1.7
2021,129.6,-0.1
2022,29.0,-5.6
2023,67.1,-3.0
2024,63.9,-3.6
2025,-11.4,-8.7
2026,0.9,0.0
