date,FORTIFIED-B R-M,FORTIFIED-B R-W,FORTIFIED-B H-M,FORTIFIED-B H-W
2014,129.3,119.8,150.2,98.8
2015,4.5,-0.2,-0.6,-7.6
2016,-2.4,-4.2,4.8,-0.5
2017,71.8,70.8,69.4,56.5
2018,-9.2,-8.5,-3.8,-13.1
2019,10.2,8.4,22.7,8.7
2020,60.9,82.4,51.8,69.8
2021,138.8,129.9,126.4,130.3
2022,-0.7,-12.8,7.5,-2.8
2023,60.2,72.0,62.6,71.6
2024,52.4,26.2,41.1,36.6
2025,-19.7,-0.6,-21.4,1.9
2026,0.0,-0.2,-0.4,-1.3
