year,cum,L_picked,yr_ret%
2019,1.15041304211586,120d,15.041304211586004
2020,1.8818948526685464,126d_6m,63.584276583594026
2021,3.516263702314354,126d_6m,86.84698017682845
2022,4.442113848879597,126d_6m,26.33050945399407
2023,8.110512227280733,120d,82.58226833439647
2024,9.508357549558314,120d,17.234981997508747
2025,9.801391554581265,120d,3.081857234497498
2026,9.85296348042915,120d,0.526169427684775
