,close
2024-01-01,21934.7
2024-01-02,21865.25
2024-01-03,21771.4
2024-01-04,21934.4
2024-01-05,21974.6
2024-01-08,21770.75
2024-01-09,21815.15
2024-01-10,21885.8
2024-01-11,21942.15
2024-01-12,22159.25
2024-01-15,22338.75
2024-01-16,22274.6
2024-01-17,21839.95
2024-01-18,21730.1
2024-01-19,21916.0
2024-01-20,21880.5
2024-01-23,21506.8
2024-01-24,21746.0
2024-01-25,21666.5
2024-01-29,22041.6
2024-01-30,21846.2
2024-01-31,22051.55
2024-02-01,22039.6
2024-02-02,22199.0
2024-02-05,22113.4
2024-02-06,22299.3
2024-02-07,22363.7
2024-02-08,22202.75
2024-02-09,22247.55
2024-02-12,22042.1
2024-02-13,22181.6
2024-02-14,22313.4
2024-02-15,22405.55
2024-02-16,22540.9
2024-02-19,22618.25
2024-02-20,22685.65
2024-02-21,22547.6
2024-02-22,22725.4
2024-02-23,22734.3
2024-02-26,22667.75
2024-02-27,22722.3
2024-02-28,22457.65
2024-02-29,22526.3
2024-03-01,22862.05
2024-03-02,22915.7
2024-03-04,22944.8
2024-03-05,22900.65
2024-03-06,22988.35
2024-03-07,23036.05
2024-03-11,22895.45
2024-03-12,22840.9
2024-03-13,22399.0
2024-03-14,22623.7
2024-03-15,22494.7
2024-03-18,22541.15
2024-03-19,22274.65
2024-03-20,22307.75
2024-03-21,22538.9
2024-03-22,22633.8
2024-03-26,22601.35
2024-03-27,22698.5
2024-03-28,22920.7
2024-04-01,23107.15
2024-04-02,23138.55
2024-04-03,23136.6
2024-04-04,23206.0
2024-04-05,23240.55
2024-04-08,23380.3
2024-04-09,23348.9
2024-04-10,23474.7
2024-04-12,23254.9
2024-04-15,22967.1
2024-04-16,22870.3
2024-04-18,22740.2
2024-04-19,22859.8
2024-04-22,23078.9
2024-04-23,23116.0
2024-04-24,23167.8
2024-04-25,23329.8
2024-04-26,23232.1
2024-04-29,23443.8
2024-04-30,23436.5
2024-05-02,23541.3
2024-05-03,23382.75
2024-05-06,23297.75
2024-05-07,23103.75
2024-05-08,23166.0
2024-05-09,22790.2
2024-05-10,22909.1
2024-05-13,22956.35
2024-05-14,23118.2
2024-05-15,23133.85
2024-05-16,23343.55
2024-05-17,23444.3
2024-05-18,23508.6
2024-05-21,23569.9
2024-05-22,23633.9
2024-05-23,23982.35
2024-05-24,23980.1
2024-05-27,23959.85
2024-05-28,23873.9
2024-05-29,23687.7
2024-05-30,23466.3
2024-05-31,23518.05
2024-06-03,24344.2
2024-06-04,22739.6
2024-06-05,23550.75
2024-06-06,23806.95
2024-06-07,24266.05
2024-06-10,24271.15
2024-06-11,24271.05
2024-06-12,24348.8
2024-06-13,24449.5
2024-06-14,24571.65
2024-06-18,24683.55
2024-06-19,24599.9
2024-06-20,24649.85
2024-06-21,24555.5
2024-06-24,24621.6
2024-06-25,24757.8
2024-06-26,24867.15
2024-06-27,25026.55
2024-06-28,25007.25
2024-07-01,25155.7
2024-07-02,25120.1
2024-07-03,25306.9
2024-07-04,25342.55
2024-07-05,25391.25
2024-07-08,25393.55
2024-07-09,25515.1
2024-07-10,25425.65
2024-07-11,25433.75
2024-07-12,25577.3
2024-07-15,25696.05
2024-07-16,25679.1
2024-07-18,25784.8
2024-07-19,25450.85
2024-07-22,25490.4
2024-07-23,25419.6
2024-07-24,25389.0
2024-07-25,25407.5
2024-07-26,25841.9
2024-07-29,25901.95
2024-07-30,25914.1
2024-07-31,26025.6
2024-08-01,26057.8
2024-08-02,25771.9
2024-08-05,25043.05
2024-08-06,24940.75
2024-08-07,25349.0
2024-08-08,25161.25
2024-08-09,25425.4
2024-08-12,25386.05
2024-08-13,25155.15
2024-08-14,25160.65
2024-08-16,25578.5
2024-08-19,25638.2
2024-08-20,25782.35
2024-08-21,25853.2
2024-08-22,25910.45
2024-08-23,25905.95
2024-08-26,26076.8
2024-08-27,26083.15
2024-08-28,26116.8
2024-08-29,26188.9
2024-08-30,26274.35
2024-09-02,26335.0
2024-09-03,26341.7
2024-09-04,26275.75
2024-09-05,26239.1
2024-09-06,25928.55
