date,ALL-AT-ONCE (base),stagger 50%/wk,stagger 33%/wk,stagger 25%/wk
2014,110.7,113.0,113.3,118.0
2015,8.0,6.9,2.2,1.0
2016,39.0,34.8,29.8,28.8
2017,67.0,67.0,67.0,67.0
2018,-12.0,-13.6,-16.5,-17.5
2019,2.1,2.6,5.5,6.7
2020,85.4,86.2,80.2,72.7
2021,117.7,118.8,122.4,124.2
2022,7.8,7.5,3.8,-1.3
2023,35.3,37.9,44.6,47.5
2024,43.0,44.9,48.2,46.7
2025,-0.2,0.6,0.1,-1.2
2026,-1.7,-1.5,1.7,3.3
