y,1,2,3,4,5,6,7,8,9,10,11,12
2014,0.12,11.98,0.41,3.08,19.71,14.01,2.43,7.48,11.26,4.68,6.2,3.26
2015,3.28,0.0,0.12,-1.38,2.94,-1.15,5.16,1.11,0.03,-3.59,1.43,-0.57
2016,-5.75,-3.87,4.47,2.37,4.0,12.45,4.59,3.99,2.59,-0.0,0.12,-6.67
2017,4.35,2.32,2.2,8.2,2.33,2.71,2.94,3.91,2.72,16.44,5.99,2.2
2018,0.08,-3.69,-0.51,12.55,-4.09,-6.14,5.36,9.1,-9.39,-2.52,-8.69,0.03
2019,-1.7,-2.52,9.31,-1.8,3.82,-1.6,-4.02,0.98,2.03,9.19,-0.23,0.62
2020,5.01,4.66,-1.8,-0.21,-0.08,6.8,15.69,6.17,18.05,1.14,13.55,8.9
2021,3.41,17.19,12.03,5.6,7.39,13.13,10.35,-0.12,2.4,0.66,9.13,6.08
2022,-2.25,-3.67,13.97,10.96,-5.8,-0.44,10.03,6.88,-1.45,-0.24,2.0,-3.38
2023,-2.42,-3.18,1.84,3.88,5.54,5.38,7.0,7.83,2.75,6.8,13.12,6.97
2024,15.98,1.31,-3.66,11.09,7.37,10.21,1.71,-0.33,2.13,0.56,-2.71,8.15
2025,-19.2,-0.78,11.18,0.69,-0.31,4.04,-7.12,-1.85,0.15,1.69,1.56,0.54
2026,0.89,0.0,0.53,,,,,,,,,
