date,mid_126d_6m_N10,combo_blend_6m12m_N25,mid_blend_6m12m_N10,mid_120d_N10,combo_blend_6m12m_N20
2015,1.9,69.5,12.2,7.6,66.8
2016,18.4,8.1,17.0,19.4,10.4
2017,128.1,112.5,128.9,132.1,112.3
2018,-8.7,-21.8,-13.5,-10.6,-23.7
2019,17.2,6.7,2.7,14.8,3.5
2020,85.7,59.5,67.6,80.6,61.8
2021,79.5,100.6,120.0,87.6,89.7
2022,35.2,9.4,18.5,38.5,2.9
2023,80.0,71.6,66.3,79.3,78.5
2024,29.0,51.7,36.2,20.7,62.8
2025,-17.9,-14.5,-10.7,-19.5,-16.2
2026,-3.1,-5.8,-2.8,-3.1,-7.5
