symbol,bars_5min,avg_daily_turnover_inr,avg_daily_turnover_cr,daily_bars_window,circuit_days,in_nifty500,is_mid_proxy,included,exclusion_reason
HDFCBANK,32445,21180421071.0,2118.04,30,0,True,True,True,
ICICIBANK,32445,19662734795.0,1966.27,30,0,True,True,True,
BHARTIARTL,32445,14807255726.0,1480.73,30,0,True,True,True,
INFY,32445,10974322014.0,1097.43,30,0,True,True,True,
SBIN,32445,10332544479.0,1033.25,30,0,True,True,True,
TCS,32445,9371259982.0,937.13,30,0,True,True,True,
LT,31926,7730905760.0,773.09,30,0,True,True,True,
MARUTI,31926,6418798378.0,641.88,30,1,True,True,True,
KOTAKBANK,32445,5976486971.0,597.65,30,0,True,True,True,
ITC,32442,5703223653.0,570.32,30,0,True,True,True,
MCX,31926,5183905607.0,518.39,30,2,True,True,True,
HINDALCO,31926,5068255578.0,506.83,30,2,True,True,True,
TITAN,31926,4879073536.0,487.91,30,0,True,True,True,
HEROMOTOCO,31926,4865060670.0,486.51,30,1,True,True,True,
PAYTM,31926,4690911112.0,469.09,30,0,False,False,True,
INDUSINDBK,31926,3872716169.0,387.27,30,0,True,True,True,
HINDUNILVR,32441,3751644126.0,375.16,30,0,True,True,True,
POWERGRID,31926,3682353280.0,368.24,30,0,True,True,True,
SUNPHARMA,31926,3648707045.0,364.87,30,0,True,True,True,
HCLTECH,31926,3513506258.0,351.35,30,0,True,True,True,
NTPC,31926,3279249338.0,327.92,30,0,True,True,True,
ADANIPORTS,31926,3171350727.0,317.14,30,0,True,True,True,
PERSISTENT,31926,3130525088.0,313.05,30,2,True,True,True,
BAJAJ-AUTO,31926,3063172941.0,306.32,30,0,True,True,True,
DIVISLAB,31926,2954998163.0,295.5,30,1,True,True,True,
COFORGE,31926,2801590320.0,280.16,30,0,False,False,True,
BANKBARODA,31926,2758063198.0,275.81,30,0,True,True,True,
FEDERALBNK,31926,2742940470.0,274.29,30,1,True,True,True,
EICHERMOT,31926,2663502768.0,266.35,30,0,True,True,True,
DRREDDY,31926,2652206625.0,265.22,30,0,True,True,True,
COALINDIA,31926,2599885671.0,259.99,30,0,True,True,True,
ULTRACEMCO,31926,2591511942.0,259.15,30,0,True,True,True,
IDFCFIRSTB,31926,2540208661.0,254.02,30,1,True,True,True,
CHOLAFIN,31926,2529202047.0,252.92,30,0,True,True,True,
IOC,31926,2527476345.0,252.75,30,1,True,True,True,
CUMMINSIND,31926,2471438616.0,247.14,30,0,True,True,True,
TECHM,31926,2458128527.0,245.81,30,0,True,True,True,
CIPLA,31926,2449433470.0,244.94,30,0,True,True,True,
MUTHOOTFIN,31926,2349829852.0,234.98,30,1,True,True,True,
WIPRO,31926,2306048589.0,230.6,30,1,True,True,True,
ASIANPAINT,31926,2260785385.0,226.08,30,0,True,True,True,
BAJAJFINSV,31926,2240147023.0,224.01,30,1,True,True,True,
ONGC,31926,2211214433.0,221.12,30,0,True,True,True,
PNB,31926,2119304884.0,211.93,30,0,True,True,True,
HDFCLIFE,31926,2030374205.0,203.04,30,0,True,True,True,
TATAPOWER,31926,1918119030.0,191.81,30,0,True,True,True,
SBILIFE,31926,1913318661.0,191.33,30,0,True,True,True,
JSWSTEEL,31926,1880060868.0,188.01,30,0,True,True,True,
BRITANNIA,31926,1787564993.0,178.76,30,0,True,True,True,
DLF,31926,1711716495.0,171.17,30,0,True,True,True,
NESTLEIND,31926,1700892999.0,170.09,30,1,True,True,True,
JINDALSTEL,31926,1633718531.0,163.37,30,1,True,True,True,
DELHIVERY,31926,1621977028.0,162.2,30,2,False,False,True,
VOLTAS,31926,1520943122.0,152.09,30,0,True,True,True,
TATACONSUM,31926,1488842997.0,148.88,30,0,True,True,True,
GAIL,31926,1487457424.0,148.75,30,0,True,True,True,
SIEMENS,31923,1310867200.0,131.09,30,0,True,True,True,
DABUR,31926,1297042221.0,129.7,30,0,True,True,True,
MARICO,31926,1215361069.0,121.54,30,0,True,True,True,
HAVELLS,31926,1150889156.0,115.09,30,0,True,True,True,
COLPAL,31926,1044494504.0,104.45,30,0,True,True,True,
PIDILITIND,31926,1015708133.0,101.57,30,0,True,True,True,
AMBUJACEM,31926,945557843.0,94.56,30,0,True,True,True,
SHREECEM,31926,785419120.0,78.54,30,0,True,True,True,
ADANIENT,31926,0.0,0.0,0,0,True,False,False,in_orb_universe
APOLLOHOSP,31926,0.0,0.0,0,0,True,False,False,in_orb_universe
AXISBANK,31926,0.0,0.0,0,0,True,False,False,in_orb_universe
BAJFINANCE,31926,0.0,0.0,0,0,True,False,False,in_orb_universe
BANKNIFTY,32553,0.0,0.0,0,0,False,False,False,index_ticker
BEL,31926,0.0,0.0,0,0,True,False,False,in_orb_universe
BPCL,31926,0.0,0.0,0,0,True,False,False,in_orb_universe
GODREJPROP,31926,0.0,0.0,0,0,True,False,False,in_orb_universe
GRASIM,31926,0.0,0.0,0,0,True,False,False,in_orb_universe
HAL,31926,0.0,0.0,0,0,True,False,False,in_orb_universe
IRCTC,31926,0.0,0.0,0,0,False,False,False,in_orb_universe
M&M,31926,0.0,0.0,0,0,True,False,False,in_orb_universe
NIFTY50,32553,0.0,0.0,0,0,False,False,False,index_ticker
RELIANCE,32445,0.0,0.0,0,0,True,False,False,in_orb_universe
TATASTEEL,31926,0.0,0.0,0,0,True,False,False,in_orb_universe
TRENT,31926,0.0,0.0,0,0,True,False,False,in_orb_universe
VEDL,31926,0.0,0.0,0,0,True,False,False,in_orb_universe
