variant,scope,symbol,trades,wins,losses,win_rate_pct,avg_win,avg_loss,profit_factor,net_pnl,gross_pnl,costs,days_traded,cagr_pct,sharpe,max_dd,max_dd_pct,calmar
target_1.5R,PORTFOLIO,,1130,303,827,26.81,259.0,-426.0,0.22,-274215.0,-730.0,273486.0,388,-79.69,-13.4,274312.0,91.44,-0.87
target_1.5R,STOCK,BAJAJFINSV,238,65,173,27.31,297.0,-437.0,0.26,-56326.0,2027.0,58353.0,238,-19.76,-8.5,56326.0,18.78,-1.05
target_1.5R,STOCK,ASIANPAINT,211,41,170,19.43,241.0,-392.0,0.15,-56793.0,-5311.0,51483.0,211,-22.17,-11.65,56793.0,18.93,-1.17
target_1.5R,STOCK,ADANIPORTS,229,67,162,29.26,248.0,-479.0,0.21,-60956.0,-4524.0,56432.0,229,-22.12,-9.29,61273.0,20.42,-1.08
target_1.5R,STOCK,AMBUJACEM,231,72,159,31.17,266.0,-450.0,0.27,-52345.0,5073.0,57418.0,231,-18.87,-8.33,53898.0,17.97,-1.05
target_1.5R,STOCK,BAJAJ-AUTO,221,58,163,26.24,234.0,-376.0,0.22,-47796.0,2004.0,49800.0,221,-17.95,-9.23,47796.0,15.93,-1.13
target_2.0R,PORTFOLIO,,1130,290,840,25.66,274.0,-422.0,0.22,-275461.0,-1971.0,273490.0,388,-80.33,-13.23,275791.0,91.93,-0.87
target_2.0R,STOCK,BAJAJFINSV,238,63,175,26.47,290.0,-433.0,0.24,-57498.0,856.0,58354.0,238,-20.17,-8.72,57498.0,19.17,-1.05
target_2.0R,STOCK,ASIANPAINT,211,38,173,18.01,249.0,-388.0,0.14,-57720.0,-6241.0,51480.0,211,-22.52,-11.78,57720.0,19.24,-1.17
target_2.0R,STOCK,ADANIPORTS,229,64,165,27.95,258.0,-474.0,0.21,-61690.0,-5255.0,56435.0,229,-22.38,-9.38,62007.0,20.67,-1.08
target_2.0R,STOCK,AMBUJACEM,231,68,163,29.44,316.0,-443.0,0.3,-50779.0,6644.0,57423.0,231,-18.32,-7.63,52990.0,17.66,-1.04
target_2.0R,STOCK,BAJAJ-AUTO,221,57,164,25.79,239.0,-374.0,0.22,-47773.0,2024.0,49798.0,221,-17.95,-9.12,47773.0,15.92,-1.13
