date,daily_pnl,equity
2024-03-18,-616.54,299383.46
2024-03-19,-541.11,298842.35
2024-03-20,-1307.53,297534.82
2024-03-21,-873.29,296661.53
2024-03-22,-291.94,296369.59
2024-03-26,-1695.75,294673.85
2024-03-27,-587.70,294086.14
2024-03-28,-674.60,293411.54
2024-04-01,-274.27,293137.27
2024-04-02,-593.35,292543.92
2024-04-03,-834.19,291709.73
2024-04-04,-583.93,291125.80
2024-04-05,-293.91,290831.89
2024-04-09,177.91,291009.80
2024-04-10,-315.03,290694.76
2024-04-12,-506.35,290188.41
2024-04-15,-1757.23,288431.18
2024-04-18,-1453.97,286977.21
2024-04-19,-404.89,286572.32
2024-04-22,-294.18,286278.15
2024-04-23,-685.78,285592.37
2024-04-25,-284.22,285308.15
2024-04-26,-119.66,285188.49
2024-04-29,-288.89,284899.60
2024-04-30,-985.48,283914.13
2024-05-03,-185.61,283728.51
2024-05-06,-1920.04,281808.47
2024-05-07,-361.62,281446.85
2024-05-08,-1184.92,280261.93
2024-05-09,703.76,280965.69
2024-05-13,122.97,281088.67
2024-05-14,875.97,281964.64
2024-05-15,-1229.13,280735.51
2024-05-16,-1631.00,279104.51
2024-05-17,-744.84,278359.67
2024-05-21,-357.88,278001.79
2024-05-22,65.68,278067.47
2024-05-23,-566.82,277500.65
2024-05-24,-2489.58,275011.07
2024-05-27,-1979.92,273031.15
2024-05-28,-1318.09,271713.05
2024-05-29,-963.66,270749.40
2024-05-30,-1663.14,269086.26
2024-05-31,-1209.65,267876.62
2024-06-04,-2843.48,265033.14
2024-06-05,141.64,265174.78
2024-06-06,-833.46,264341.32
2024-06-07,-214.03,264127.29
2024-06-10,-23.78,264103.51
2024-06-12,-354.46,263749.04
2024-06-13,-987.20,262761.84
2024-06-14,-226.12,262535.72
2024-06-18,-241.91,262293.81
2024-06-20,-274.45,262019.36
2024-06-21,-1657.87,260361.50
2024-06-24,-96.45,260265.04
2024-06-25,-1389.51,258875.54
2024-06-26,-1299.30,257576.24
2024-06-28,-565.87,257010.37
2024-07-01,-1026.18,255984.19
2024-07-02,-2591.55,253392.64
2024-07-03,-1035.67,252356.97
2024-07-04,-671.47,251685.50
2024-07-08,-398.12,251287.38
2024-07-09,-564.63,250722.75
2024-07-10,-433.36,250289.39
2024-07-11,-597.44,249691.95
2024-07-12,-1854.15,247837.80
2024-07-15,-646.34,247191.45
2024-07-16,-824.51,246366.95
2024-07-18,-368.44,245998.51
2024-07-19,-112.95,245885.56
2024-07-22,-873.62,245011.95
2024-07-23,-2625.54,242386.41
2024-07-24,233.57,242619.97
2024-07-25,-1398.56,241221.41
2024-07-26,-138.92,241082.49
2024-07-30,-1139.87,239942.62
2024-07-31,-1255.75,238686.87
2024-08-01,-2502.75,236184.12
2024-08-02,-254.37,235929.74
2024-08-05,-861.21,235068.53
2024-08-07,-288.04,234780.49
2024-08-08,-624.71,234155.78
2024-08-09,-1191.89,232963.89
2024-08-12,-1470.08,231493.81
2024-08-13,-415.42,231078.38
2024-08-16,-3651.97,227426.42
2024-08-19,-838.54,226587.87
2024-08-20,-1166.53,225421.34
2024-08-21,-507.77,224913.57
2024-08-23,-385.55,224528.02
2024-08-26,1.20,224529.22
2024-08-27,-1801.13,222728.08
2024-08-28,-336.89,222391.19
2024-08-29,-606.42,221784.77
2024-09-02,-196.43,221588.34
2024-09-03,-692.38,220895.96
2024-09-04,-277.74,220618.23
2024-09-05,-1399.06,219219.17
2024-09-06,-666.36,218552.81
2024-09-09,-1634.02,216918.79
2024-09-10,-1736.81,215181.98
2024-09-11,-1332.20,213849.78
2024-09-12,-1402.44,212447.34
2024-09-13,223.65,212670.98
2024-09-16,-158.19,212512.79
2024-09-17,-747.20,211765.59
2024-09-18,-1459.63,210305.96
