trades: target=4520, trail_hma44=4794, trail_donch10=4542
  closes 150/622
  closes 300/622
  closes 450/622
  closes 600/622

BENCH NIFTYBEES B&H: CAGR  12.75% Sharpe 0.73 MaxDD  -58.0% Calmar 0.22

mode           slots  rank gate |    CAGR Sharpe   MaxDD Calmar  expo taken
target            20 alpha  off |   6.79%   0.48  -48.9%   0.14   75%  1593
target            20    rr  off |   6.36%   0.44  -46.3%   0.14   76%  1648
target            40 alpha  off |   6.28%   0.49  -43.2%   0.15   65%  2648
target            20 alpha   ON |   4.32%   0.38  -36.3%   0.12   60%  1248
target            20    rr   ON |   3.99%   0.35  -36.1%   0.11   60%  1277
target            40    rr   ON |   4.25%   0.43  -31.7%   0.13   48%  2023
trail_hma44       20 alpha  off |   8.48%   0.57  -38.2%   0.22   60%  2635
trail_hma44       40 alpha  off |   8.10%   0.65  -34.9%   0.23   46%  3810
trail_hma44       20    rr   ON |   4.70%   0.41  -36.8%   0.13   45%  1922
trail_hma44       40    rr   ON |   4.69%   0.54  -28.3%   0.17   32%  2665
trail_donch10     20 alpha  off |  14.71%   0.78  -58.8%   0.25   84%  1212
trail_donch10     40 alpha  off |  15.04%   0.87  -51.2%   0.29   76%  2123
trail_donch10     20    rr   ON |   9.04%   0.57  -49.1%   0.18   68%  1022
trail_donch10     40    rr   ON |   9.21%   0.65  -39.6%   0.23   59%  1662

BEST by Calmar: trail_donch10|40|alpha|-
year     strat   bench  excess
2006      32.3    41.3    -9.0
2007      44.7    52.3    -7.6
2008     -45.1   -53.5     8.4
2009      98.1    81.0    17.1
2010      26.3    19.1     7.2
2011     -20.5   -24.0     3.5
2012      31.5    26.6     4.9
2013      13.1     7.4     5.7
2014      71.5    29.6    41.9
2015      -3.6    -3.9     0.3
2016      19.1     4.9    14.2
2017      54.7    29.9    24.8
2018     -23.7     4.7   -28.4
2019      -1.8    14.1   -15.9
2020      40.5    13.1    27.4
2021      48.2    28.2    20.1
2022      -3.4     5.5    -8.8
2023      51.1    21.0    30.1
2024      17.5    11.2     6.3
2025     -13.7    10.5   -24.2
2026      -9.8    -7.8    -2.0

best NAV saved: results/g7_best_nav.csv
