book,venue,day,dte_trd,cfg,entry_hm,win_end,sl_shape,qty,lots,mode,mgmt,k_actual,k_fwd,misstrike,steps_off,fwd,spot_rec,booked_credit,booked_exit,booked_reason,booked_exit_ts,booked_pnl,rep_a_credit,rep_a_exit,rep_a_reason,rep_a_exit_hm,rep_a_gross,rep_a_net,rep_f_credit,rep_f_exit,rep_f_reason,rep_f_exit_hm,rep_f_gross,rep_f_net,delta_net,dwell_mode
CSL_TIMEB2_NIFTY,NIFTY,2026-08-24,1,10:00->12:00 SL25,10:00,12:00,25,130,2,PAPER,,24250,24300,1,1,24308.6,24268.2,130.5,134.3,TIME_EXIT,12:00:04,-654,130.4,134.45,TIME,12:00,-526,-624,116.9,159.05,SL,11:33,-5479,-7232,-6608,DWELL2
CSL_TIMEB_NIFTY_MON,NIFTY,2026-08-24,1,13:00->14:00 SL20,13:00,14:00,20,520,8,PAPER,,24200,24200,0,0,24200.55,24181.85,123.35,119.65,TIME_EXIT,14:00:02,1764,123.75,119.65,TIME,14:00,2132,1752,123.75,119.65,TIME,14:00,2132,1752,0,DWELL2
NAS_C20_TRAIL,NIFTY,2026-08-24,1,09:16->15:20 SL20+trail,09:16,15:20,20,130,2,PAPER,trail,24300,24350,1,1,24335.75,24297.35,126.0,26,TRAIL_EXIT,14:31:11,-3442,124.85,157.0,SL,11:34,-4180,-5933,118.5,156.8,SL,11:06,-4979,-6731,-798,DWELL2
CSL30F_SENSEX,SENSEX,2026-08-24,3,09:16->15:20 SL20,09:16,15:20,20,60,3,PAPER,,77700,77900,1,2,77868.3,77742.17,663.3,688.6,TIME_EXIT,15:20:00,-1678,664.8,683.4,TIME,15:20,-1116,-1241,642.65,792.95,SL,11:34,-9018,-9908,-8667,DWELL2
NAS_C20_SHIFT,NIFTY,2026-08-24,1,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,shift,24200,24350,1,3,24335.75,24297.35,132.5,119.8,TIME_EXIT,15:20:00,-2348,173.8,118.7,TIME,15:20,7163,7059,118.5,156.8,SL,11:06,-4979,-6731,-13790,DWELL2
NAS_C20_TRAIL,NIFTY,2026-08-25,0,09:16->15:20 SL20+trail,09:16,15:20,20,130,2,PAPER,trail,24150,24150,0,0,24145.5,24147.45,81.75,22.3,TRAIL_EXIT,09:39:02,-2246,83.4,118.85,SL,14:54,-4608,-6352,83.4,118.85,SL,14:54,-4608,-6352,0,DWELL2
CSL_TIMEB_NIFTY,NIFTY,2026-08-25,0,09:30->11:00 SL25,09:30,11:00,25,520,8,REAL,,24200,24200,0,0,24199.1,24181.5,82.7,75.85,TIME_EXIT,11:00:06,3402,82.2,75.8,TIME,11:00,3328,2989,82.2,75.8,TIME,11:00,3328,2989,0,DWELL2
CSL_TIMEB2_NIFTY,NIFTY,2026-08-25,0,13:00->14:00 SL25,13:00,14:00,25,130,2,PAPER,,24150,24150,0,0,24169.0,24157.05,53.7,45.8,TIME_EXIT,14:00:01,867,54.4,45.4,TIME,14:00,1170,1092,54.4,45.4,TIME,14:00,1170,1092,0,DWELL2
CSL30F_NIFTY,NIFTY,2026-08-25,0,09:16->15:20 SL25,09:16,15:20,25,130,2,PAPER,,24150,24150,0,0,24145.5,24147.45,81.75,104.25,SL_DWELL,14:51:58,-3085,83.4,118.85,SL,14:54,-4608,-6352,83.4,118.85,SL,14:54,-4608,-6352,0,DWELL2
NAS_COMB20,NIFTY,2026-08-25,0,09:16->15:20 SL25,09:16,15:20,25,130,2,REAL,,24150,24150,0,0,24145.5,24147.45,83.25,110.67,SL_DWELL,14:52:07,-3725,83.4,118.85,SL,14:54,-4608,-6352,83.4,118.85,SL,14:54,-4608,-6352,0,DWELL2
CSL30F_SENSEX,SENSEX,2026-08-25,2,09:16->15:20 SL20,09:16,15:20,20,60,3,PAPER,,77200,77200,0,0,77247.8,77172.52,583.85,720.1,SL_DWELL,14:52:07,-8335,574.1,716.1,SL,14:52,-8520,-9402,574.1,716.1,SL,14:52,-8520,-9402,0,DWELL2
NAS_C20_SHIFT,NIFTY,2026-08-25,0,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,shift,24200,24150,1,-1,24145.5,24147.45,88.3,81.25,TIME_EXIT,15:20:04,-1535,97.55,87.15,TIME,15:20,1352,1264,83.4,118.85,SL,14:54,-4608,-6352,-7616,DWELL2
CSL_TIMEB_SENSEX,SENSEX,2026-08-26,1,10:30->12:00 SL20,10:30,12:00,20,160,8,REAL,,77700,77900,1,2,77868.8,77737.28,419.67,404.41,TIME_EXIT,12:00:09,2282,422.3,403.45,TIME,12:00,3016,2758,388.5,398.2,TIME,12:00,-1552,-1801,-4560,DWELL2
CSL30F_SENSEX_WED,SENSEX,2026-08-26,1,09:16->15:20 SL30,09:16,15:20,30,60,3,REAL,,77900,78000,1,1,78007.35,77903.03,411.77,373.85,TIME_EXIT,15:20:05,2115,417.85,375.85,TIME,15:20,2520,2425,404.3,412.5,TIME,15:20,-492,-587,-3012,DWELL2
CSL30F_NIFTY,NIFTY,2026-08-26,4,09:16->15:20 SL30,09:16,15:20,30,130,2,PAPER,,24350,24450,1,2,24427.45,24337.3,227.5,214.75,TIME_EXIT,15:20:05,1498,229.45,214.2,TIME,15:20,1982,1862,216.0,218.6,TIME,15:20,-338,-456,-2318,DWELL2
CSL30F_SENSEX,SENSEX,2026-08-26,1,09:16->15:20 SL20,09:16,15:20,20,60,3,PAPER,,77900,78000,1,1,78007.35,77903.03,416.0,374.25,TIME_EXIT,15:20:06,2345,417.85,375.85,TIME,15:20,2520,2425,404.3,412.5,TIME,15:20,-492,-587,-3012,DWELL2
NAS_C20_TRAIL,NIFTY,2026-08-26,4,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,trail,24350,24450,1,2,24427.45,24337.3,227.6,214.75,TIME_EXIT,15:20:06,1510,229.45,214.2,TIME,15:20,1982,1862,216.0,218.6,TIME,15:20,-338,-456,-2318,DWELL2
NAS_C20_SHIFT,NIFTY,2026-08-26,4,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,shift,24350,24450,1,2,24427.45,24337.3,227.6,214.75,TIME_EXIT,15:20:06,1510,229.45,214.2,TIME,15:20,1982,1862,216.0,218.6,TIME,15:20,-338,-456,-2318,DWELL2
