book,venue,day,dte,misstrike,steps_off,net_delta,qty,spot_entry,spot_exit,move,rs_per_100pt,delta_pnl,booked_pnl,reason
CSL_TIMEB_NIFTY,NIFTY,2026-08-14,2,0,0,-0.0881,130,24343.5,24328.2,-15.3,-1145,176,1029,TIME_EXIT
CSL_TIMEB_SENSEX,SENSEX,2026-08-14,4,1,1,-0.1157,120,77787.1,77792.1,4.9,-1388,-68,1898,TIME_EXIT
NAS_COMB20,NIFTY,2026-08-14,2,1,1,-0.2322,130,24329.0,24354.8,25.8,-3019,-780,464,TIME_EXIT
CSL30F_NIFTY,NIFTY,2026-08-14,2,1,1,-0.2322,130,24329.0,24354.8,25.8,-3019,-780,236,TIME_EXIT
CSL30F_SENSEX,SENSEX,2026-08-14,4,1,1,-0.1059,60,77774.4,77931.1,156.7,-635,-996,2021,TIME_EXIT
NAS_C20_TRAIL,NIFTY,2026-08-14,2,1,1,-0.2322,130,24329.0,24354.8,25.8,-3019,-780,230,TIME_EXIT
NAS_C20_SHIFT,NIFTY,2026-08-14,2,1,1,-0.2322,130,24329.0,24354.8,25.8,-3019,-780,230,TIME_EXIT
CSL_TIMEB_NIFTY,NIFTY,2026-08-17,1,1,1,-0.1358,390,24334.0,24338.3,4.3,-5296,-228,1205,TIME_EXIT
CSL_TIMEB_SENSEX,SENSEX,2026-08-17,3,1,2,-0.1936,120,77841.4,77836.2,-5.2,-2323,121,668,TIME_EXIT
NAS_COMB20,NIFTY,2026-08-17,1,0,0,-0.1147,130,24308.0,24339.8,31.8,-1491,-475,-121,TIME_EXIT
CSL_TIMEB_NIFTY,NIFTY,2026-08-18,0,0,0,0.1006,520,24245.1,24200.2,-44.8,5231,-2346,2206,TIME_EXIT
CSL_TIMEB_SENSEX,SENSEX,2026-08-18,2,1,1,-0.063,120,77498.8,77357.1,-141.7,-756,1071,2180,TIME_EXIT
NAS_COMB20,NIFTY,2026-08-18,0,0,0,0.0638,130,24244.3,24166.3,-78.0,829,-647,3545,TIME_EXIT
CSL30F_SENSEX,SENSEX,2026-08-18,2,1,1,-0.0775,60,77527.3,77325.9,-201.5,-465,937,2474,TIME_EXIT
CSL_TIMEB_SENSEX,SENSEX,2026-08-19,1,1,1,-0.17,160,76935.6,76984.7,49.1,-2720,-1335,229,TIME_EXIT
CSL30F_NIFTY,NIFTY,2026-08-19,4,1,1,-0.1159,130,24120.3,24048.5,-71.8,-1507,1081,3500,TIME_EXIT
CSL30F_SENSEX,SENSEX,2026-08-19,1,1,1,-0.0919,60,77141.6,76908.1,-233.5,-551,1288,4103,TIME_EXIT
NAS_C20_TRAIL,NIFTY,2026-08-19,4,1,1,-0.1159,130,24120.3,24048.5,-71.8,-1507,1081,3558,TIME_EXIT
NAS_C20_SHIFT,NIFTY,2026-08-19,4,1,1,-0.1159,130,24120.3,24048.5,-71.8,-1507,1081,3558,TIME_EXIT
CSL_TIMEB_SENSEX,SENSEX,2026-08-20,0,0,0,0.0998,160,77522.0,77485.3,-36.7,1597,-586,4534,TIME_EXIT
NAS_COMB20,NIFTY,2026-08-20,3,1,1,-0.1849,325,24213.5,24211.6,-1.9,-6009,111,-387,TIME_EXIT
CSL30F_NIFTY,NIFTY,2026-08-20,3,1,1,-0.1849,130,24213.5,24211.6,-1.9,-2404,44,204,TIME_EXIT
CSL30F_SENSEX,SENSEX,2026-08-20,0,0,0,0.0626,60,77465.7,77485.3,19.6,376,74,8483,TIME_EXIT
NAS_C20_TRAIL,NIFTY,2026-08-20,3,1,1,-0.1849,130,24213.5,24211.6,-1.9,-2404,44,217,TIME_EXIT
NAS_C20_SHIFT,NIFTY,2026-08-20,3,1,1,-0.1849,130,24213.5,24211.6,-1.9,-2404,44,217,TIME_EXIT
CSL_TIMEB_NIFTY,NIFTY,2026-08-21,2,1,1,-0.1703,520,24246.9,24239.3,-7.6,-8856,673,3399,TIME_EXIT
NAS_COMB20,NIFTY,2026-08-21,2,1,1,-0.2115,130,24261.2,24234.8,-26.4,-2749,726,2505,TIME_EXIT
CSL30F_NIFTY,NIFTY,2026-08-21,2,1,1,-0.2115,130,24261.2,24234.8,-26.4,-2749,726,1888,TIME_EXIT
CSL30F_SENSEX,SENSEX,2026-08-21,4,1,2,-0.1588,60,77593.1,77522.5,-70.6,-953,673,3560,TIME_EXIT
NAS_C20_TRAIL,NIFTY,2026-08-21,2,1,1,-0.2115,130,24261.2,24234.8,-26.4,-2749,726,1888,TIME_EXIT
NAS_C20_SHIFT,NIFTY,2026-08-21,2,1,1,-0.2115,130,24261.2,24234.8,-26.4,-2749,726,1888,TIME_EXIT
NAS_COMB20,NIFTY,2026-08-24,1,1,1,-0.1874,130,24297.3,24176.7,-120.6,-2436,2939,-4899,SL_DWELL
