symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
BHARTIARTL,inside_bar,long,436,315,0.3492,0.6114,-0.3565,0.92,14.316,-0.564,-5.83
BHARTIARTL,inside_bar,short,436,149,0.396,0.5691,-0.3714,1.005,6.569,0.031,0.15
HDFCBANK,inside_bar,long,436,315,0.3619,0.497,-0.3404,0.828,15.089,-1.271,-11.76
HDFCBANK,inside_bar,short,436,141,0.4397,0.393,-0.3377,0.913,6.522,-0.611,-2.32
ICICIBANK,inside_bar,long,436,297,0.4175,0.4791,-0.337,1.019,10.074,0.125,1.11
ICICIBANK,inside_bar,short,436,138,0.3696,0.4378,-0.3534,0.726,9.45,-2.173,-8.41
INFY,inside_bar,long,436,266,0.4098,0.5662,-0.3492,1.126,4.812,0.794,6.89
INFY,inside_bar,short,436,140,0.4143,0.5282,-0.364,1.026,6.52,0.177,0.78
KOTAKBANK,inside_bar,long,436,300,0.3367,0.6361,-0.3675,0.878,14.126,-0.901,-8.89
KOTAKBANK,inside_bar,short,436,154,0.4805,0.5563,-0.3647,1.411,3.85,2.328,11.99
SBIN,inside_bar,long,436,311,0.3376,0.6038,-0.3592,0.857,15.605,-1.058,-10.59
SBIN,inside_bar,short,436,184,0.3967,0.4845,-0.3455,0.922,6.035,-0.532,-2.98
TCS,inside_bar,long,436,291,0.3677,0.5081,-0.3541,0.835,13.799,-1.217,-10.78
TCS,inside_bar,short,436,140,0.4714,0.5123,-0.3446,1.326,3.62,1.876,8.31
ITC,inside_bar,long,436,314,0.3949,0.5081,-0.3483,0.952,7.373,-0.326,-3.16
ITC,inside_bar,short,436,148,0.4595,0.517,-0.3725,1.18,3.743,1.105,5.35
HINDUNILVR,inside_bar,long,436,311,0.4019,0.577,-0.3486,1.113,5.2,0.723,7.3
HINDUNILVR,inside_bar,short,436,155,0.3871,0.5746,-0.3479,1.043,5.26,0.286,1.43
RELIANCE,inside_bar,long,436,317,0.3691,0.5088,-0.356,0.836,14.211,-1.219,-11.67
RELIANCE,inside_bar,short,436,171,0.4152,0.4259,-0.3528,0.857,8.121,-1.036,-5.04
AARTIIND,inside_bar,long,442,310,0.2871,0.8143,-0.3843,0.853,22.398,-1.115,-12.45
AARTIIND,inside_bar,short,442,173,0.3468,0.7666,-0.3944,1.032,5.825,0.221,1.42
AAVAS,inside_bar,long,442,283,0.3286,0.7794,-0.3859,0.989,11.749,-0.081,-0.84
AAVAS,inside_bar,short,442,196,0.3469,0.7717,-0.376,1.09,10.15,0.6,4.35
ABBOTINDIA,inside_bar,long,442,336,0.2887,0.7687,-0.3812,0.818,18.657,-1.399,-16.54
ABBOTINDIA,inside_bar,short,442,211,0.4218,0.655,-0.3669,1.302,4.94,1.803,13.53
ABCAPITAL,inside_bar,long,442,319,0.3041,0.8674,-0.3915,0.968,16.885,-0.23,-2.77
ABCAPITAL,inside_bar,short,442,182,0.4066,0.8366,-0.3865,1.483,3.316,2.774,20.17
ACC,inside_bar,long,442,315,0.2825,0.6923,-0.3686,0.74,23.526,-2.085,-21.7
ACC,inside_bar,short,442,177,0.4011,0.5802,-0.3516,1.105,4.573,0.68,3.93
ADANIGREEN,inside_bar,long,442,259,0.2896,0.8708,-0.3922,0.905,12.265,-0.703,-6.86
ADANIGREEN,inside_bar,short,442,203,0.4581,0.7656,-0.3853,1.68,4.395,3.638,28.82
ADANIPOWER,inside_bar,long,442,284,0.2606,0.9537,-0.3884,0.865,15.326,-1.025,-10.99
ADANIPOWER,inside_bar,short,442,238,0.437,0.724,-0.3899,1.441,3.462,2.571,23.05
ADVENZYMES,inside_bar,long,442,320,0.2938,0.9322,-0.3968,0.977,13.459,-0.163,-2.04
ADVENZYMES,inside_bar,short,442,223,0.3229,0.8632,-0.3919,1.05,7.247,0.345,2.97
AFFLE,inside_bar,long,442,299,0.3445,0.871,-0.3942,1.161,8.558,1.055,12.45
AFFLE,inside_bar,short,442,192,0.3438,0.8341,-0.3857,1.133,11.501,0.875,6.45
AIAENG,inside_bar,long,442,322,0.3416,0.8469,-0.378,1.162,7.997,1.05,13.02
AIAENG,inside_bar,short,442,189,0.3915,0.7866,-0.3834,1.32,5.554,1.937,14.12
AJANTPHARM,inside_bar,long,442,306,0.3529,0.8512,-0.3917,1.185,6.799,1.199,14.37
AJANTPHARM,inside_bar,short,442,196,0.3112,0.755,-0.3848,0.887,10.12,-0.846,-5.9
ALKEM,inside_bar,long,442,323,0.3467,0.7173,-0.3763,1.012,12.067,0.081,0.93
ALKEM,inside_bar,short,442,195,0.3487,0.6376,-0.3864,0.884,8.087,-0.864,-5.71
AMBER,inside_bar,long,442,275,0.3309,0.891,-0.3949,1.116,9.185,0.774,8.42
AMBER,inside_bar,short,442,196,0.3214,0.8704,-0.3953,1.043,9.486,0.299,2.25
APLAPOLLO,inside_bar,long,442,323,0.3344,0.7762,-0.3948,0.988,10.983,-0.089,-1.06
APLAPOLLO,inside_bar,short,442,179,0.3408,0.8083,-0.3806,1.098,10.222,0.652,4.4
APLLTD,inside_bar,long,442,311,0.2797,0.8895,-0.3963,0.872,14.947,-0.974,-11.38
APLLTD,inside_bar,short,442,201,0.3184,0.8642,-0.3899,1.036,6.611,0.246,1.9
APOLLOTYRE,inside_bar,long,442,311,0.3408,0.7312,-0.3874,0.976,8.966,-0.169,-1.91
APOLLOTYRE,inside_bar,short,442,189,0.3704,0.8112,-0.3731,1.279,9.57,1.714,12.39
ASAHIINDIA,inside_bar,long,442,323,0.2724,0.8907,-0.3962,0.842,16.758,-1.222,-14.72
ASAHIINDIA,inside_bar,short,442,216,0.3194,0.8641,-0.3922,1.034,14.103,0.238,1.97
