symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
BHARTIARTL,stop_run,short,436,277,0.4224,0.598,-0.3648,1.199,6.932,1.226,11.59
BHARTIARTL,stop_run,long,436,249,0.3333,0.5972,-0.3781,0.79,15.236,-1.646,-13.2
HDFCBANK,stop_run,short,436,215,0.4512,0.459,-0.3484,1.083,4.7,0.542,3.42
HDFCBANK,stop_run,long,436,216,0.3611,0.532,-0.331,0.908,11.714,-0.634,-4.18
ICICIBANK,stop_run,short,436,238,0.3529,0.4088,-0.3625,0.615,21.381,-3.315,-21.49
ICICIBANK,stop_run,long,436,230,0.4826,0.5212,-0.3537,1.375,3.663,2.114,15.76
INFY,stop_run,short,436,236,0.3983,0.6012,-0.3651,1.09,8.044,0.588,4.67
INFY,stop_run,long,436,236,0.3305,0.5364,-0.3662,0.723,16.818,-2.261,-16.02
KOTAKBANK,stop_run,short,436,241,0.3734,0.5499,-0.3625,0.904,11.061,-0.696,-5.25
KOTAKBANK,stop_run,long,436,244,0.3934,0.5448,-0.3477,1.016,11.036,0.111,0.85
SBIN,stop_run,short,436,240,0.3958,0.6042,-0.3751,1.055,6.223,0.371,3.01
SBIN,stop_run,long,436,257,0.3774,0.4923,-0.3454,0.864,8.303,-0.989,-7.51
TCS,stop_run,short,436,245,0.4694,0.5176,-0.3372,1.358,5.383,2.032,15.69
TCS,stop_run,long,436,235,0.3574,0.4126,-0.3621,0.634,20.616,-3.152,-20.02
ITC,stop_run,short,436,217,0.4885,0.4611,-0.3462,1.272,3.14,1.584,10.45
ITC,stop_run,long,436,208,0.351,0.4578,-0.3435,0.721,12.877,-2.195,-12.95
HINDUNILVR,stop_run,short,436,257,0.4436,0.5274,-0.3704,1.135,5.037,0.861,7.15
HINDUNILVR,stop_run,long,436,252,0.4008,0.5373,-0.3495,1.028,8.735,0.187,1.49
RELIANCE,stop_run,short,436,264,0.4356,0.5098,-0.3692,1.066,7.138,0.439,3.62
RELIANCE,stop_run,long,436,239,0.3389,0.5314,-0.3475,0.784,14.674,-1.649,-11.86
AARTIIND,stop_run,short,442,297,0.3603,0.7694,-0.3937,1.101,4.949,0.677,7.52
AARTIIND,stop_run,long,442,309,0.3074,0.8278,-0.3882,0.947,19.835,-0.388,-4.43
AAVAS,stop_run,short,442,280,0.3357,0.7042,-0.3766,0.945,16.705,-0.393,-3.85
AAVAS,stop_run,long,442,287,0.3345,0.7247,-0.3738,0.975,17.361,-0.177,-1.82
ABBOTINDIA,stop_run,short,442,266,0.3534,0.7348,-0.3761,1.068,5.45,0.454,4.38
ABBOTINDIA,stop_run,long,442,285,0.3263,0.7192,-0.3812,0.914,13.046,-0.63,-6.31
ABCAPITAL,stop_run,short,442,312,0.3429,0.8382,-0.3826,1.143,5.38,0.939,11.25
ABCAPITAL,stop_run,long,442,319,0.3009,0.8198,-0.3916,0.901,12.627,-0.734,-8.63
ACC,stop_run,short,442,279,0.3943,0.6634,-0.3656,1.181,9.343,1.142,11.2
ACC,stop_run,long,442,278,0.3309,0.6193,-0.3801,0.806,17.649,-1.503,-13.72
ADANIGREEN,stop_run,short,442,286,0.3741,0.8218,-0.3858,1.273,4.855,1.694,18.87
ADANIGREEN,stop_run,long,442,324,0.2222,0.8038,-0.3894,0.59,41.849,-3.771,-40.25
ADANIPOWER,stop_run,short,442,238,0.3655,0.7892,-0.3914,1.162,7.949,1.06,9.56
ADANIPOWER,stop_run,long,442,261,0.249,0.792,-0.3829,0.686,30.548,-2.662,-23.57
ADVENZYMES,stop_run,short,442,289,0.3218,0.8974,-0.392,1.086,9.31,0.587,6.63
ADVENZYMES,stop_run,long,442,316,0.2753,0.9291,-0.3959,0.892,12.813,-0.818,-9.83
AFFLE,stop_run,short,442,290,0.3724,0.8511,-0.3972,1.272,4.906,1.7,19.63
AFFLE,stop_run,long,442,305,0.3148,0.8569,-0.3849,1.023,12.056,0.157,1.81
AIAENG,stop_run,short,442,272,0.3419,0.7496,-0.3882,1.003,7.434,0.022,0.22
AIAENG,stop_run,long,442,280,0.375,0.8201,-0.3777,1.303,7.747,1.839,20.01
AJANTPHARM,stop_run,short,442,301,0.3555,0.8184,-0.3954,1.142,5.165,0.933,10.86
AJANTPHARM,stop_run,long,442,285,0.2667,0.8232,-0.3879,0.772,24.487,-1.83,-18.5
ALKEM,stop_run,short,442,294,0.3333,0.691,-0.3755,0.92,10.88,-0.581,-5.87
ALKEM,stop_run,long,442,287,0.3415,0.7202,-0.3748,0.996,9.411,-0.025,-0.26
AMBER,stop_run,short,442,315,0.3365,0.7785,-0.3893,1.014,11.867,0.099,1.16
AMBER,stop_run,long,442,306,0.3431,0.7893,-0.3943,1.046,11.488,0.313,3.61
APLAPOLLO,stop_run,short,442,294,0.3163,0.7504,-0.3822,0.908,11.829,-0.671,-7.04
APLAPOLLO,stop_run,long,442,304,0.273,0.7403,-0.3834,0.725,24.891,-2.265,-23.29
APLLTD,stop_run,short,442,297,0.3199,0.8152,-0.3885,0.987,15.286,-0.093,-1.03
APLLTD,stop_run,long,442,294,0.2925,0.8569,-0.3854,0.919,16.055,-0.592,-6.48
APOLLOTYRE,stop_run,short,442,308,0.3279,0.7879,-0.3854,0.998,12.006,-0.017,-0.19
APOLLOTYRE,stop_run,long,442,296,0.3243,0.7631,-0.3736,0.98,8.997,-0.137,-1.47
ASAHIINDIA,stop_run,short,442,298,0.3322,0.9009,-0.3945,1.136,5.837,0.908,10.68
ASAHIINDIA,stop_run,long,442,307,0.2866,0.9126,-0.3922,0.935,16.952,-0.476,-5.59
ASHOKA,stop_run,short,442,258,0.4109,0.8791,-0.3926,1.562,4.8,3.166,33.51
ASHOKA,stop_run,long,442,317,0.2587,0.8632,-0.3941,0.764,23.428,-1.915,-21.83
ASHOKLEY,stop_run,short,442,251,0.3386,0.7274,-0.3847,0.968,10.458,-0.228,-2.03
ASHOKLEY,stop_run,long,442,243,0.3333,0.6982,-0.3905,0.894,11.577,-0.79,-6.71
ASTERDM,stop_run,short,442,279,0.3297,0.8096,-0.3836,1.038,11.287,0.262,2.74
ASTERDM,stop_run,long,442,278,0.3705,0.7305,-0.3812,1.128,12.266,0.835,8.53
ASTRAL,stop_run,short,442,292,0.3322,0.7527,-0.3868,0.968,10.282,-0.227,-2.41
ASTRAL,stop_run,long,442,298,0.2651,0.7145,-0.392,0.657,34.865,-2.982,-29.41
ATUL,stop_run,short,442,275,0.3345,0.7029,-0.383,0.923,10.095,-0.561,-5.43
ATUL,stop_run,long,442,258,0.3256,0.7292,-0.3807,0.925,8.941,-0.539,-4.98
AUBANK,stop_run,short,442,314,0.3408,0.716,-0.3867,0.957,10.915,-0.305,-3.43
AUBANK,stop_run,long,442,299,0.3311,0.714,-0.3826,0.924,12.41,-0.554,-5.83
AUROPHARMA,stop_run,short,442,311,0.328,0.7059,-0.3949,0.873,11.161,-0.966,-10.52
AUROPHARMA,stop_run,long,442,303,0.2871,0.8329,-0.3827,0.877,18.007,-0.925,-10.19
BAJAJCON,stop_run,short,442,289,0.3841,0.8384,-0.3872,1.35,10.545,2.117,24.15
BAJAJCON,stop_run,long,442,303,0.2838,0.803,-0.3856,0.825,24.933,-1.347,-14.61
BAJAJELEC,stop_run,short,442,268,0.3396,0.7104,-0.3829,0.954,6.968,-0.329,-3.12
BAJAJELEC,stop_run,long,442,309,0.3042,0.7394,-0.385,0.84,17.092,-1.223,-13.27
BAJAJHLDNG,stop_run,short,442,276,0.3225,0.747,-0.382,0.931,10.777,-0.501,-4.95
BAJAJHLDNG,stop_run,long,442,274,0.3212,0.7543,-0.3668,0.973,9.44,-0.189,-1.84
BALKRISIND,stop_run,short,442,301,0.3223,0.7551,-0.3808,0.943,10.964,-0.41,-4.43
BALKRISIND,stop_run,long,442,298,0.349,0.7666,-0.3826,1.074,9.678,0.497,5.49
BALMLAWRIE,stop_run,short,442,258,0.3605,0.7678,-0.3863,1.12,7.876,0.795,7.66
BALMLAWRIE,stop_run,long,442,302,0.3079,0.7256,-0.382,0.845,19.168,-1.175,-12.35
BALRAMCHIN,stop_run,short,442,302,0.3212,0.7814,-0.3876,0.954,12.051,-0.333,-3.67
BALRAMCHIN,stop_run,long,442,271,0.3173,0.7854,-0.3914,0.933,13.23,-0.489,-4.87
BANDHANBNK,stop_run,short,442,287,0.3449,0.8087,-0.3881,1.097,5.682,0.655,7.1
BANDHANBNK,stop_run,long,442,300,0.2867,0.7925,-0.3854,0.826,19.119,-1.334,-14.31
BANKINDIA,stop_run,short,442,274,0.3723,0.7862,-0.3951,1.18,5.979,1.175,12.25
BANKINDIA,stop_run,long,442,278,0.2734,0.7614,-0.3843,0.745,23.856,-2.074,-19.77
BASF,stop_run,short,442,262,0.355,0.8042,-0.3901,1.134,6.2,0.886,8.86
BASF,stop_run,long,442,293,0.2969,0.8203,-0.3859,0.898,15.179,-0.759,-8.12
BATAINDIA,stop_run,short,442,236,0.4153,0.6806,-0.3662,1.32,4.528,1.904,16.17
BATAINDIA,stop_run,long,442,265,0.3132,0.5622,-0.3727,0.688,23.379,-2.601,-21.18
BAYERCROP,stop_run,short,442,268,0.3358,0.7751,-0.3854,1.017,10.3,0.116,1.15
BAYERCROP,stop_run,long,442,285,0.2807,0.754,-0.3695,0.796,22.288,-1.574,-15.42
BDL,stop_run,short,442,324,0.3333,0.8375,-0.3926,1.067,11.371,0.457,5.64
BDL,stop_run,long,442,323,0.2755,0.8766,-0.3889,0.857,22.127,-1.086,-12.98
BEML,stop_run,short,442,303,0.4026,0.8187,-0.3896,1.417,4.353,2.456,29.37
BEML,stop_run,long,442,311,0.2733,0.8276,-0.3953,0.787,20.784,-1.691,-18.98
BERGEPAINT,stop_run,short,442,273,0.3553,0.7306,-0.3836,1.05,6.806,0.339,3.36
BERGEPAINT,stop_run,long,442,276,0.337,0.7149,-0.3823,0.95,15.648,-0.358,-3.47
BHARATFORG,stop_run,short,442,314,0.3344,0.7931,-0.3894,1.023,7.743,0.161,1.89
BHARATFORG,stop_run,long,442,302,0.3013,0.8221,-0.3922,0.904,13.079,-0.715,-7.95
BHEL,stop_run,short,442,326,0.3221,0.8654,-0.3923,1.048,8.218,0.333,4.18
BHEL,stop_run,long,442,324,0.2901,0.8551,-0.3866,0.904,17.858,-0.711,-8.53
BIOCON,stop_run,short,442,295,0.3797,0.7935,-0.3907,1.243,5.057,1.539,17.38
