symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
ASAHIINDIA,multi_bar,long,442,268,0.2836,0.921,-0.3946,0.924,15.864,-0.563,-5.77
ASAHIINDIA,multi_bar,short,442,77,0.2987,0.9171,-0.4,0.977,3.085,-0.169,-0.51
ASHOKA,multi_bar,long,442,253,0.2332,0.8726,-0.3959,0.67,27.542,-2.869,-25.33
ASHOKA,multi_bar,short,442,92,0.3261,0.9353,-0.4,1.131,4.2,0.872,3.26
ASHOKLEY,multi_bar,long,442,302,0.3444,0.7756,-0.3765,1.082,11.44,0.546,6.11
ASHOKLEY,multi_bar,short,442,79,0.3671,0.889,-0.3847,1.34,3.4,2.055,6.54
ASTERDM,multi_bar,long,442,298,0.3255,0.8372,-0.3936,1.027,9.688,0.185,2.1
ASTERDM,multi_bar,short,442,75,0.32,0.8815,-0.3837,1.081,4.328,0.544,1.59
ASTRAL,multi_bar,long,442,303,0.3069,0.7914,-0.3875,0.904,24.821,-0.709,-7.78
ASTRAL,multi_bar,short,442,65,0.3692,0.756,-0.3982,1.111,2.327,0.742,1.82
ATUL,multi_bar,long,442,276,0.3188,0.7686,-0.3759,0.957,8.842,-0.304,-3.03
ATUL,multi_bar,short,442,64,0.5469,0.7048,-0.4,2.127,1.983,5.213,13.07
AUBANK,multi_bar,long,442,316,0.3386,0.7991,-0.3882,1.054,11.028,0.369,4.37
AUBANK,multi_bar,short,442,67,0.2836,0.8921,-0.3813,0.926,6.0,-0.541,-1.35
AUROPHARMA,multi_bar,long,442,312,0.3205,0.8361,-0.3913,1.008,9.676,0.055,0.65
AUROPHARMA,multi_bar,short,442,64,0.3594,0.867,-0.4,1.216,3.571,1.379,3.54
BAJAJCON,multi_bar,long,442,261,0.3027,0.9041,-0.3927,0.999,11.97,-0.005,-0.05
BAJAJCON,multi_bar,short,442,80,0.35,0.8918,-0.394,1.219,3.6,1.397,4.48
BAJAJELEC,multi_bar,long,442,230,0.3217,0.7889,-0.3896,0.961,10.1,-0.282,-2.39
BAJAJELEC,multi_bar,short,442,62,0.371,0.9591,-0.3912,1.446,5.6,2.621,6.8
BAJAJHLDNG,multi_bar,long,442,263,0.3384,0.851,-0.3833,1.136,9.337,0.89,9.04
BAJAJHLDNG,multi_bar,short,442,73,0.3288,0.7994,-0.3956,0.99,6.748,-0.071,-0.2
BALKRISIND,multi_bar,long,442,302,0.3278,0.7865,-0.3786,1.013,9.653,0.091,1.01
BALKRISIND,multi_bar,short,442,61,0.2951,0.8802,-0.4,0.921,4.556,-0.58,-1.36
BALMLAWRIE,multi_bar,long,442,228,0.307,0.8389,-0.3876,0.959,15.104,-0.296,-2.52
BALMLAWRIE,multi_bar,short,442,90,0.3444,0.7541,-0.39,1.016,6.923,0.11,0.36
BALRAMCHIN,multi_bar,long,442,267,0.3521,0.858,-0.3897,1.196,10.385,1.259,13.24
BALRAMCHIN,multi_bar,short,442,78,0.3462,0.8159,-0.3943,1.095,2.84,0.643,1.92
BANDHANBNK,multi_bar,long,442,277,0.3321,0.8354,-0.3883,1.07,6.218,0.477,5.03
BANDHANBNK,multi_bar,short,442,65,0.2615,0.9089,-0.3844,0.837,6.07,-1.258,-3.0
BANKINDIA,multi_bar,long,442,294,0.3401,0.8581,-0.3819,1.158,8.884,1.03,11.73
BANKINDIA,multi_bar,short,442,95,0.3158,0.7106,-0.3911,0.839,6.831,-1.231,-4.11
BASF,multi_bar,long,442,259,0.3282,0.8804,-0.3933,1.093,8.256,0.631,6.39
BASF,multi_bar,short,442,79,0.4051,0.8411,-0.4,1.432,4.8,2.535,8.12
BATAINDIA,multi_bar,long,442,248,0.3065,0.7001,-0.3735,0.828,13.421,-1.305,-11.04
BATAINDIA,multi_bar,short,442,61,0.377,0.6426,-0.3651,1.065,2.847,0.424,0.91
BAYERCROP,multi_bar,long,442,272,0.261,0.864,-0.3883,0.786,26.509,-1.71,-16.71
BAYERCROP,multi_bar,short,442,49,0.3673,0.8866,-0.4,1.287,2.0,1.785,3.56
BDL,multi_bar,long,442,270,0.3111,0.9521,-0.3968,1.083,8.26,0.572,6.16
BDL,multi_bar,short,442,98,0.2551,0.8907,-0.4,0.763,8.247,-1.934,-6.93
BEML,multi_bar,long,442,235,0.2723,0.9591,-0.3981,0.902,13.835,-0.74,-6.7
BEML,multi_bar,short,442,106,0.3113,0.8754,-0.3894,1.016,7.052,0.114,0.46
BERGEPAINT,multi_bar,long,442,277,0.3357,0.7398,-0.3864,0.968,8.768,-0.231,-2.3
BERGEPAINT,multi_bar,short,442,52,0.3077,0.6954,-0.3919,0.789,5.314,-1.669,-2.98
BHARATFORG,multi_bar,long,442,315,0.3397,0.7966,-0.3881,1.056,5.946,0.38,4.51
BHARATFORG,multi_bar,short,442,73,0.3014,0.7944,-0.4,0.857,9.112,-1.087,-2.92
BHEL,multi_bar,long,442,299,0.3278,0.8861,-0.39,1.108,8.118,0.722,8.44
BHEL,multi_bar,short,442,83,0.3494,0.889,-0.3911,1.221,3.2,1.412,4.66
BIOCON,multi_bar,long,442,308,0.2727,0.7983,-0.3889,0.77,23.274,-1.843,-20.06
BIOCON,multi_bar,short,442,92,0.3587,0.8581,-0.4,1.2,4.646,1.295,4.72
BIRLACORPN,multi_bar,long,442,270,0.263,0.8584,-0.3832,0.799,19.201,-1.574,-15.32
BIRLACORPN,multi_bar,short,442,64,0.3438,0.8787,-0.3912,1.177,3.144,1.143,2.9
BLUEDART,multi_bar,long,442,269,0.3011,0.8264,-0.3855,0.924,16.323,-0.558,-5.53
BLUEDART,multi_bar,short,442,70,0.4286,0.7311,-0.3867,1.418,2.892,2.438,6.47
BLUESTARCO,multi_bar,long,442,291,0.3814,0.871,-0.3867,1.389,5.078,2.309,27.08
BLUESTARCO,multi_bar,short,442,76,0.3026,0.947,-0.4,1.027,7.0,0.192,0.58
BOSCHLTD,multi_bar,long,442,298,0.3356,0.7879,-0.3869,1.029,6.717,0.199,2.19
BOSCHLTD,multi_bar,short,442,88,0.4205,0.6909,-0.3634,1.379,4.026,2.192,7.03
BRIGADE,multi_bar,long,442,261,0.2989,0.9285,-0.3918,1.01,8.736,0.072,0.73
BRIGADE,multi_bar,short,442,75,0.4133,0.8851,-0.4,1.559,2.257,3.143,9.84
BSE,multi_bar,long,442,267,0.3371,0.9066,-0.3913,1.178,9.761,1.156,12.33
BSE,multi_bar,short,442,94,0.383,0.9111,-0.4,1.414,3.111,2.466,9.6
BSOFT,multi_bar,long,442,254,0.3228,0.886,-0.3944,1.071,6.723,0.485,4.83
BSOFT,multi_bar,short,442,89,0.4157,0.8474,-0.3926,1.536,2.274,3.031,10.94
CANBK,multi_bar,long,442,296,0.3007,0.8326,-0.3874,0.924,13.236,-0.554,-6.09
CANBK,multi_bar,short,442,78,0.3718,0.7758,-0.3823,1.201,6.113,1.28,3.76
CANFINHOME,multi_bar,long,442,284,0.3134,0.8411,-0.3901,0.984,10.38,-0.112,-1.2
CANFINHOME,multi_bar,short,442,82,0.3049,0.9502,-0.3838,1.086,3.4,0.579,1.88
CAPLIPOINT,multi_bar,long,442,285,0.2316,0.883,-0.394,0.675,31.427,-2.813,-28.01
CAPLIPOINT,multi_bar,short,442,66,0.303,0.9351,-0.4,1.016,4.2,0.116,0.3
CARBORUNIV,multi_bar,long,442,251,0.2988,0.9084,-0.3916,0.989,13.865,-0.081,-0.78
