label,params,train_n,train_wr,train_pf,train_dd,train_sharpe,test_n,test_wr,test_pf,test_dd,test_sharpe,wr_drift,pf_drift,passes
top1_4bar_55_belowvwap_15_10,"{'n_bars': 4, 'rsi_max': 55, 'nifty': 'below_vwap_b3', 'tp': 1.5, 'sl': 1.0, 'hold': 60}",187,0.5668,1.544,6.07,4.375,57,0.5965,1.692,3.108,4.397,-0.0296,-0.148,1
top2_3bar_70_both_10_05,"{'n_bars': 3, 'rsi_max': 70, 'nifty': 'both', 'tp': 1.0, 'sl': 0.5, 'hold': 60}",373,0.4638,1.511,5.0,5.816,102,0.3627,1.052,4.612,0.635,0.1011,0.459,0
top3_3bar_55_b3neg_07_06,"{'n_bars': 3, 'rsi_max': 55, 'nifty': 'b3_change_neg', 'tp': 0.7, 'sl': 0.6, 'hold': 60}",384,0.5547,1.371,4.141,4.295,107,0.5421,1.432,5.99,4.338,0.0126,-0.061,0
top4_4bar_55_belowvwap_15_07,"{'n_bars': 4, 'rsi_max': 55, 'nifty': 'below_vwap_b3', 'tp': 1.5, 'sl': 0.7, 'hold': 60}",187,0.4973,1.494,5.863,4.205,57,0.5263,1.671,2.797,4.464,-0.029,-0.177,1
top5_3bar_55_both_10_07,"{'n_bars': 3, 'rsi_max': 55, 'nifty': 'both', 'tp': 1.0, 'sl': 0.7, 'hold': 60}",269,0.5465,1.402,6.645,4.366,76,0.5,1.486,3.693,4.132,0.0465,-0.083,1
top6_3bar_55_b3negstrong_07_04,"{'n_bars': 3, 'rsi_max': 55, 'nifty': 'b3_change_neg_strong', 'tp': 0.7, 'sl': 0.4, 'hold': 60}",109,0.4037,1.086,7.099,1.201,30,0.4333,1.338,2.1,3.982,-0.0297,-0.252,0
