symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
APOLLOTYRE,failed_breakout,long,442,207,0.2802,0.8108,-0.3895,0.81,15.872,-1.48,-11.0
ASAHIINDIA,failed_breakout,short,442,203,0.3103,0.9384,-0.3976,1.062,16.961,0.429,3.46
ASAHIINDIA,failed_breakout,long,442,205,0.3024,0.9003,-0.3972,0.983,10.986,-0.124,-0.99
ASHOKA,failed_breakout,short,442,176,0.4091,0.8277,-0.3963,1.446,4.307,2.602,18.38
ASHOKA,failed_breakout,long,442,167,0.2994,0.8907,-0.4,0.952,12.948,-0.354,-2.26
ASHOKLEY,failed_breakout,short,442,211,0.3649,0.8194,-0.3927,1.199,6.448,1.29,10.47
ASHOKLEY,failed_breakout,long,442,210,0.3286,0.8333,-0.378,1.079,6.361,0.531,4.2
ASTERDM,failed_breakout,short,442,193,0.2383,0.8752,-0.3976,0.689,19.399,-2.673,-18.19
ASTERDM,failed_breakout,long,442,200,0.265,0.9379,-0.3915,0.864,14.659,-1.038,-7.84
ASTRAL,failed_breakout,short,442,205,0.2976,0.7691,-0.3949,0.825,16.251,-1.355,-9.95
ASTRAL,failed_breakout,long,442,209,0.2632,0.8644,-0.3878,0.796,15.541,-1.616,-12.18
ATUL,failed_breakout,short,442,183,0.3169,0.7802,-0.3923,0.923,11.267,-0.564,-3.78
ATUL,failed_breakout,long,442,192,0.3177,0.7817,-0.3966,0.918,13.921,-0.607,-4.27
AUBANK,failed_breakout,short,442,212,0.2689,0.8527,-0.3933,0.797,16.794,-1.613,-12.36
AUBANK,failed_breakout,long,442,207,0.3671,0.792,-0.386,1.19,8.211,1.218,9.63
AUROPHARMA,failed_breakout,short,442,223,0.3229,0.8523,-0.395,1.029,7.552,0.203,1.72
AUROPHARMA,failed_breakout,long,442,220,0.2818,0.8646,-0.3874,0.876,17.16,-0.933,-7.6
BAJAJCON,failed_breakout,short,442,195,0.3179,0.9142,-0.399,1.068,6.155,0.47,3.61
BAJAJCON,failed_breakout,long,442,192,0.2656,0.8969,-0.3975,0.816,11.95,-1.448,-10.3
BAJAJELEC,failed_breakout,short,442,188,0.3564,0.8385,-0.388,1.197,8.391,1.262,9.23
BAJAJELEC,failed_breakout,long,442,176,0.2841,0.8537,-0.3912,0.866,12.482,-1.014,-6.61
BAJAJHLDNG,failed_breakout,short,442,166,0.3133,0.8498,-0.381,1.018,11.43,0.122,0.76
BAJAJHLDNG,failed_breakout,long,442,173,0.3295,0.8591,-0.4,1.055,8.988,0.38,2.57
BALKRISIND,failed_breakout,short,442,190,0.3158,0.89,-0.3866,1.062,8.0,0.428,3.14
BALKRISIND,failed_breakout,long,442,203,0.3251,0.8388,-0.3912,1.033,5.515,0.229,1.77
BALMLAWRIE,failed_breakout,short,442,191,0.3351,0.7729,-0.3856,1.01,5.447,0.07,0.49
BALMLAWRIE,failed_breakout,long,442,180,0.2667,0.9386,-0.3925,0.87,12.832,-0.994,-6.75
BALRAMCHIN,failed_breakout,short,442,202,0.3218,0.8717,-0.3918,1.056,11.468,0.385,2.98
BALRAMCHIN,failed_breakout,long,442,201,0.3682,0.9392,-0.4,1.368,4.945,2.252,18.7
BANDHANBNK,failed_breakout,short,442,210,0.3619,0.8166,-0.3922,1.181,8.61,1.175,9.51
BANDHANBNK,failed_breakout,long,442,223,0.3274,0.8451,-0.3904,1.053,5.845,0.367,3.12
BANKINDIA,failed_breakout,short,442,223,0.3139,0.7761,-0.3861,0.92,13.119,-0.591,-4.75
BANKINDIA,failed_breakout,long,442,218,0.3303,0.8761,-0.3907,1.106,5.835,0.708,6.03
BASF,failed_breakout,short,442,186,0.328,0.8745,-0.3983,1.071,7.621,0.494,3.55
BASF,failed_breakout,long,442,174,0.2931,0.9314,-0.3948,0.978,7.6,-0.156,-1.06
BATAINDIA,failed_breakout,short,442,176,0.3636,0.697,-0.382,1.043,5.195,0.29,1.83
BATAINDIA,failed_breakout,long,442,178,0.2921,0.8085,-0.3885,0.859,10.051,-1.08,-6.92
BAYERCROP,failed_breakout,short,442,212,0.3868,0.8267,-0.3857,1.352,4.0,2.115,17.65
BAYERCROP,failed_breakout,long,442,216,0.2917,0.8877,-0.3917,0.933,12.078,-0.488,-4.0
BDL,failed_breakout,short,442,202,0.3218,0.8929,-0.4,1.059,6.326,0.409,3.24
BDL,failed_breakout,long,442,202,0.2921,0.9572,-0.3965,0.996,11.492,-0.028,-0.22
BEML,failed_breakout,short,442,198,0.3434,0.8757,-0.4,1.145,6.4,0.961,7.54
BEML,failed_breakout,long,442,194,0.2423,0.9577,-0.3974,0.771,19.716,-1.864,-13.4
BERGEPAINT,failed_breakout,short,442,201,0.2687,0.747,-0.3862,0.711,19.567,-2.46,-16.43
BERGEPAINT,failed_breakout,long,442,202,0.2574,0.8525,-0.3886,0.761,15.019,-1.929,-13.96
BHARATFORG,failed_breakout,short,442,219,0.3333,0.8184,-0.3923,1.043,9.007,0.298,2.47
BHARATFORG,failed_breakout,long,442,217,0.3272,0.8328,-0.3948,1.026,12.548,0.181,1.49
BHEL,failed_breakout,short,442,228,0.3202,0.9029,-0.3905,1.089,7.582,0.604,5.38
BHEL,failed_breakout,long,442,233,0.2747,0.9087,-0.3962,0.868,12.02,-1.001,-8.81
BIOCON,failed_breakout,short,442,230,0.3522,0.8135,-0.4,1.106,9.444,0.713,6.29
BIOCON,failed_breakout,long,442,228,0.2895,0.9441,-0.3948,0.974,11.337,-0.186,-1.65
BIRLACORPN,failed_breakout,short,442,202,0.3416,0.8633,-0.3876,1.156,9.435,1.02,8.02
BIRLACORPN,failed_breakout,long,442,209,0.2584,0.883,-0.3967,0.775,17.01,-1.812,-13.81
BLUEDART,failed_breakout,short,442,170,0.4176,0.755,-0.3964,1.366,5.071,2.209,14.36
BLUEDART,failed_breakout,long,442,177,0.2825,0.8033,-0.3931,0.805,16.136,-1.543,-9.76
BLUESTARCO,failed_breakout,short,442,191,0.3351,0.9518,-0.3996,1.2,5.452,1.307,10.17
BLUESTARCO,failed_breakout,long,442,189,0.3651,0.8405,-0.4,1.208,7.53,1.341,9.99
BOSCHLTD,failed_breakout,short,442,212,0.4057,0.762,-0.3827,1.359,6.029,2.138,17.31
BOSCHLTD,failed_breakout,long,442,206,0.2816,0.8107,-0.385,0.825,11.615,-1.349,-9.95
BRIGADE,failed_breakout,short,442,202,0.3218,0.9266,-0.398,1.105,8.802,0.708,5.7
BRIGADE,failed_breakout,long,442,197,0.3299,0.9342,-0.3914,1.175,11.5,1.146,9.06
BSE,failed_breakout,short,442,182,0.2857,0.9066,-0.3957,0.916,9.398,-0.622,-4.3
BSE,failed_breakout,long,442,198,0.2626,0.9301,-0.4,0.828,18.143,-1.347,-10.03
BSOFT,failed_breakout,short,442,197,0.335,0.903,-0.3907,1.164,4.4,1.081,8.42
BSOFT,failed_breakout,long,442,189,0.2381,0.9247,-0.3977,0.727,25.339,-2.274,-15.65
