symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
BHARTIARTL,nr_breakout,long,436,347,0.366,0.6413,-0.3562,1.039,8.545,0.259,3.08
BHARTIARTL,nr_breakout,short,436,207,0.4155,0.5864,-0.366,1.139,5.112,0.891,6.15
HDFCBANK,nr_breakout,long,436,356,0.3483,0.5266,-0.3484,0.808,16.898,-1.453,-15.52
HDFCBANK,nr_breakout,short,436,183,0.4426,0.4187,-0.338,0.984,6.477,-0.111,-0.57
ICICIBANK,nr_breakout,long,436,345,0.429,0.5126,-0.3576,1.077,6.735,0.498,5.42
ICICIBANK,nr_breakout,short,436,189,0.3862,0.4817,-0.3565,0.85,9.302,-1.107,-6.19
INFY,nr_breakout,long,436,330,0.4242,0.6126,-0.3666,1.231,7.81,1.414,16.1
INFY,nr_breakout,short,436,195,0.3846,0.5041,-0.3682,0.856,8.121,-1.067,-6.38
KOTAKBANK,nr_breakout,long,436,352,0.3636,0.6606,-0.3707,1.018,10.347,0.124,1.51
KOTAKBANK,nr_breakout,short,436,184,0.4402,0.5261,-0.3734,1.108,7.561,0.696,4.16
SBIN,nr_breakout,long,436,354,0.3446,0.6116,-0.361,0.891,19.811,-0.786,-9.14
SBIN,nr_breakout,short,436,242,0.438,0.5282,-0.3493,1.179,4.011,1.083,8.49
TCS,nr_breakout,long,436,326,0.3405,0.5794,-0.3619,0.827,14.758,-1.297,-13.49
TCS,nr_breakout,short,436,194,0.4227,0.5514,-0.3456,1.168,5.927,1.051,6.51
ITC,nr_breakout,long,436,345,0.3826,0.5634,-0.3436,1.016,7.457,0.108,1.2
ITC,nr_breakout,short,436,190,0.4789,0.5579,-0.359,1.429,3.372,2.377,15.23
HINDUNILVR,nr_breakout,long,436,350,0.3886,0.5684,-0.3543,1.019,12.17,0.13,1.47
HINDUNILVR,nr_breakout,short,436,214,0.3832,0.5371,-0.3567,0.935,9.027,-0.456,-3.04
RELIANCE,nr_breakout,long,436,359,0.3733,0.5478,-0.3614,0.903,9.076,-0.695,-7.92
RELIANCE,nr_breakout,short,436,228,0.4211,0.4366,-0.3625,0.876,11.308,-0.907,-5.93
AARTIIND,nr_breakout,long,442,332,0.2831,0.8756,-0.3875,0.892,16.445,-0.808,-9.93
AARTIIND,nr_breakout,short,442,215,0.3535,0.8217,-0.3896,1.153,4.99,1.004,8.3
AAVAS,nr_breakout,long,442,304,0.3487,0.8083,-0.3807,1.137,8.993,0.893,10.3
AAVAS,nr_breakout,short,442,204,0.3529,0.7867,-0.3812,1.126,7.107,0.824,6.33
ABBOTINDIA,nr_breakout,long,442,350,0.2686,0.8198,-0.3807,0.791,25.079,-1.648,-20.41
ABBOTINDIA,nr_breakout,short,442,236,0.4195,0.6913,-0.3721,1.342,4.256,2.023,17.45
ABCAPITAL,nr_breakout,long,442,362,0.2652,0.8845,-0.3965,0.805,23.2,-1.548,-20.56
ABCAPITAL,nr_breakout,short,442,232,0.4095,0.8154,-0.39,1.45,5.479,2.608,24.04
ACC,nr_breakout,long,442,339,0.2861,0.7456,-0.3725,0.802,20.297,-1.535,-17.83
ACC,nr_breakout,short,442,220,0.4,0.5803,-0.3707,1.044,6.681,0.291,2.13
ADANIGREEN,nr_breakout,long,442,303,0.2508,0.8849,-0.395,0.75,23.678,-2.049,-22.41
ADANIGREEN,nr_breakout,short,442,242,0.405,0.7754,-0.386,1.367,5.419,2.193,20.4
ADANIPOWER,nr_breakout,long,442,293,0.2799,0.9616,-0.394,0.948,12.397,-0.376,-4.28
ADANIPOWER,nr_breakout,short,442,249,0.4257,0.7969,-0.3967,1.489,4.758,2.834,27.75
ADVENZYMES,nr_breakout,long,442,339,0.3097,0.937,-0.3984,1.055,11.998,0.383,5.15
ADVENZYMES,nr_breakout,short,442,235,0.3447,0.9237,-0.3893,1.248,9.007,1.572,14.87
AFFLE,nr_breakout,long,442,329,0.3222,0.913,-0.3929,1.105,10.81,0.705,9.16
AFFLE,nr_breakout,short,442,224,0.3482,0.8477,-0.3912,1.157,8.859,1.032,9.0
AIAENG,nr_breakout,long,442,339,0.3422,0.869,-0.376,1.202,7.79,1.289,16.95
AIAENG,nr_breakout,short,442,207,0.372,0.7847,-0.3872,1.2,5.281,1.278,10.09
AJANTPHARM,nr_breakout,long,442,326,0.362,0.8339,-0.3927,1.205,6.181,1.307,16.72
AJANTPHARM,nr_breakout,short,442,233,0.309,0.7923,-0.385,0.92,13.408,-0.584,-4.93
ALKEM,nr_breakout,long,442,356,0.3146,0.7592,-0.3805,0.916,20.116,-0.611,-7.81
ALKEM,nr_breakout,short,442,240,0.3625,0.7328,-0.3858,1.08,7.261,0.539,4.74
AMBER,nr_breakout,long,442,317,0.3312,0.8871,-0.397,1.107,6.979,0.719,8.98
AMBER,nr_breakout,short,442,228,0.3158,0.8875,-0.3911,1.047,9.883,0.328,2.89
APLAPOLLO,nr_breakout,long,442,346,0.3179,0.8214,-0.3932,0.974,12.177,-0.19,-2.45
APLAPOLLO,nr_breakout,short,442,215,0.3302,0.8221,-0.3839,1.056,12.027,0.381,3.1
APLLTD,nr_breakout,long,442,344,0.282,0.8816,-0.3935,0.88,15.888,-0.905,-11.67
APLLTD,nr_breakout,short,442,223,0.3004,0.8622,-0.3927,0.943,7.623,-0.415,-3.49
APOLLOTYRE,nr_breakout,long,442,330,0.3485,0.7956,-0.3838,1.109,6.743,0.72,8.99
APOLLOTYRE,nr_breakout,short,442,221,0.3665,0.7592,-0.387,1.135,14.805,0.882,7.31
ASAHIINDIA,nr_breakout,long,442,355,0.2986,0.9072,-0.3919,0.985,12.004,-0.105,-1.43
ASAHIINDIA,nr_breakout,short,442,244,0.3566,0.8517,-0.3961,1.191,6.287,1.244,11.9
ASHOKA,nr_breakout,long,442,311,0.2186,0.9381,-0.3965,0.662,37.358,-2.962,-32.56
ASHOKA,nr_breakout,short,442,237,0.3797,0.8313,-0.3953,1.287,7.045,1.79,16.71
ASHOKLEY,nr_breakout,long,442,359,0.2925,0.8272,-0.392,0.872,20.667,-0.966,-12.71
ASHOKLEY,nr_breakout,short,442,229,0.3406,0.7328,-0.3831,0.988,6.144,-0.085,-0.7
