symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
ASHOKA,compression,short,442,103,0.4563,0.8005,-0.386,1.74,2.435,3.894,16.01
ASHOKLEY,compression,long,442,324,0.3333,0.7721,-0.3844,1.004,16.724,0.03,0.36
ASHOKLEY,compression,short,442,116,0.3448,0.6143,-0.3638,0.889,5.086,-0.8,-3.08
ASTERDM,compression,long,442,298,0.3389,0.817,-0.3904,1.073,9.468,0.495,5.6
ASTERDM,compression,short,442,100,0.27,0.6476,-0.3858,0.621,14.292,-3.324,-10.68
ASTRAL,compression,long,442,310,0.3258,0.6947,-0.3858,0.87,21.403,-0.978,-10.47
ASTRAL,compression,short,442,117,0.3077,0.6715,-0.386,0.773,12.075,-1.803,-7.09
ATUL,compression,long,442,317,0.3249,0.8427,-0.3757,1.08,12.649,0.534,6.4
ATUL,compression,short,442,120,0.3917,0.6863,-0.3808,1.161,4.815,1.032,4.46
AUBANK,compression,long,442,324,0.358,0.7548,-0.3817,1.103,9.559,0.682,8.18
AUBANK,compression,short,442,106,0.3113,0.6715,-0.3769,0.806,9.11,-1.491,-5.35
AUROPHARMA,compression,long,442,315,0.2921,0.8109,-0.3921,0.853,22.096,-1.121,-12.83
AUROPHARMA,compression,short,442,112,0.4196,0.7238,-0.4,1.308,3.293,1.89,8.02
BAJAJCON,compression,long,442,267,0.2884,0.8262,-0.3949,0.848,15.208,-1.173,-11.41
BAJAJCON,compression,short,442,111,0.3063,0.8279,-0.3792,0.964,5.991,-0.256,-1.05
BAJAJELEC,compression,long,442,307,0.2508,0.7118,-0.3845,0.62,34.192,-3.378,-33.62
BAJAJELEC,compression,short,442,98,0.3265,0.8209,-0.3871,1.028,7.713,0.194,0.72
BAJAJHLDNG,compression,long,442,292,0.3048,0.8179,-0.372,0.964,10.461,-0.255,-2.73
BAJAJHLDNG,compression,short,442,116,0.2931,0.6503,-0.379,0.711,8.569,-2.354,-8.97
BALKRISIND,compression,long,442,333,0.3363,0.7549,-0.383,0.999,17.153,-0.008,-0.1
BALKRISIND,compression,short,442,118,0.3305,0.7357,-0.3743,0.97,5.098,-0.21,-0.88
BALMLAWRIE,compression,long,442,269,0.2862,0.7705,-0.3767,0.82,19.731,-1.377,-12.99
BALMLAWRIE,compression,short,442,142,0.331,0.7235,-0.367,0.975,5.43,-0.173,-0.86
BALRAMCHIN,compression,long,442,293,0.3481,0.8422,-0.3884,1.158,8.777,1.031,11.71
BALRAMCHIN,compression,short,442,105,0.381,0.7184,-0.3911,1.13,6.042,0.851,3.31
BANDHANBNK,compression,long,442,291,0.3093,0.7719,-0.3881,0.891,15.176,-0.814,-8.53
BANDHANBNK,compression,short,442,104,0.3942,0.7558,-0.3906,1.259,5.769,1.623,6.38
BANKINDIA,compression,long,442,284,0.3275,0.7932,-0.381,1.014,17.017,0.094,0.99
BANKINDIA,compression,short,442,120,0.375,0.7365,-0.3761,1.175,4.827,1.123,4.93
BASF,compression,long,442,277,0.2708,0.8914,-0.3905,0.848,20.93,-1.175,-12.03
BASF,compression,short,442,112,0.3661,0.8442,-0.3754,1.298,3.973,1.821,7.96
BATAINDIA,compression,long,442,299,0.3144,0.6442,-0.3689,0.801,16.495,-1.533,-15.06
BATAINDIA,compression,short,442,130,0.3231,0.5822,-0.3658,0.76,10.498,-1.897,-7.74
BAYERCROP,compression,long,442,308,0.237,0.8615,-0.3888,0.688,35.735,-2.658,-28.49
BAYERCROP,compression,short,442,118,0.4407,0.7228,-0.372,1.531,4.4,2.911,13.03
BDL,compression,long,442,216,0.2963,0.8626,-0.3922,0.926,13.526,-0.544,-4.41
BDL,compression,short,442,92,0.3804,0.6202,-0.3833,0.994,4.486,-0.045,-0.14
BEML,compression,long,442,210,0.2857,0.8556,-0.3986,0.859,13.409,-1.088,-8.46
BEML,compression,short,442,118,0.322,0.6939,-0.3825,0.862,8.633,-1.042,-4.23
BERGEPAINT,compression,long,442,336,0.3661,0.744,-0.3752,1.145,5.468,0.942,11.58
BERGEPAINT,compression,short,442,98,0.3673,0.5507,-0.3833,0.834,7.195,-1.263,-3.94
BHARATFORG,compression,long,442,313,0.3419,0.8071,-0.3889,1.078,9.31,0.529,6.26
BHARATFORG,compression,short,442,126,0.381,0.8505,-0.3906,1.34,5.395,2.057,10.36
BHEL,compression,long,442,280,0.2929,0.8508,-0.3916,0.9,13.379,-0.747,-7.77
BHEL,compression,short,442,115,0.3217,0.7722,-0.377,0.972,9.533,-0.198,-0.83
BIOCON,compression,long,442,291,0.3058,0.8137,-0.3917,0.915,10.045,-0.624,-6.71
