label,universe,top_n,cash_leg,roc,ma,cost_bps,cagr,sharpe,sortino,max_drawdown,calmar,vol,turnover_annual,pct_in_cash,n_months,start,end,final_mult
core3_top2_cash_roc6_ma6,core3,2,True,roc6,ma6,20.0,16.37,1.342,2.525,-12.46,1.313,11.88,2.38,16.8,131,2015-08-31,2026-06-30,5.233
core3_top2_cash_roc6_noma,core3,2,True,roc6,noma,20.0,19.3,1.327,2.23,-19.91,0.969,14.12,2.06,9.2,131,2015-08-31,2026-06-30,6.867
core3_top2_cash_roc6_ma10,core3,2,True,roc6,ma10,20.0,17.19,1.213,2.011,-19.91,0.863,13.94,2.36,9.1,127,2015-12-31,2026-06-30,5.359
core3_top2_cash_blend_ma6,core3,2,True,blend,ma6,20.0,15.09,1.247,2.381,-13.64,1.106,11.89,2.4,13.2,125,2016-02-29,2026-06-30,4.324
core3_top2_cash_blend_noma,core3,2,True,blend,noma,20.0,17.91,1.22,2.127,-22.6,0.792,14.43,1.82,2.4,125,2016-02-29,2026-06-30,5.562
core3_top2_cash_blend_ma10,core3,2,True,blend,ma10,20.0,16.55,1.176,1.968,-22.56,0.734,13.9,2.11,6.4,125,2016-02-29,2026-06-30,4.932
core3_top3_nocash_roc12_ma6,core3,3,False,roc12,ma6,20.0,19.48,1.553,2.826,-11.26,1.73,12.0,0.05,0.0,125,2016-02-29,2026-06-30,6.385
core3_top3_nocash_roc12_noma,core3,3,False,roc12,noma,20.0,19.48,1.553,2.826,-11.26,1.73,12.0,0.05,0.0,125,2016-02-29,2026-06-30,6.385
core3_top3_nocash_roc12_ma10,core3,3,False,roc12,ma10,20.0,19.48,1.553,2.826,-11.26,1.73,12.0,0.05,0.0,125,2016-02-29,2026-06-30,6.385
core3_top3_nocash_roc6_ma6,core3,3,False,roc6,ma6,20.0,18.61,1.508,2.718,-11.26,1.653,11.85,0.05,0.0,131,2015-08-31,2026-06-30,6.442
core3_top3_nocash_roc6_noma,core3,3,False,roc6,noma,20.0,18.61,1.508,2.718,-11.26,1.653,11.85,0.05,0.0,131,2015-08-31,2026-06-30,6.442
core3_top3_nocash_roc6_ma10,core3,3,False,roc6,ma10,20.0,19.18,1.541,2.769,-11.26,1.704,11.92,0.05,0.0,127,2015-12-31,2026-06-30,6.405
core3_top3_nocash_blend_ma6,core3,3,False,blend,ma6,20.0,19.48,1.553,2.826,-11.26,1.73,12.0,0.05,0.0,125,2016-02-29,2026-06-30,6.385
core3_top3_nocash_blend_noma,core3,3,False,blend,noma,20.0,19.48,1.553,2.826,-11.26,1.73,12.0,0.05,0.0,125,2016-02-29,2026-06-30,6.385
core3_top3_nocash_blend_ma10,core3,3,False,blend,ma10,20.0,19.48,1.553,2.826,-11.26,1.73,12.0,0.05,0.0,125,2016-02-29,2026-06-30,6.385
core3_top3_cash_roc12_ma6,core3,3,True,roc12,ma6,20.0,10.56,1.27,2.316,-8.18,1.291,8.2,2.19,34.7,125,2016-02-29,2026-06-30,2.846
core3_top3_cash_roc12_noma,core3,3,True,roc12,noma,20.0,13.17,1.21,2.032,-11.62,1.134,10.74,0.98,15.7,125,2016-02-29,2026-06-30,3.628
core3_top3_cash_roc12_ma10,core3,3,True,roc12,ma10,20.0,10.76,1.106,1.819,-15.18,0.709,9.7,1.81,26.9,125,2016-02-29,2026-06-30,2.899
core3_top3_cash_roc6_ma6,core3,3,True,roc6,ma6,20.0,11.36,1.379,2.502,-8.87,1.281,8.07,2.12,35.4,131,2015-08-31,2026-06-30,3.236
core3_top3_cash_roc6_noma,core3,3,True,roc6,noma,20.0,13.56,1.295,1.939,-13.54,1.002,10.27,1.66,24.4,131,2015-08-31,2026-06-30,4.006
core3_top3_cash_roc6_ma10,core3,3,True,roc6,ma10,20.0,12.16,1.228,1.958,-13.54,0.898,9.76,1.84,26.5,127,2015-12-31,2026-06-30,3.367
core3_top3_cash_blend_ma6,core3,3,True,blend,ma6,20.0,11.85,1.381,2.529,-8.48,1.397,8.4,2.16,31.5,125,2016-02-29,2026-06-30,3.212
core3_top3_cash_blend_noma,core3,3,True,blend,noma,20.0,12.88,1.187,1.844,-15.46,0.833,10.74,1.39,18.1,125,2016-02-29,2026-06-30,3.534
core3_top3_cash_blend_ma10,core3,3,True,blend,ma10,20.0,12.63,1.261,2.061,-15.44,0.818,9.86,1.78,23.7,125,2016-02-29,2026-06-30,3.452
ext5_top1_nocash_roc12_ma6,ext5,1,False,roc12,ma6,20.0,4.71,0.333,0.497,-38.48,0.122,19.6,3.89,0.0,125,2016-02-29,2026-06-30,1.615
ext5_top1_nocash_roc12_noma,ext5,1,False,roc12,noma,20.0,4.71,0.333,0.497,-38.48,0.122,19.6,3.89,0.0,125,2016-02-29,2026-06-30,1.615
ext5_top1_nocash_roc12_ma10,ext5,1,False,roc12,ma10,20.0,4.71,0.333,0.497,-38.48,0.122,19.6,3.89,0.0,125,2016-02-29,2026-06-30,1.615
ext5_top1_nocash_roc6_ma6,ext5,1,False,roc6,ma6,20.0,14.05,0.739,1.209,-28.68,0.49,20.75,3.53,0.0,131,2015-08-31,2026-06-30,4.2
ext5_top1_nocash_roc6_noma,ext5,1,False,roc6,noma,20.0,14.05,0.739,1.209,-28.68,0.49,20.75,3.53,0.0,131,2015-08-31,2026-06-30,4.2
ext5_top1_nocash_roc6_ma10,ext5,1,False,roc6,ma10,20.0,14.98,0.771,1.259,-28.68,0.522,21.02,3.45,0.0,127,2015-12-31,2026-06-30,4.382
ext5_top1_nocash_blend_ma6,ext5,1,False,blend,ma6,20.0,10.28,0.56,0.85,-33.96,0.303,21.72,3.7,0.0,125,2016-02-29,2026-06-30,2.77
ext5_top1_nocash_blend_noma,ext5,1,False,blend,noma,20.0,10.28,0.56,0.85,-33.96,0.303,21.72,3.7,0.0,125,2016-02-29,2026-06-30,2.77
ext5_top1_nocash_blend_ma10,ext5,1,False,blend,ma10,20.0,10.28,0.56,0.85,-33.96,0.303,21.72,3.7,0.0,125,2016-02-29,2026-06-30,2.77
ext5_top1_cash_roc12_ma6,ext5,1,True,roc12,ma6,20.0,10.87,0.627,1.11,-27.13,0.401,19.46,3.98,0.0,125,2016-02-29,2026-06-30,2.93
ext5_top1_cash_roc12_noma,ext5,1,True,roc12,noma,20.0,4.71,0.333,0.497,-38.48,0.122,19.6,3.89,0.0,125,2016-02-29,2026-06-30,1.615
ext5_top1_cash_roc12_ma10,ext5,1,True,roc12,ma10,20.0,6.78,0.435,0.636,-31.38,0.216,19.46,3.79,0.0,125,2016-02-29,2026-06-30,1.98
ext5_top1_cash_roc6_ma6,ext5,1,True,roc6,ma6,20.0,14.27,0.783,1.49,-25.3,0.564,19.49,3.44,0.0,131,2015-08-31,2026-06-30,4.291
