name,cagr,sharpe,sortino,max_drawdown,calmar,vol,turnover_annual,pct_in_cash,final_mult,start,end
EqualWeight 3-asset (WINNER),19.48,1.553,2.826,-11.26,1.73,12.0,0.05,0.0,6.38,2016-02-29,2026-06-30
EqualWeight + trend filter,11.85,1.381,2.529,-8.48,1.397,8.4,2.16,31.5,3.21,2016-02-29,2026-06-30
Momentum top-2 (gated),16.37,1.342,2.525,-12.46,1.313,11.88,2.38,16.8,5.23,2015-08-31,2026-06-30
Slide top-1 (gated),10.95,0.624,1.072,-24.9,0.44,19.8,3.31,1.6,2.95,2016-02-29,2026-06-30
Slide top-1 (raw),10.5,0.574,0.909,-34.41,0.305,21.4,2.83,0.0,2.83,2016-02-29,2026-06-30
