year,winner,nifty,excess
2016,12.8,4.0,8.9
2017,24.0,29.9,-5.9
2018,1.5,4.8,-3.3
2019,26.2,13.6,12.6
2020,32.0,15.4,16.6
2021,16.7,26.0,-9.3
2022,-3.5,5.5,-9.0
2023,29.4,21.0,8.4
2024,28.6,10.4,18.3
2025,28.7,11.7,17.1
2026,12.8,-9.3,22.1
